"dates","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2010-01-04",46.349998,47.110001,46.259998,46.939999,1148600,36.08992
"2010-01-05",47.25,48.18,46.959999,48.049999,1592300,36.94334
"2010-01-06",47.849998,48.619999,47.779999,48.490002,1745900,37.281628
"2010-01-07",48.259998,51.049999,48.25,50.950001,3558600,39.173004
"2010-01-08",50.349998,54.419998,50.099998,53.669998,4848000,41.264278
"2010-01-11",53.610001,55.41,53.5,55,3159800,42.28685
"2010-01-12",53.66,53.950001,52.84,53.349998,3841800,41.018246
"2010-01-13",52.18,53.25,51.360001,52.779999,2413300,40.579998
"2010-01-14",51.790001,53.209999,51.27,52.889999,1802900,40.664566
"2010-01-15",51.98,52.48,51.380001,51.73,2039900,39.772709
"2010-01-19",50.84,52.939999,50.59,52.939999,1689400,40.703011
"2010-01-20",52.41,52.41,50.619999,51.470001,2002000,39.572803
"2010-01-21",51.310001,51.639999,48.98,49.470001,2264300,38.035103
"2010-01-22",49.240002,49.240002,47.740002,47.77,2049400,36.72805
"2010-01-25",48.700001,49.189999,47.279999,47.630001,1626500,36.620415
"2010-01-26",47.43,48.400002,46.82,47.290001,2935300,36.359013
"2010-01-27",47.060001,47.209999,44.84,46.41,3368300,35.6824
"2010-01-28",46.849998,46.939999,45.130001,45.549999,1538100,35.021198
"2010-01-29",46.080002,46.77,44.98,45.16,2110900,34.721359
"2010-02-01",45.73,46.98,45.549999,46.939999,2299600,36.08992
"2010-02-02",50.150002,52.259998,49.119999,51.09,8399900,39.280647
"2010-02-03",51.110001,53.049999,51.02,51.84,3425700,39.857277
"2010-02-04",51.009998,51.209999,49.82,50.099998,2765300,38.519482
"2010-02-05",49.93,50.57,48.889999,50.48,3215000,38.811642
"2010-02-08",50.259998,51.52,49.93,50.110001,2097900,38.527176
"2010-02-09",51.169998,52.889999,51,52.240002,2641200,40.164814
"2010-02-10",52.009998,52.48,51.459999,51.98,2198500,39.964935
"2010-02-11",51.889999,55.84,51.889999,54.860001,4053400,42.179214
"2010-02-12",53.75,56.439999,53.080002,54.950001,4198100,42.248405
"2010-02-16",56.139999,57.450001,55.950001,57.110001,3499800,43.90913
"2010-02-17",57.5,57.5,55.959999,56.459999,2400800,43.542805
"2010-02-18",56.119999,57.599998,55.84,57.490002,1744900,44.337154
"2010-02-19",57.110001,58.630001,56.889999,57.93,1946700,44.676487
"2010-02-22",58.470001,58.470001,56.959999,57.18,1993600,44.09808
"2010-02-23",57.029999,57.639999,55.27,55.639999,2451500,42.910412
"2010-02-24",56.18,56.790001,55.52,55.950001,2428600,43.149479
"2010-02-25",54.48,56.209999,53.860001,56.029999,2192600,43.211178
