"dates","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"2010-05-26",13.34,13.415,12.9525,13.0225,7656800,11.731771
"2010-05-27",13.25,13.3425,13.055,13.2925,5759600,11.975011
"2010-05-28",13.3525,13.3725,13.005,13.1,9551600,11.801594
"2010-06-01",13.075,13.3975,13.07,13.1675,7612400,11.8624
"2010-06-02",13.19,13.6075,13.105,13.6,8942800,12.252031
"2010-06-03",13.84,14.475,13.75,14.0475,14986400,12.692511
"2010-06-04",13.865,14.1,13.595,13.6575,10070800,12.340128
"2010-06-07",13.6875,13.845,13.26,13.2775,8049600,11.996785
"2010-06-08",13.26,13.6875,13.14,13.65,11899600,12.333352
"2010-06-09",13.735,14.1525,13.7025,13.9,13636000,12.559235
"2010-06-10",14.07,14.395,13.985,14.3675,10703200,12.981647
"2010-06-11",14.185,14.515,14.18,14.3325,8393600,12.950023
"2010-06-14",14.48,14.48,14.2,14.2425,7840400,12.868702
"2010-06-15",14.255,14.42,14.1375,14.395,5908400,13.006494
"2010-06-16",14.3275,14.455,14.25,14.3625,4491200,12.977127
"2010-06-17",14.43,14.4975,14.1925,14.4225,8669600,13.031338
"2010-06-18",14.475,14.54,14.295,14.3275,7496000,12.9455
"2010-06-21",14.4525,14.5025,14.0025,14.0975,5379600,12.737685
"2010-06-22",14.095,14.2925,13.78,13.8175,6318000,12.484695
"2010-06-23",13.82,13.9475,13.6575,13.8525,6314400,12.51632
"2010-06-24",13.7825,13.92,13.6625,13.765,5533600,12.437261
"2010-06-25",13.79,13.84,13.6,13.6275,7367600,12.313024
"2010-06-28",13.6525,13.7725,13.51,13.6675,5585600,12.349164
"2010-06-29",13.545,13.585,13.2725,13.35,6703200,12.062291
"2010-06-30",13.2975,13.6325,13.2925,13.3225,8041200,12.037444
"2010-07-01",13.295,13.7475,13.185,13.6875,11190800,12.36724
"2010-07-02",13.7325,13.8775,13.545,13.565,7738000,12.256548
"2010-07-06",13.7025,13.9425,13.44,13.6625,7849600,12.344647
"2010-07-07",13.75,14.0025,13.6,13.8375,11216800,12.502766
"2010-07-08",13.8125,13.815,13.24,13.5075,14130000,12.204601
"2010-07-09",13.525,13.56,13.3625,13.5225,5312400,12.218148
"2010-07-12",13.495,13.72,13.38,13.4375,4966000,12.141351
"2010-07-13",13.5275,13.635,13.44,13.575,6652800,12.265586
"2010-07-14",13.6025,13.705,13.4125,13.5525,5800000,12.245256
"2010-07-15",13.6025,13.7325,13.4375,13.6975,5934000,12.376269
"2010-07-16",13.6625,13.6875,13.25,13.2625,7971600,11.983231
"2010-07-19",13.3025,13.47,13.2875,13.3475,5314400,12.060027
"2010-07-20",13.1775,13.6275,13.14,13.6,6045200,12.288174
"2010-07-21",13.6275,13.6875,13.31,13.3675,7531600,12.078103
"2010-07-22",13.45,13.7725,13.415,13.7125,5705200,12.389825
"2010-07-23",13.74,13.94,13.6575,13.9125,5027600,12.570533
"2010-07-26",13.9125,13.99,13.75,13.97,4617200,12.622487
"2010-07-27",13.955,13.9775,13.4075,13.5325,10548400,12.227186
"2010-07-28",13.49,13.6375,13.2625,13.3125,7752400,12.028407
"2010-07-29",13.3875,13.4475,12.845,13.085,10443200,11.822853
"2010-07-30",12.9775,13.2175,12.8725,13.165,7596800,11.895136
"2010-08-02",13.2475,13.33,12.95,13.1625,8049200,11.892877
"2010-08-03",13.16,13.2175,12.755,12.9825,9271200,11.730238
"2010-08-04",13.06,13.2325,13.0225,13.2275,6614400,11.951605
"2010-08-05",13.0525,13.125,12.1775,12.655,17202000,11.434324
"2010-08-06",12.205,12.6175,12.205,12.555,10760400,11.34397
"2010-08-09",12.6525,12.92,12.635,12.845,6565600,11.606002
"2010-08-10",12.785,12.8525,12.665,12.7475,5319200,11.517905
"2010-08-11",12.625,12.635,12.435,12.45,7600400,11.249103
"2010-08-12",12.34,12.5075,12.25,12.405,6042000,11.208442
"2010-08-13",12.2725,12.4725,12.2525,12.2575,8845200,11.075171
"2010-08-16",12.2075,12.435,12.1875,12.3525,4710000,11.161006
"2010-08-17",12.4675,12.5375,12.3725,12.4175,5635600,11.219738
"2010-08-18",12.3525,12.765,12.2625,12.7275,7930000,11.499836
"2010-08-19",12.6975,12.965,12.3325,12.57,12843600,11.357526
"2010-08-20",12.52,12.5325,12.2275,12.4525,8064800,11.251361
"2010-08-23",12.5025,12.85,12.4875,12.635,7366400,11.41626
"2010-08-24",12.515,12.5225,12.25,12.405,8297200,11.208442
"2010-08-25",12.34,12.7575,12.3075,12.705,5994800,11.479505
"2010-08-26",12.7125,12.7475,12.5025,12.5425,4577600,11.332681
"2010-08-27",12.595,12.7875,12.375,12.7375,5692400,11.508871
"2010-08-30",12.675,12.6825,12.465,12.59,5950400,11.375599
"2010-08-31",12.275,12.6775,12.275,12.4075,12382400,11.246432
"2010-09-01",12.595,12.875,12.48,12.775,10790400,11.579546
"2010-09-02",12.8575,13.1125,12.775,13.05,7606400,11.828809
"2010-09-03",13.23,13.25,13.0275,13.15,4855200,11.919452
"2010-09-07",13.1075,13.1425,12.87,12.895,5020000,11.688315
"2010-09-08",12.935,13.0625,12.915,12.9425,4390800,11.731368
"2010-09-09",13.0575,13.1075,12.8775,12.9375,4020000,11.726838
"2010-09-10",12.97,13.0875,12.9125,13.0375,4120800,11.817479
"2010-09-13",13.1175,13.255,13.0975,13.2325,3252000,11.994233
"2010-09-14",13.24,13.4775,13.2,13.4125,4591200,12.157386
"2010-09-15",13.3025,13.555,13.3025,13.515,6336000,12.250296
"2010-09-16",13.5,13.55,13.375,13.4975,4065200,12.234433
"2010-09-17",13.5675,13.5775,13.3925,13.4775,6124000,12.216303
"2010-09-20",13.5025,13.6925,13.3825,13.6325,5549600,12.356797
"2010-09-21",13.535,13.615,13.3175,13.4725,6432000,12.211771
"2010-09-22",13.51,13.7575,13.38,13.715,7646800,12.431578
"2010-09-23",13.645,14.03,13.5975,13.9725,8195200,12.664984
"2010-09-24",14.0775,14.155,13.9775,14.11,5217600,12.789617
"2010-09-27",14.0625,14.085,13.8125,13.8575,5634800,12.560742
"2010-09-28",13.92,14.125,13.7475,14.0375,10751600,12.723901
"2010-09-29",13.98,14.015,13.84,13.915,6570400,12.612863
"2010-09-30",13.975,14.055,13.525,13.665,9621600,12.386261
"2010-10-01",13.7875,13.8625,13.655,13.755,6860400,12.467835
"2010-10-04",13.6875,13.74,13.4825,13.6125,7674000,12.338671
"2010-10-05",13.6925,13.735,13.35,13.565,11971600,12.295614
"2010-10-06",13.51,13.58,13.3275,13.58,12976400,12.309211
"2010-10-07",13.955,14.155,13.775,13.855,14444400,12.558479
"2010-10-08",13.85,14.1025,13.805,13.935,6989600,12.630989
"2010-10-11",13.915,14.0725,13.8575,14.0225,5852000,12.710303
"2010-10-12",13.975,14.115,13.865,14.0425,6054000,12.72843
"2010-10-13",14.1225,14.1225,13.8325,13.945,5760800,12.640058
"2010-10-14",13.945,14.08,13.895,13.99,4812800,12.680841
"2010-10-15",14.0525,14.21,13.89,14.1975,7210000,12.868926
"2010-10-18",14.2075,14.3625,14.1225,14.275,5269200,12.939176
"2010-10-19",14.1625,14.26,14.05,14.1325,6674800,12.810008
"2010-10-20",14.2025,14.3625,14.195,14.3,5234000,12.961839
"2010-10-21",14.36,14.57,14.265,14.37,7088800,13.025283
"2010-10-22",14.4,14.485,14.2725,14.405,3160000,13.057009
"2010-10-25",14.4625,14.725,14.4275,14.605,5123600,13.238294
"2010-10-26",14.565,14.81,14.545,14.625,5898000,13.256426
"2010-10-27",14.5025,14.67,14.425,14.65,7014800,13.279079
"2010-10-28",14.7275,14.7725,14.4175,14.5925,4923600,13.226964
"2010-10-29",14.575,14.78,14.5,14.7475,5030800,13.367458
"2010-11-01",14.8125,14.9575,14.77,14.8975,6032800,13.503421
"2010-11-02",15.02,15.255,14.9725,15.2475,8547600,13.820669
