"dates","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2012-09-11",48.950001,49.334999,48.799999,48.915001,339200,48.915001
"2012-09-12",49.115002,49.615002,47.16,49.584999,392600,49.584999
"2012-09-13",49.77,49.875,49.255001,49.695,826400,49.695
"2012-09-14",49.724998,50,49.384998,50,460000,50
"2012-09-17",49.799999,49.799999,48.474998,48.740002,1040000,48.740002
"2012-09-18",48.779999,49.049999,48.450001,48.814999,728000,48.814999
"2012-09-19",48.674999,48.98,48.445,48.810001,469400,48.810001
"2012-09-20",48.474998,49.310001,48.474998,49.224998,329200,49.224998
"2012-09-21",49.525002,50,49.389999,49.514999,938200,49.514999
"2012-09-24",49.360001,50.110001,49.174999,50.075001,538800,50.075001
"2012-09-25",50.334999,50.59,49.794998,49.965,870600,49.965
"2012-09-26",49.939999,50.205002,49.25,49.494999,573800,49.494999
"2012-09-27",49.610001,49.955002,49.459999,49.794998,467000,49.794998
"2012-09-28",49.57,49.845001,49.174999,49.674999,396600,49.674999
"2012-10-01",49.855,49.855,48.220001,48.830002,1209800,48.830002
"2012-10-02",48.915001,49.18,48.605,48.849998,452000,48.849998
"2012-10-03",49.044998,49.465,48.764999,49.09,462000,49.09
"2012-10-04",49.189999,49.605,49.189999,49.5,271400,49.5
"2012-10-05",49.639999,50.025002,49.299999,49.395,358600,49.395
"2012-10-08",49.395,49.849998,49.209999,49.445,262200,49.445
"2012-10-09",49.294998,49.619999,47.830002,47.865002,306200,47.865002
"2012-10-10",47.959999,48.185001,47.705002,47.84,394200,47.84
"2012-10-11",48.220001,48.630001,48.009998,48.450001,245400,48.450001
"2012-10-12",48.48,48.724998,47.884998,47.970001,230000,47.970001
"2012-10-15",48.209999,48.790001,47.889999,48.52,368400,48.52
"2012-10-16",48.900002,49.095001,48.66,49.014999,233400,49.014999
"2012-10-17",49.040001,49.474998,48.740002,49.244999,328600,49.244999
"2012-10-18",49.064999,49.599998,48.375,49.48,835400,49.48
"2012-10-19",49.110001,49.5,47.639999,48.794998,1138200,48.794998
"2012-10-22",48.66,49.07,48.314999,48.945,430200,48.945
"2012-10-23",48.575001,49.040001,48,48.494999,306000,48.494999
"2012-10-24",48.75,48.775002,47.945,48.025002,344400,48.025002
"2012-10-25",48.23,48.5,47.849998,48.119999,538600,48.119999
"2012-10-26",48,48.73,47.610001,47.880001,571200,47.880001
"2012-10-31",47.834999,49.205002,47.650002,48.099998,421800,48.099998
"2012-11-01",47.945,48.220001,47.605,47.715,1060800,47.715
