"dates","TT.Open","TT.High","TT.Low","TT.Close","TT.Volume","TT.Adjusted"
"2010-06-17",24.655663,24.717628,24.023626,24.321054,4730937,20.289909
"2010-06-18",24.34584,24.606092,24.166143,24.426395,4847939,20.37779
"2010-06-21",24.711432,25.188559,24.587503,24.779593,6852314,20.672445
"2010-06-22",24.816771,24.990273,24.104179,24.184732,5565931,20.176178
"2010-06-23",24.25909,24.358234,23.620857,23.91209,9350197,19.948732
"2010-06-24",23.744785,23.949268,23.379194,23.70141,6763392,19.772968
"2010-06-25",23.639446,23.775768,23.125141,23.546499,38235459,19.643734
"2010-06-28",23.52791,23.571285,22.895872,22.93305,6857962,19.131964
"2010-06-29",22.555067,22.629425,21.699959,21.861067,10408384,18.237658
"2010-06-30",21.960209,22.170889,21.328171,21.371546,7266422,17.829273
"2010-07-01",21.582226,21.582226,20.516438,20.869635,10669501,17.410557
"2010-07-02",20.956385,21.142279,20.609383,20.646563,5848513,17.224457
"2010-07-06",20.968777,21.365351,20.590794,20.745705,7350018,17.307159
"2010-07-07",20.764296,21.148474,20.683741,21.105099,9403130,17.606993
"2010-07-08",21.185654,21.340565,21.018349,21.222832,7818674,17.705208
"2010-07-09",21.105099,21.241421,20.857241,21.092707,7298053,17.596655
"2010-07-12",21.036938,21.26001,20.844849,21.005957,5119547,17.524279
"2010-07-13",21.142279,21.774315,21.142279,21.737137,6729179,18.13427
"2010-07-14",21.514065,21.817692,21.284796,21.668976,4182881,18.077406
"2010-07-15",21.576029,21.712351,21.167065,21.64419,4542442,18.056728
"2010-07-16",21.600815,21.699959,21.222832,21.29719,9062290,17.767244
"2010-07-19",21.303385,21.76812,21.160868,21.675173,5893861,18.082581
"2010-07-20",21.321976,22.189478,21.247618,22.133709,5003190,18.465113
"2010-07-21",22.307211,22.6728,22.133709,22.344389,5334024,18.640869
"2010-07-22",22.54887,22.97023,22.54887,22.802925,8348171,19.023403
"2010-07-23",21.923031,23.162319,21.538851,23.106552,7639539,19.276711
"2010-07-26",23.038391,23.695213,23.013605,23.61466,5098728,19.700598
"2010-07-27",23.719999,23.775768,23.280052,23.571285,4340229,19.664412
"2010-07-28",23.416374,23.602266,23.273855,23.385391,4227261,19.509331
"2010-07-29",23.496927,23.658035,22.995016,23.205694,5690842,19.359415
"2010-07-30",22.852497,23.360605,22.790533,23.211891,4518396,19.364588
"2010-08-02",23.583677,23.757179,23.311033,23.546499,4035216,19.643734
"2010-08-03",23.342016,23.540302,23.118944,23.236677,2975253,19.385258
"2010-08-04",23.323427,23.546499,23.273855,23.534105,2541456,19.633398
"2010-08-05",23.453552,23.70141,23.348213,23.639446,3011403,19.721279
"2010-08-06",23.273855,23.52791,23.118944,23.292444,3626272,19.431789
"2010-08-09",23.447355,23.558891,23.156122,23.286249,3071276,19.426619
"2010-08-10",22.945444,23.100355,22.660406,22.889675,4405266,19.095779
"2010-08-11",22.46212,22.46212,21.898245,21.929228,5565447,18.294518
"2010-08-12",21.476887,22.02837,21.476887,21.848673,3355148,18.227314
"2010-08-13",21.799101,22.065548,21.73094,21.867262,3847205,18.242826
"2010-08-16",21.706156,21.972603,21.582226,21.749531,2901501,18.144617
"2010-08-17",22.015978,22.555067,21.823887,22.356783,5572387,18.651213
"2010-08-18",22.362978,22.54887,22.02837,22.387764,3388716,18.677055
"2010-08-19",22.257639,22.443533,21.867262,22.02837,2069089,18.377224
"2010-08-20",21.867262,21.885853,21.619404,21.823887,2535162,18.20664
"2010-08-23",21.929228,22.053156,21.476887,21.507868,2743346,17.943001
"2010-08-24",21.154671,21.272404,20.758099,20.807671,5336929,17.358856
"2010-08-25",20.590794,20.758099,20.392508,20.727116,6541652,17.291651
"2010-08-26",20.900616,21.043135,20.596991,20.65276,2877617,17.229628
"2010-08-27",20.770491,21.111296,20.386311,20.974974,4155284,17.498438
"2010-08-30",20.919207,21.030743,20.516438,20.535027,3411632,17.131407
"2010-08-31",20.479258,20.609383,20.088882,20.157043,5904513,16.816072
"2010-09-01",20.330544,21.105099,20.330544,20.875832,7645349,17.415722
"2010-09-02",20.981171,21.26001,20.832457,21.26001,3769418,17.736219
"2010-09-03",21.439707,21.743334,21.309582,21.483082,2022611,17.922321
"2010-09-07",21.408726,21.408726,21.074118,21.148474,2749156,17.643177
"2010-09-08",21.129885,21.495476,21.129885,21.309582,2783531,17.777576
"2010-09-09",21.576029,21.613209,21.061724,21.198046,3590606,17.684523
"2010-09-10",21.229029,21.600815,21.198046,21.433512,4515814,17.917633
"2010-09-13",21.693762,21.823887,21.532654,21.607012,1888179,18.062668
"2010-09-14",21.489279,21.619404,21.309582,21.421118,4360725,17.907269
"2010-09-15",21.241421,21.290993,20.950188,20.974974,4437866,17.534313
"2010-09-16",20.832457,21.414923,20.832457,21.377743,5182163,17.871008
"2010-09-17",21.452101,21.662779,21.303385,21.619404,5627095,18.073032
"2010-09-20",21.650387,22.170889,21.507868,22.11512,3683724,18.487436
"2010-09-21",22.077942,22.437334,22.040764,22.276228,3384359,18.622107
"2010-09-22",22.177086,22.387764,21.879656,22.084139,3574468,18.461535
"2010-09-23",21.805298,21.94162,21.532654,21.607012,3290918,18.062668
"2010-09-24",21.935423,22.102728,21.799101,21.867262,4818245,18.280228
"2010-09-27",21.861067,21.861067,21.421118,21.613209,4271641,18.067848
"2010-09-28",21.600815,22.096531,21.241421,22.034567,5351615,18.420092
"2010-09-29",21.935423,22.183281,21.823887,22.133709,4191918,18.502972
"2010-09-30",22.208067,22.555067,21.997389,22.127514,3306249,18.497791
"2010-10-01",22.393961,22.424942,22.121317,22.251442,2984614,18.601387
"2010-10-04",22.294817,22.790533,22.084139,22.344389,3990028,18.679089
"2010-10-05",22.765747,23.211891,22.493103,23.025997,5201206,19.248892
