"dates","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2010-01-04",83.07,83.349998,81.010002,81.199997,1483400,56.469524
"2010-01-05",81.220001,81.419998,79.760002,80.589996,1341000,56.04533
"2010-01-06",80.339996,81.330002,79.480003,79.830002,1359000,55.516785
"2010-01-07",79.440002,80.860001,78.839996,79.989998,1755800,55.628029
"2010-01-08",79.540001,79.959999,77.940002,79.389999,1199900,55.210796
"2010-01-11",80.269997,81.75,79.809998,80.480003,1304400,55.968815
"2010-01-12",79.889999,80.610001,78.160004,78.589996,1088900,54.654434
"2010-01-13",79.080002,80.580002,78.639999,80.419998,1135200,55.927097
"2010-01-14",80.050003,80.790001,79.559998,79.940002,898800,55.593277
"2010-01-15",79.589996,80.169998,79.059998,79.43,1079200,55.238617
"2010-01-19",79.080002,81.07,79.080002,80.889999,1034300,56.253937
"2010-01-20",79.779999,79.779999,77.919998,79.080002,1318300,54.995216
"2010-01-21",79.230003,79.550003,77.010002,77.300003,1579300,53.757332
"2010-01-22",77.849998,77.849998,75.269997,75.440002,1831000,52.463825
"2010-01-25",76.550003,76.75,74.470001,76.580002,1972300,53.256618
"2010-01-26",76.029999,77.599998,75.449997,76.93,1689800,53.500027
"2010-01-27",76.779999,77.650002,75.470001,77.349998,1333100,53.792095
"2010-01-28",77.93,77.93,76.43,76.970001,1123100,53.527832
"2010-01-29",77.260002,78.730003,76.269997,76.610001,1461800,53.27747
"2010-02-01",77.120003,78.389999,76.910004,78.050003,1064900,54.278896
"2010-02-02",78.18,79.900002,77.239998,79.580002,1294800,55.342937
"2010-02-03",79,79.169998,77.330002,77.830002,1269100,54.125904
"2010-02-04",74.269997,76.339996,72.900002,74.129997,3741800,51.552788
"2010-02-05",74.07,75.779999,73.730003,75.589996,2272200,52.568134
"2010-02-08",75.720001,75.900002,73.690002,73.769997,1381600,51.302429
"2010-02-09",74.540001,74.559998,72.559998,73.519997,1335400,51.12859
"2010-02-10",73.269997,74.190002,71.75,73.209999,931400,50.912971
"2010-02-11",73.089996,74.260002,72.400002,74.199997,767000,51.601452
"2010-02-12",73.550003,75.830002,73.150002,75.489998,1258500,52.498589
"2010-02-16",76.150002,77.830002,75.879997,77.690002,1082700,54.028542
"2010-02-17",77.940002,78.43,77.379997,78.040001,977800,54.271954
"2010-02-18",77.580002,79.669998,77.279999,79.400002,1071700,55.217747
"2010-02-19",78.669998,79.489998,77.949997,78.82,1263700,54.814384
"2010-02-22",79.010002,80.379997,78.739998,80,969100,55.63501
"2010-02-23",79.510002,80.440002,79.160004,79.940002,1145200,55.593277
"2010-02-24",80.269997,80.779999,79.650002,80.769997,920600,56.170494
"2010-02-25",79.709999,81.279999,79.160004,81.190002,594100,56.462582
"2010-02-26",81.699997,82.339996,80.910004,81.419998,1117000,56.622532
"2010-03-01",81.400002,81.839996,80.849998,81.260002,910400,56.511265
"2010-03-02",81.720001,81.870003,80.849998,81.279999,685900,56.52515
"2010-03-03",81.120003,81.379997,80.190002,80.43,715400,55.934032
"2010-03-04",80.529999,81,80.139999,80.849998,643000,56.226143
"2010-03-05",81.290001,83.459999,80.900002,83.199997,1003700,57.860432
"2010-03-08",83.110001,84.610001,82.949997,84.379997,787900,58.68103
"2010-03-09",83.82,85.660004,83.639999,84.550003,1249600,58.799252
"2010-03-10",84.800003,85.269997,84.110001,84.980003,784200,59.098286
"2010-03-11",84.760002,85.629997,84.129997,85.519997,827400,59.473824
"2010-03-12",85.769997,86.540001,85.25,86.239998,1523700,59.974533
"2010-03-15",86.209999,86.739998,85.010002,86.099998,857300,59.877167
"2010-03-16",86.620003,88.209999,86.139999,88.040001,946600,61.226334
"2010-03-17",88.209999,89.800003,88.040001,89.510002,977100,62.248642
"2010-03-18",88.709999,89.489998,88.169998,88.559998,1180300,61.587955
"2010-03-19",87.970001,88.919998,87.5,87.970001,1318400,61.17767
"2010-03-22",87.470001,88.32,87.129997,88.050003,946400,61.233284
"2010-03-23",88.050003,88.050003,86.629997,87.599998,729600,60.920345
"2010-03-24",87.419998,89.32,87.199997,88.129997,912900,61.28891
"2010-03-25",88.309998,89.800003,88.290001,88.370003,919200,61.455811
"2010-03-26",88.739998,88.919998,87.230003,87.779999,1355200,61.045509
"2010-03-29",87.019997,87.199997,86.129997,86.860001,958800,61.026524
"2010-03-30",86.949997,87.370003,86.599998,86.989998,702300,61.11787
"2010-03-31",86.629997,87.269997,86.209999,86.349998,1009100,60.668243
"2010-04-01",86.57,86.889999,85.080002,85.739998,1097100,60.239632
"2010-04-05",86.120003,89.07,85.93,88.980003,1099600,62.516033
"2010-04-06",88.639999,92.589996,88.290001,92.419998,2057700,64.932922
"2010-04-07",92.269997,92.68,90.480003,91,1325300,63.935238
"2010-04-08",90.529999,91.339996,90.300003,91.190002,920100,64.068748
"2010-04-09",91.300003,93.540001,91.220001,92.879997,1007200,65.256104
"2010-04-12",93.029999,93.029999,91.32,91.379997,639300,64.202217
"2010-04-13",91.470001,93.82,91.300003,93.540001,850800,65.719803
"2010-04-14",93.900002,93.900002,92.730003,93.800003,782500,65.902489
"2010-04-15",93.580002,93.75,92,92.279999,894000,64.834541
"2010-04-16",92.18,92.639999,90.279999,90.980003,1507000,63.921185
"2010-04-19",89.730003,92.410004,89.730003,91.870003,1280900,64.546471
"2010-04-20",92.550003,94.089996,91.459999,94.07,1395300,66.092178
"2010-04-21",93.970001,97.07,93.629997,95.849998,1873900,67.342766
"2010-04-22",95.190002,99.190002,94.769997,99.050003,1357700,69.591042
"2010-04-23",99.050003,101.589996,98.559998,101.269997,1723400,71.150795
"2010-04-26",100.919998,101.779999,100.129997,100.480003,1226400,70.595726
"2010-04-27",99.900002,101.540001,98.610001,98.660004,1603700,69.317055
"2010-04-28",99.459999,100.25,98.599998,99.169998,1057200,69.675354
"2010-04-29",100.610001,107.580002,100.339996,106.650002,2588400,74.930717
"2010-04-30",106.120003,107.080002,103.599998,104.040001,1872200,73.096947
"2010-05-03",104.360001,110.160004,104.199997,108.489998,1623800,76.223473
"2010-05-04",107.639999,109.379997,106.599998,107.769997,1879200,75.717583
"2010-05-05",106.279999,107.779999,104.510002,104.870003,1651600,73.680107
"2010-05-06",104.330002,105.190002,93.410004,100.5,2590800,70.609802
"2010-05-07",101,102.169998,96.900002,97.739998,2129400,68.670677
"2010-05-10",102.370003,103.5,101.379997,103.489998,2246600,72.710526
"2010-05-11",103.160004,105.370003,101.410004,103.790001,1450300,72.92131
"2010-05-12",104.620003,105.709999,103.690002,105.059998,1567100,73.813591
"2010-05-13",105,105.400002,102.370003,102.709999,1133100,72.162529
"2010-05-14",102.290001,102.290001,99.199997,100.400002,1542800,70.539536
"2010-05-17",100.57,102,97.739998,100.93,1389600,70.911919
"2010-05-18",102.300003,102.779999,97.790001,98.370003,1426800,69.113281
"2010-05-19",97.910004,99.489998,94.949997,97.779999,1261500,68.698784
"2010-05-20",96.099998,96.699997,91.419998,91.68,2373500,64.413017
"2010-05-21",90.400002,96.410004,90,94.309998,3361300,66.260803
"2010-05-24",94.120003,95.610001,92.519997,92.559998,1584800,65.031288
"2010-05-25",90.440002,95.449997,90.040001,95.230003,1965900,66.907204
"2010-05-26",96.510002,98.309998,94.059998,94.779999,1693800,66.591011
"2010-05-27",96.610001,99.769997,95.800003,99.639999,1569800,70.005585
"2010-05-28",99.720001,100.650002,97.800003,98.059998,1046700,68.895485
"2010-06-01",95.93,98.580002,95.620003,96.099998,1349500,67.518433
"2010-06-02",96.970001,97.510002,95.239998,97.480003,2016900,68.488007
"2010-06-03",98.25,98.25,96.739998,97.540001,1023400,68.530144
"2010-06-04",95.010002,96.739998,91.400002,92.07,1609900,64.687004
"2010-06-07",92.489998,94.889999,91.650002,92.669998,1476100,65.108566
"2010-06-08",93.440002,95,90.550003,94.769997,1215600,66.583992
