"dates","EQIX.Open","EQIX.High","EQIX.Low","EQIX.Close","EQIX.Volume","EQIX.Adjusted"
"2010-01-04",106.519997,109.620003,106.510002,109.559998,576300,89.261047
"2010-01-05",109.589996,109.589996,108.379997,108.540001,681900,88.430038
"2010-01-06",108.949997,110.57,108.220001,109.529999,1397500,89.236588
"2010-01-07",109.25,110.349998,106.639999,107.290001,797200,87.411629
"2010-01-08",106.800003,107.279999,105.900002,106.769997,432400,86.987984
"2010-01-11",106.970001,108.150002,106.699997,107.650002,568400,87.704918
"2010-01-12",106.599998,107.650002,102.959999,103.290001,948100,84.152718
"2010-01-13",102.25,104.360001,102.25,103.080002,704100,83.981644
"2010-01-14",103.32,104.769997,103.32,104.120003,954700,84.828941
"2010-01-15",104.379997,104.480003,101.550003,102.110001,814600,83.191345
"2010-01-19",102.690002,104.160004,101.599998,103.93,616400,84.674171
"2010-01-20",102.849998,104.029999,101.970001,103.449997,411500,84.283089
"2010-01-21",103.190002,106.260002,103.120003,103.370003,788700,84.217918
"2010-01-22",103.199997,104.260002,98.669998,99.019997,1259200,80.673866
"2010-01-25",99.760002,101.099998,99.099998,100.089996,550500,81.545616
"2010-01-26",99.400002,100.190002,98.769997,99.459999,657900,81.032341
"2010-01-27",98.900002,99.580002,97.82,99.25,713500,80.861252
"2010-01-28",99.169998,99.169998,95.860001,97.760002,380100,79.647324
"2010-01-29",98.120003,99.709999,96,96.230003,715000,78.40078
"2010-02-01",96.690002,97.82,95.300003,95.849998,1243200,78.091187
"2010-02-02",95.910004,97.239998,94.68,96.580002,1431100,78.685951
"2010-02-03",96.519997,97.290001,95.279999,96,737000,78.213417
"2010-02-04",95.330002,95.75,92.550003,92.720001,997600,75.5411
"2010-02-05",92.879997,93.120003,90.489998,92.989998,877000,75.761078
"2010-02-08",92.989998,93.379997,91.760002,91.760002,633300,74.75898
"2010-02-09",92.970001,93.599998,91.580002,93.010002,994900,75.77739
"2010-02-10",92.730003,94.309998,92.400002,93.010002,1237200,75.77739
"2010-02-11",93.230003,95.730003,91.169998,95.230003,2107900,77.586075
"2010-02-12",94.510002,95.919998,93.199997,95.889999,934600,78.123787
"2010-02-16",95.980003,96.110001,94.68,95.760002,753400,78.017883
"2010-02-17",95.830002,96.25,94.860001,96.18,502500,78.360069
"2010-02-18",95.419998,96.529999,94.32,95.029999,560000,77.423126
"2010-02-19",94.580002,95.459999,94.5,95.010002,492000,77.406822
"2010-02-22",94.839996,94.980003,93.720001,94.510002,535400,76.999466
"2010-02-23",94.099998,94.809998,93.129997,93.230003,827100,75.956635
"2010-02-24",93.720001,94.900002,93.339996,94.830002,554400,77.260162
"2010-02-25",93.82,94.389999,92.699997,94.330002,862400,76.852806
"2010-02-26",94.559998,94.559998,93.589996,94.470001,642000,76.966873
"2010-03-01",94.989998,97.910004,94.480003,97.800003,835300,79.679893
"2010-03-02",97.860001,99.07,97.449997,98.209999,609800,80.013954
"2010-03-03",98.18,98.769997,96.980003,97.129997,612300,79.134041
"2010-03-04",97.080002,99,96.970001,98.75,505000,80.453888
"2010-03-05",98.980003,103.190002,98.370003,102.739998,1460100,83.70462
"2010-03-08",103.080002,104.230003,102.400002,102.620003,841800,83.606888
"2010-03-09",102.559998,102.809998,101.5,102.300003,519400,83.346138
"2010-03-10",102.029999,103.510002,101.389999,103.059998,785900,83.965332
"2010-03-11",102.720001,104.440002,102.410004,104.440002,552700,85.089645
"2010-03-12",104.540001,105.099998,103.830002,104.160004,527000,84.861557
"2010-03-15",103.82,104.739998,101.730003,102.059998,794400,83.150635
"2010-03-16",101.739998,102.629997,101.349998,102.010002,455200,83.109894
"2010-03-17",102.339996,105.239998,102.32,104.459999,614800,85.105942
"2010-03-18",104.800003,104.949997,103.470001,103.870003,353200,84.625275
"2010-03-19",104.220001,104.589996,102.209999,102.690002,573100,83.66391
"2010-03-22",102.300003,102.599998,101.139999,101.949997,930400,83.061005
"2010-03-23",101.830002,102.720001,100.82,102.010002,1527000,83.109894
"2010-03-24",101.209999,102.489998,99.529999,100.089996,1484000,81.545616
"2010-03-25",100.919998,100.919998,98.839996,98.949997,953700,80.616806
"2010-03-26",99.290001,99.290001,96.190002,96.449997,1181700,78.580025
"2010-03-29",96.519997,98.160004,96.18,97.089996,955000,79.101433
"2010-03-30",97.32,98.349998,97.239998,97.970001,539600,79.818382
"2010-03-31",97.410004,98.330002,97.019997,97.339996,645100,79.30513
"2010-04-01",98.330002,100,97.940002,98.900002,776200,80.576096
"2010-04-05",98.68,102.519997,98.550003,101.610001,662300,82.783989
"2010-04-06",101.489998,103,99.970001,101.449997,887500,82.653648
"2010-04-07",101.209999,102.169998,100.699997,101.629997,532500,82.800285
"2010-04-08",101.599998,102.260002,100.209999,101.889999,345700,83.012115
"2010-04-09",101.889999,102.919998,101.309998,102.660004,459300,83.639481
"2010-04-12",102.32,103,102.019997,102.980003,502900,83.900169
"2010-04-13",102.330002,102.82,100.440002,101.209999,827400,82.458115
"2010-04-14",100.669998,101.599998,100.330002,101.349998,642600,82.572166
"2010-04-15",101.440002,102.279999,100.43,100.459999,471800,81.847046
"2010-04-16",99.779999,100.629997,98.949997,99.620003,747700,81.162689
