"dates","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2010-01-04",15.767824,16.398537,15.639854,16.352835,15454500,11.529408
"2010-01-05",16.56307,16.974405,16.425961,16.77331,17087295,11.82586
"2010-01-06",16.809872,17.38574,16.599634,17.193785,16896939,12.122313
"2010-01-07",17.166363,17.413162,16.800732,17.321754,12077869,12.212536
"2010-01-08",17.303473,17.349176,16.937843,17.084095,13914258,12.044977
"2010-01-11",17.239489,17.303473,16.654478,16.919561,10924575,11.92897
"2010-01-12",16.608774,16.709324,16.261427,16.645338,10643854,11.735635
"2010-01-13",16.636196,16.636196,16.142595,16.508226,16334733,11.638967
"2010-01-14",16.508226,16.79159,16.361975,16.700184,9420981,11.774306
"2010-01-15",16.681902,17.175503,16.590494,17.157221,21476533,12.096534
"2010-01-19",17.138941,17.303473,16.974405,17.248629,13518667,12.160979
"2010-01-20",17.084095,17.568556,17.020109,17.477148,19232082,12.322093
"2010-01-21",17.440584,17.559416,16.937843,17.276051,14618575,12.18031
"2010-01-22",17.084095,17.138941,16.535648,16.617916,15366215,11.716301
"2010-01-25",16.755028,16.956123,16.499086,16.77331,10782683,11.82586
"2010-01-26",16.691042,17.413162,16.617916,17.38574,22434767,12.257648
"2010-01-27",17.221207,17.422302,16.755028,17.084095,25500812,12.044977
"2010-01-28",17.047531,17.166363,16.453382,16.846436,16059701,11.877418
"2010-01-29",16.873857,17.413162,16.809872,16.837294,16339109,11.870972
"2010-02-01",17.056673,17.541134,17.047531,17.513712,13116404,12.347876
"2010-02-02",17.559416,17.650824,17.202925,17.60512,12607912,12.412321
"2010-02-03",17.303473,17.50457,17.038391,17.312614,8913037,12.206091
"2010-02-04",17.038391,17.111517,16.526508,16.55393,10470127,11.67119
"2010-02-05",16.499086,16.608774,15.987203,16.599634,13516261,11.703408
"2010-02-08",16.581352,16.654478,16.279707,16.316271,7159464,11.50363
"2010-02-09",16.517366,16.718464,16.297989,16.54479,9645579,11.664742
"2010-02-10",16.462523,16.55393,16.115173,16.453382,8711194,11.600297
"2010-02-11",16.462523,16.535648,16.096891,16.453382,14182616,11.600297
"2010-02-12",16.252285,16.270567,16.005484,16.179159,12805708,11.438737
"2010-02-16",16.307131,16.480804,16.243143,16.425961,9928488,11.613224
"2010-02-17",16.453382,16.54479,16.188299,16.288849,8019239,11.516287
"2010-02-18",16.252285,16.334553,16.096891,16.170017,12758884,11.432272
"2010-02-19",16.224863,16.398537,16.060329,16.352835,9502593,11.561523
