"dates","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2010-02-19",16.907021,17.172676,16.821632,17.068312,53393321,11.330044
"2010-02-22",17.058825,17.220114,16.86907,17.030361,61134003,11.304853
"2010-02-23",16.925997,17.020872,16.707781,16.764706,50458353,11.128509
"2010-02-24",16.83112,17.096773,16.698292,16.897533,71379515,11.21668
"2010-02-25",16.669828,16.821632,16.537003,16.783682,56344732,11.141109
"2010-02-26",16.783682,16.897533,16.603416,16.650854,62436536,11.052934
"2010-03-01",16.707781,16.944971,16.679317,16.840607,48087169,11.178894
"2010-03-02",16.954458,16.963947,16.650854,16.698292,68147740,11.084421
"2010-03-03",16.555977,16.698292,16.328274,16.432638,114953456,10.908079
"2010-03-04",16.461102,16.508539,16.337761,16.442125,59990729,10.91438
"2010-03-05",16.489565,16.603416,16.347248,16.58444,68202654,11.008843
"2010-03-08",16.688805,16.698292,16.385199,16.461102,51370695,10.926975
"2010-03-09",16.385199,16.432638,16.271347,16.347248,57489271,10.851398
"2010-03-10",16.328274,16.461102,16.233397,16.271347,59341465,10.801014
"2010-03-11",16.242884,16.432638,16.223909,16.404175,51448270,10.889186
"2010-03-12",16.309298,16.347248,16.119545,16.204933,90062719,10.756931
"2010-03-15",16.157495,16.394688,16.119545,16.375711,46310547,10.870292
"2010-03-16",16.432638,16.489565,16.233397,16.375711,56037175,10.870292
"2010-03-17",16.375711,16.423149,16.280834,16.328274,59708468,10.838802
"2010-03-18",16.451612,16.461102,16.242884,16.347248,53653975,10.851398
"2010-03-19",16.043644,16.413662,15.939279,16.043644,119353801,10.649864
"2010-03-22",16.129032,16.366224,16.110058,16.271347,74916107,10.801014
"2010-03-23",16.394688,16.679317,16.318787,16.641365,77908623,11.046632
"2010-03-24",16.707781,16.802656,16.641365,16.707781,77922536,11.090725
"2010-03-25",16.83112,16.86907,16.461102,16.49905,50807754,10.952163
"2010-03-26",16.470589,16.489565,16.223909,16.26186,57108144,10.794718
"2010-03-29",16.318787,16.451612,16.26186,16.394688,51374595,10.882886
"2010-03-30",16.432638,16.49905,16.252373,16.375711,44091982,10.870292
"2010-03-31",16.29981,16.385199,16.21442,16.271347,62218779,10.801014
"2010-04-01",16.328274,16.394688,16.119545,16.204933,72849107,10.756931
"2010-04-05",16.26186,16.26186,15.986717,16.034157,72462711,10.643566
"2010-04-06",16.072105,16.176472,15.996205,16.091082,81797462,10.681354
"2010-04-07",16.148008,16.242884,16.119545,16.195446,89101893,10.750631
"2010-04-08",16.195446,16.280834,16.148008,16.26186,55647722,10.794718
"2010-04-09",16.318787,16.423149,16.290323,16.366224,46376632,10.863995
"2010-04-12",16.432638,16.442125,16.309298,16.404175,51902754,10.889186
"2010-04-13",16.328274,16.366224,16.223909,16.29981,69737067,10.819907
"2010-04-14",16.29981,16.29981,16.072105,16.195446,101067744,10.750631
"2010-04-15",16.176472,16.280834,16.091082,16.119545,62821562,10.700249
"2010-04-16",16.110058,16.138519,15.939279,15.939279,79595867,10.580585
"2010-04-19",15.882353,15.958254,15.749526,15.929791,69487163,10.574287
"2010-04-20",15.967742,16.005693,15.872865,15.901328,59565545,10.555394
"2010-04-21",15.891841,15.958254,15.597723,15.749526,72271199,10.454625
"2010-04-22",15.654649,15.711575,15.493359,15.635674,73482877,10.379049
"2010-04-23",15.588235,16.138519,15.559772,16.043644,103613470,10.649864
"2010-04-26",15.996205,16.100569,15.844402,15.958254,87980858,10.59318
"2010-04-27",15.85389,15.986717,15.559772,15.616698,96488746,10.366455
"2010-04-28",15.626186,15.787476,15.550285,15.683112,63932478,10.41054
"2010-04-29",15.777989,16.138519,15.777989,15.996205,71149743,10.618374
"2010-04-30",16.119545,16.129032,15.825427,15.863378,53829045,10.530201
"2010-05-03",15.939279,16.129032,15.768501,16.043644,75855431,10.649864
"2010-05-04",16.271347,16.49905,16.185959,16.375711,127430181,10.870292
"2010-05-05",16.100569,16.451612,16.091082,16.29981,104662200,10.933933
"2010-05-06",16.280834,16.328274,15.037951,15.882353,125669474,10.653906
"2010-05-07",15.844402,15.948767,15.540797,15.616698,112673338,10.475703
"2010-05-10",16.034157,16.366224,15.97723,16.129032,86003238,10.819375
"2010-05-11",15.986717,16.309298,15.939279,16.138519,56871205,10.825744
"2010-05-12",16.110058,16.21442,15.863378,16.034157,56409764,10.755735
"2010-05-13",15.97723,16.072105,15.6926,15.711575,71447182,10.539346
"2010-05-14",15.683112,15.6926,15.237192,15.370019,66057658,10.310229
"2010-05-17",15.370019,15.436433,14.971537,15.28463,104156385,10.252951
"2010-05-18",15.313093,15.417457,14.971537,15,77422519,10.062021
"2010-05-19",14.943074,15.12334,14.800759,15.009488,86483019,10.068385
"2010-05-20",14.743833,14.867173,14.440228,14.449715,118531575,9.692888
"2010-05-21",14.222011,14.629981,14.193548,14.611006,107967228,9.801084
"2010-05-24",14.497154,14.59203,14.373814,14.440228,56998001,9.686525
"2010-05-25",14.184061,14.326376,13.994307,14.288425,108521105,9.584695
"2010-05-26",14.335863,14.620493,14.231499,14.335863,97223173,9.616518
"2010-05-27",14.55408,14.658444,14.392789,14.582543,70586907,9.781992
"2010-05-28",14.544592,14.791271,14.440228,14.449715,64693677,9.692888
"2010-06-01",14.383302,14.629981,14.193548,14.222011,59953206,9.540142
"2010-06-02",14.345351,14.440228,14.155598,14.421252,52215371,9.673796
"2010-06-03",14.459203,14.55408,14.345351,14.449715,36096760,9.692888
"2010-06-04",14.240987,14.26945,13.918406,14.003795,82146968,9.393765
"2010-06-07",14.079696,14.127135,13.757116,13.776091,72500233,9.241022
"2010-06-08",13.785579,13.823529,13.614801,13.804554,66651482,9.260111
"2010-06-09",13.889943,13.994307,13.652751,13.776091,91258798,9.241022
"2010-06-10",13.899431,14.335863,13.899431,14.14611,63426558,9.489227
"2010-06-11",14.449715,14.724858,14.421252,14.667932,79704745,9.839272
"2010-06-14",14.762808,14.800759,14.516129,14.544592,54028778,9.756535
