"dates","ANTM.Open","ANTM.High","ANTM.Low","ANTM.Close","ANTM.Volume","ANTM.Adjusted"
"2010-01-04",58.689999,59.810001,58.380001,59.75,4641800,51.094669
"2010-01-05",60.59,61.25,60.169998,60.400002,8385500,51.650501
"2010-01-06",60.119999,61.529999,60.119999,61.380001,6449100,52.488541
"2010-01-07",61.68,63.779999,61.23,63.66,6028900,54.438267
"2010-01-08",63.59,64.07,63.009998,63.939999,5270900,54.677681
"2010-01-11",64.279999,64.879997,63.869999,64.309998,4369600,54.994095
"2010-01-12",63.799999,64.309998,62.630001,63.459999,5813100,54.267227
"2010-01-13",63.759998,65.010002,63.470001,64.970001,5555800,55.558491
"2010-01-14",64.949997,66.480003,64.68,66.220001,5137400,56.627415
"2010-01-15",66.339996,67.230003,65.620003,66.650002,7040100,56.995129
"2010-01-19",67.82,69.489998,67.389999,68.059998,12115500,58.200893
"2010-01-20",69.370003,70,67.199997,67.68,14642100,57.875935
"2010-01-21",67.879997,68.360001,65.32,65.5,8138200,56.011719
"2010-01-22",65.870003,66.779999,62.25,65.099998,6916000,55.66967
"2010-01-25",65.449997,66.459999,65.169998,65.550003,5771700,56.054478
"2010-01-26",65,65.099998,63.880001,63.880001,7404900,54.6264
"2010-01-27",62.709999,65.330002,62.110001,64.620003,9362400,55.259209
"2010-01-28",65,66.470001,64.339996,64.419998,8125600,55.088161
"2010-01-29",64.470001,64.75,63.709999,63.720001,4598900,54.489571
"2010-02-01",64.099998,64.879997,62.599998,64.199997,3976300,54.900047
"2010-02-02",64.459999,65.18,63.98,65.050003,4178500,55.626904
"2010-02-03",64.529999,65.129997,63.380001,64.07,3813900,54.788868
"2010-02-04",63.369999,64.150002,62.779999,62.830002,4609000,53.728497
"2010-02-05",62.59,63.07,60.310001,61.689999,8633700,52.753635
"2010-02-08",61.630001,62.66,61.099998,61.650002,5380200,52.719433
"2010-02-09",62.150002,62.290001,60.439999,61.450001,7747100,52.548401
"2010-02-10",61.450001,61.59,58.560001,60.009998,10418700,51.316998
"2010-02-11",60,60.580002,59.349998,60.52,5832300,51.753109
"2010-02-12",59.830002,59.849998,59.060001,59.330002,5727000,50.735497
"2010-02-16",59.279999,59.57,56.990002,58.459999,9030900,49.991528
"2010-02-17",58.549999,61.09,58.549999,59.700001,9182300,51.05191
"2010-02-18",59.110001,59.880001,58.25,59.110001,6166400,50.547359
"2010-02-19",59.119999,59.27,58.389999,58.470001,5993500,50.000072
"2010-02-22",58.349998,59.779999,57.91,59.439999,8005200,50.829567
"2010-02-23",59.32,59.759998,58.540001,59.009998,5930200,50.461857
"2010-02-24",59.34,60.369999,58.5,60.139999,6493800,51.428169
"2010-02-25",59.799999,61.610001,59.220001,61.450001,15277300,52.548401
"2010-02-26",61.490002,62.990002,61.490002,61.869999,7666100,52.907551
"2010-03-01",62.490002,63.459999,61.200001,62.060001,6988200,53.070057
"2010-03-02",61.27,62.889999,61.189999,61.900002,5509600,52.933216
"2010-03-03",61.34,62.700001,61.119999,62.360001,4413200,53.326576
"2010-03-04",62.23,62.23,60.07,61.23,8895200,52.360275
"2010-03-05",61.279999,62.310001,61.169998,62.25,4360700,53.232513
"2010-03-08",62.130001,62.75,61.619999,61.959999,4424000,52.98452
"2010-03-09",61.580002,62.07,61.290001,61.43,3654300,52.5313
"2010-03-10",61.25,62.919998,61.25,62.48,6002200,53.429195
"2010-03-11",62.41,63.73,62.07,63.549999,6307100,54.3442
"2010-03-12",63.950001,63.950001,62.189999,62.580002,5541500,53.514706
"2010-03-15",62.459999,62.560001,60.610001,61.52,6408200,52.608253
"2010-03-16",61.43,62.02,60.669998,61.970001,4710100,52.993076
"2010-03-17",62.150002,62.380001,61.029999,61.939999,6469400,52.967419
"2010-03-18",61.689999,64.300003,60.82,63.82,10554100,54.575077
"2010-03-19",65.07,65.839996,64.25,65.07,12464700,55.644001
"2010-03-22",65.209999,66.330002,64.120003,64.389999,8654700,55.062519
"2010-03-23",64.370003,64.529999,62.939999,63.610001,5986200,54.395512
"2010-03-24",63.310001,64.169998,63.09,63.400002,5141200,54.215927
"2010-03-25",63.900002,64.260002,63.009998,63.59,3414400,54.378391
"2010-03-26",63.810001,63.91,63.029999,63.049999,3656500,53.91663
"2010-03-29",63.299999,64.379997,63.029999,64.190002,4434200,54.891479
"2010-03-30",64.25,65.150002,63.84,64.690002,3618400,55.319065
"2010-03-31",65.129997,65.209999,64.309998,64.379997,5289300,55.053955
"2010-04-01",64.470001,64.839996,64.18,64.709999,3527900,55.336163
"2010-04-05",65.110001,65.57,64.699997,65.339996,2962700,55.874901
"2010-04-06",64.980003,65.809998,64.610001,64.610001,3795700,55.250652
"2010-04-07",64.309998,64.580002,62.790001,63.259998,7326800,54.096214
"2010-04-08",63.049999,63.209999,61.540001,62.09,7520400,53.095688
"2010-04-09",61.939999,62.049999,60.310001,61.259998,7036700,52.385918
"2010-04-12",61.18,61.639999,61,61.34,4583700,52.454334
"2010-04-13",61.07,61.400002,59.900002,60.18,6152100,51.462372
"2010-04-14",59.790001,60,58.619999,58.959999,7712600,50.419106
"2010-04-15",58.73,58.900002,56.98,58.580002,11739900,50.094135
"2010-04-16",58.360001,59.349998,58.220001,59.080002,8120100,50.521717
"2010-04-19",58.889999,60.77,58.830002,60.549999,6357600,51.778778
"2010-04-20",61.490002,61.490002,59.389999,59.84,6309900,51.171623
"2010-04-21",59.75,60.02,58.299999,58.639999,4945000,50.145458
"2010-04-22",58.349998,58.560001,57.400002,58.41,4702800,49.948772
"2010-04-23",58.290001,58.32,57.43,57.98,6426100,49.581066
"2010-04-26",58.290001,58.41,56.119999,56.560001,7605100,48.366764
"2010-04-27",56.310001,57.02,55.689999,55.919998,6182500,47.819473
"2010-04-28",55.43,58.189999,55.23,57.450001,8218100,49.127827
"2010-04-29",57.990002,59.93,57.790001,59.080002,7866500,50.521717
"2010-04-30",58.080002,58.139999,53.5,53.799999,18770900,46.006565
