"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2012-11-26",17.299999,17.42,17.059999,17.26,77400,16.393316
"2012-11-27",17.07,17.33,16.93,17.23,55800,16.364822
"2012-11-28",17.450001,17.49,16.98,17.25,94000,16.383818
"2012-11-29",17.459999,18.35,17.200001,18.16,164400,17.248123
"2012-11-30",18.440001,18.48,17.77,18,44200,17.096159
"2012-12-03",18.01,18.5,17.389999,18.1,47600,17.191137
"2012-12-04",18.23,18.23,17.41,17.83,30100,16.934692
"2012-12-05",17.58,18.1,17.58,17.98,33000,17.077162
"2012-12-06",17.76,17.780001,17.32,17.620001,41900,16.735241
"2012-12-07",17.68,17.85,17.6,17.75,42500,16.858711
"2012-12-10",17.889999,17.92,17.360001,17.620001,72300,16.735241
"2012-12-11",17.41,17.84,17.200001,17.540001,72200,16.659258
"2012-12-12",17.469999,17.780001,17.469999,17.639999,58000,16.754232
"2012-12-13",17.41,17.98,17.290001,17.879999,135900,16.982182
"2012-12-14",17.43,17.65,17.25,17.57,44700,16.687748
"2012-12-17",17.66,18.5,17.5,17.98,107600,17.077162
"2012-12-18",17.93,19.25,17.700001,18.799999,142600,17.855986
"2012-12-19",18.799999,19.889999,18.129999,19.18,192600,18.216906
"2012-12-20",18.950001,19.02,18.440001,19.02,200500,18.064938
"2012-12-21",18.620001,19.18,17.68,18.98,1936500,18.026951
"2012-12-24",19.049999,19.450001,18.01,18.639999,159000,17.70402
"2012-12-26",18.75,19,18.27,18.65,81300,17.713516
"2012-12-27",18.57,19.49,18.389999,18.540001,162100,17.609045
"2012-12-28",18.41,18.92,18.309999,18.780001,66400,17.836994
"2012-12-31",18.74,19.219999,18.57,19.120001,125600,18.159918
"2013-01-02",19.459999,19.92,18.6,19.24,189700,18.273895
"2013-01-03",19.24,19.459999,18.65,19.139999,89100,18.178911
"2013-01-04",19.25,20.49,18.969999,20.049999,173300,19.043219
"2013-01-07",19.889999,21.24,19.639999,20.77,210300,19.727068
"2013-01-08",20.690001,21.1,20.379999,20.6,229400,19.565601
"2013-01-09",20.709999,20.969999,20.4,20.469999,171800,19.442129
"2013-01-10",20.540001,21.99,20.34,21.629999,235200,20.543882
"2013-01-11",21.6,21.780001,20.549999,21.67,166300,20.581873
"2013-01-14",21.68,22.469999,21.68,21.799999,130400,20.705345
"2013-01-15",21.67,22.9,21.17,21.719999,59300,20.629364
"2013-01-16",21.08,21.52,20.059999,21.280001,239500,20.211454
"2013-01-17",21.370001,21.809999,20.76,21.120001,129800,20.059492
"2013-01-18",21.17,21.790001,20.309999,20.540001,119400,19.508615
"2013-01-22",20.6,21.889999,20.6,21.790001,160100,20.695848
"2013-01-23",21.74,21.74,20.950001,21.43,42700,20.353928
"2013-01-24",21.24,22.59,21.190001,21.43,114500,20.353928
"2013-01-25",21.549999,22.709999,21.549999,22,71200,20.895304
"2013-01-28",22.200001,22.25,21.34,21.639999,91000,20.553377
"2013-01-29",21.68,22.16,21.629999,22.129999,113700,21.018776
"2013-01-30",22.040001,22.879999,22.040001,22.67,340500,21.53166
"2013-01-31",22.530001,22.530001,21.549999,22.42,260400,21.294216
"2013-02-01",22.559999,22.950001,22.360001,22.700001,93600,21.560152
"2013-02-04",22.65,22.709999,21.85,22.540001,80100,21.408188
"2013-02-05",22.58,22.65,22.16,22.629999,38700,21.493668
"2013-02-06",22.49,22.83,22.209999,22.629999,136100,21.493668
"2013-02-07",22.059999,22.690001,22,22.42,61300,21.294216
"2013-02-08",22.389999,22.75,22.040001,22.049999,96400,20.942791
"2013-02-11",22.129999,22.129999,21.299999,21.559999,59100,20.477398
"2013-02-12",21.52,21.76,21.049999,21.57,154700,20.486891
"2013-02-13",21.549999,22.01,21.23,21.559999,321700,20.477398
"2013-02-14",21.549999,22.93,21.549999,22,379500,20.895304
"2013-02-15",22.07,22.65,21.700001,22.299999,146500,21.180237
"2013-02-19",22.32,22.82,22.23,22.82,102000,21.674131
