"dates","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"2010-01-04",50.150002,50.439999,49.66,49.810001,3716000,37.927544
"2010-01-05",49.630001,49.689999,48.52,48.630001,5941900,37.029022
"2010-01-06",48.259998,48.389999,47.349998,47.939999,10124500,36.503632
"2010-01-07",47.82,48.849998,47.82,48.630001,4901600,37.029022
"2010-01-08",48.650002,48.759998,48.07,48.560001,3933100,36.975742
"2010-01-11",48.700001,48.84,48.099998,48.540001,3058500,36.960503
"2010-01-12",48.990002,49.389999,48.599998,48.849998,5147300,37.196541
"2010-01-13",48.93,49.330002,48.830002,49.02,3462400,37.326
"2010-01-14",48.93,49.400002,48.73,49.279999,2656300,37.523975
"2010-01-15",49.110001,49.459999,48.259998,48.790001,4252500,37.150875
"2010-01-19",48.75,49.599998,48.43,49.43,3349400,37.638195
"2010-01-20",49.259998,49.700001,48.549999,48.93,3433400,37.257469
"2010-01-21",48.790001,49.080002,48.029999,48.950001,5942700,37.272713
"2010-01-22",48.810001,49.639999,48.200001,48.310001,6885300,36.785374
"2010-01-25",48.830002,49.110001,47.950001,48.889999,4768100,37.227013
"2010-01-26",50.549999,51.130001,50.150002,50.23,8489000,38.24733
"2010-01-27",50.290001,50.91,50.029999,50.900002,4662400,38.757511
"2010-01-28",51.07,51.07,49.98,50.27,4554800,38.277809
"2010-01-29",50.299999,50.990002,50.09,50.669998,4484800,38.582386
"2010-02-01",50.950001,50.950001,50.220001,50.689999,4302600,38.597618
"2010-02-02",50.599998,51.18,50.259998,51.09,5640200,38.902191
"2010-02-03",50.459999,50.950001,50.279999,50.57,3978800,38.506245
"2010-02-04",50.27,50.740002,49.689999,49.73,6662500,37.866619
"2010-02-05",49.610001,50.5,49.240002,50.279999,6746400,38.285419
"2010-02-08",50.18,50.290001,49.009998,49.049999,5193700,37.348843
"2010-02-09",49.540001,49.75,48.880001,49.57,5355400,37.744785
"2010-02-10",49.650002,49.91,49.25,49.689999,4619400,37.836151
"2010-02-11",49.610001,50.27,49.259998,50.200001,4639300,38.224514
"2010-02-12",49.77,50.490002,49.279999,50.450001,5810400,38.414852
"2010-02-16",50.59,51.610001,50.259998,51.610001,5379100,39.298138
"2010-02-17",51.709999,51.919998,51.169998,51.75,4512800,39.404743
"2010-02-18",51.650002,52.880001,51.599998,52.740002,4577600,40.158581
"2010-02-19",52.689999,53.130001,52.560001,52.880001,5437300,40.265179
"2010-02-22",53,53.290001,52.759998,53.040001,4457700,40.387009
"2010-02-23",52.73,53.419998,52.32,52.360001,6511900,39.869213
"2010-02-24",52.490002,52.970001,52.400002,52.790001,6050600,40.196648
"2010-02-25",52.119999,52.880001,52.119999,52.75,5101400,40.166199
"2010-02-26",52.790001,52.990002,52.32,52.59,7398500,40.044361
"2010-03-01",52.759998,53.419998,52.759998,53.080002,4330200,40.417461
"2010-03-02",53.220001,53.439999,52.91,53.290001,3619600,40.577362
"2010-03-03",53.43,53.720001,53.119999,53.119999,3892900,40.447918
"2010-03-04",53.27,53.619999,53.029999,53.549999,3911600,40.775356
"2010-03-05",53.849998,53.970001,53.450001,53.939999,4259700,41.072308
"2010-03-08",53.450001,53.990002,53.41,53.799999,3145000,41.217873
"2010-03-09",53.959999,54.200001,53.439999,53.57,5107400,41.041653
"2010-03-10",53.560001,53.779999,52.599998,52.889999,5891200,40.520687
"2010-03-11",52.880001,53.66,52.799999,53.619999,4085400,41.079964
"2010-03-12",53.84,54,53,53.16,4490200,40.727554
"2010-03-15",52.990002,53.060001,52.279999,52.73,4929600,40.398117
"2010-03-16",52.740002,52.959999,52.490002,52.849998,4126300,40.490059
"2010-03-17",53.110001,53.540001,52.849998,52.990002,5519100,40.597301
"2010-03-18",53.080002,53.709999,52.950001,53.380001,4113000,40.896095
"2010-03-19",53.459999,53.599998,52.779999,53.459999,13199100,40.957382
"2010-03-22",53.299999,53.580002,53.18,53.389999,3817700,40.903748
"2010-03-23",53.549999,53.900002,53.349998,53.900002,3244300,41.294491
"2010-03-24",53.860001,54.259998,53.700001,54.060001,3218200,41.417065
"2010-03-25",54.299999,54.5,54.009998,54.080002,4123700,41.432396
"2010-03-26",54.279999,54.740002,54.16,54.349998,3422700,41.639233
"2010-03-29",54.48,54.82,54.349998,54.759998,2644700,41.95335
"2010-03-30",54.830002,54.830002,53.799999,53.93,3517500,41.317471
"2010-03-31",53.799999,54.150002,53.689999,53.939999,3357100,41.325134
"2010-04-01",54.240002,54.330002,53.59,53.919998,3725300,41.309795
"2010-04-05",54.150002,54.150002,53.18,53.330002,4362000,40.857784
"2010-04-06",53.16,53.18,52.43,52.59,6585300,40.290855
"2010-04-07",52.52,53.189999,52.279999,52.5,5631700,40.221901
"2010-04-08",52.32,52.52,52.189999,52.259998,4147000,40.038033
"2010-04-09",52.360001,52.459999,52.139999,52.400002,3406400,40.145287
"2010-04-12",52.540001,52.68,51.93,52.02,3204900,39.854168
"2010-04-13",51.919998,52.419998,51.919998,52.220001,3433800,40.007385
"2010-04-14",52.189999,52.959999,52.18,52.91,3158800,40.536018
"2010-04-15",52.860001,52.970001,52.32,52.880001,3736400,40.513035
"2010-04-16",52.860001,53.209999,52.049999,52.139999,6067500,39.946083
"2010-04-19",52.040001,53.200001,51.939999,53.189999,4869200,40.750526
"2010-04-20",53.400002,53.470001,52.790001,53.169998,4311000,40.73521
"2010-04-21",52.990002,53.119999,52.400002,52.799999,3833100,40.451736
"2010-04-22",52.439999,53.84,52.18,53.790001,4727600,41.210205
"2010-04-23",52.869999,53.66,52.73,53.380001,5346400,40.896095
"2010-04-26",53.200001,53.380001,51.860001,51.919998,6322800,39.777542
"2010-04-27",51.59,51.830002,50.48,50.529999,6430300,38.712608
"2010-04-28",50.380001,51.259998,50.34,51.119999,6420800,39.164646
"2010-04-29",51.32,51.419998,50.700001,51.419998,4907800,39.394466
"2010-04-30",51.23,51.349998,50.490002,50.740002,5243100,38.873512
"2010-05-03",50.880001,51.279999,50.759998,51.209999,4037800,39.233585
"2010-05-04",50.599998,50.740002,49.810001,50,6098700,38.306568
"2010-05-05",49.779999,51.049999,49.75,50.619999,4062800,38.781586
"2010-05-06",50.580002,51.16,48.529999,49.799999,9027100,38.153343
"2010-05-07",49.669998,50.23,48.82,49.259998,7935600,37.739635
"2010-05-10",50.580002,50.73,49.459999,50.09,6336400,38.37553
"2010-05-11",49.599998,50.200001,49.52,49.779999,4672000,38.138016
"2010-05-12",50.009998,50.25,49.380001,50.189999,5782100,38.452126
"2010-05-13",50.099998,50.82,50.009998,50.169998,3797500,38.436806
"2010-05-14",49.869999,50.830002,49.869999,50.119999,6948500,38.398502
"2010-05-17",50.200001,50.48,49.349998,50.119999,6006800,38.398502
"2010-05-18",50.369999,50.779999,49.689999,49.830002,4367800,38.176327
"2010-05-19",49.740002,50.369999,49.41,50.139999,5241000,38.41383
"2010-05-20",49.150002,50.189999,48.380001,48.419998,7953900,37.096085
"2010-05-21",48,49.259998,47.91,49.23,8400600,37.716644
"2010-05-24",49.23,49.369999,48.43,48.490002,5255600,37.149715
"2010-05-25",47.689999,48.720001,47.689999,48.669998,6596100,37.287609
"2010-05-26",48.66,48.799999,47.869999,48,6973300,36.7743
"2010-05-27",48.48,49.77,48.459999,49.73,6247100,38.099709
"2010-05-28",49.91,50.049999,49.279999,49.470001,5474600,37.90052
"2010-06-01",49.119999,49.639999,48.540001,48.599998,4961100,37.233986
"2010-06-02",48.810001,49.779999,48.540001,49.779999,5062800,38.138016
"2010-06-03",49.810001,49.990002,49.389999,49.720001,3679300,38.092052
"2010-06-04",49.099998,49.540001,48.43,48.610001,6378300,37.241646
"2010-06-07",48.619999,48.82,48.259998,48.27,5780500,36.981163
"2010-06-08",47.77,49.119999,47.77,49.09,5964900,37.891987
"2010-06-09",49.389999,49.540001,48.720001,48.790001,6338100,37.660423
"2010-06-10",49.259998,50.029999,49.189999,49.990002,4964600,38.586704
"2010-06-11",49.759998,50.419998,49.630001,50.41,3916300,38.910896
"2010-06-14",50.799999,50.799999,50.029999,50.049999,4118000,38.633003
"2010-06-15",50.5,51.290001,50.150002,51.23,4132700,39.543831
"2010-06-16",50.970001,51.049999,50.41,50.830002,4817600,39.235077
"2010-06-17",51.040001,51.73,50.82,51.709999,4518100,39.914333
"2010-06-18",51.799999,51.91,51.259998,51.349998,8521800,39.636448
"2010-06-21",51.75,52,51.02,51.169998,3336200,39.49752
"2010-06-22",51.400002,51.84,50.990002,51.009998,3883400,39.374016
"2010-06-23",51.029999,51.400002,50.880001,51.110001,4276100,39.45121
"2010-06-24",51.060001,51.200001,50.43,50.540001,4200000,39.011242
"2010-06-25",50.82,51.27,50.32,51.119999,7527900,39.458923
"2010-06-28",51.240002,51.369999,50.98,51.07,3219600,39.420322
