"dates","NOC.Open","NOC.High","NOC.Low","NOC.Close","NOC.Volume","NOC.Adjusted"
"2010-01-04",50.686352,51.382046,50.686352,51.363976,1616159,39.991074
"2010-01-05",51.228451,51.906075,51.228451,51.454327,1859878,40.061401
"2010-01-06",51.318802,51.698269,51.129066,51.653095,2204981,40.21616
"2010-01-07",51.427219,52.366859,51.246521,52.186161,4750968,40.631191
"2010-01-08",51.833794,52.493351,51.635025,51.897041,1723741,40.406101
"2010-01-11",52.177124,52.357826,51.680199,51.951248,1523077,40.448311
"2010-01-12",51.716339,52.032566,51.318802,52.005459,1650581,40.490517
"2010-01-13",52.177124,53.821495,52.177124,53.568516,2729718,41.707481
"2010-01-14",53.523338,54.056404,52.917995,53.577549,2044383,41.71452
"2010-01-15",53.36071,53.496235,52.511421,52.963169,1846818,41.236172
"2010-01-19",52.954136,53.857635,52.556595,53.252289,2460210,41.461281
"2010-01-20",52.791504,53.044483,51.960285,52.665016,1858661,41.004032
"2010-01-21",52.538525,52.71019,51.120029,51.210381,2682125,39.871483
"2010-01-22",51.300732,51.373009,50.171356,50.261703,2182955,39.132854
"2010-01-25",50.821877,50.821877,50.017761,50.324951,2499170,39.182102
"2010-01-26",50.270741,51.002575,49.963551,50.623104,2079358,39.41423
"2010-01-27",50.460476,51.46336,50.225567,51.264591,3078915,39.913696
"2010-01-28",51.345905,51.680199,50.352055,51.17424,2672828,39.843342
"2010-01-29",51.46336,51.553711,50.876083,51.1381,2585833,39.815208
"2010-02-01",51.391079,52.493351,51.327835,52.330719,3725844,40.743755
"2010-02-02",52.294579,52.583698,51.625992,52.565632,3208412,40.926651
"2010-02-03",52.267475,53.080624,52.195194,52.863785,2173990,41.158794
"2010-02-04",52.520454,54.562366,51.373009,52.312649,6825235,40.729671
"2010-02-05",52.646946,52.854752,51.101959,52.09581,2839513,40.56086
"2010-02-08",52.186161,53.05352,51.653095,52.375896,2596015,40.778923
"2010-02-09",52.917995,54.173859,52.565632,53.803425,3011289,41.890377
"2010-02-10",53.731144,53.758251,52.71019,52.890888,2633204,41.17989
"2010-02-11",52.881855,53.68597,52.403,53.676933,2117211,41.791893
"2010-02-12",53.152905,53.351673,52.619839,53.207115,2815385,41.426098
"2010-02-16",53.64983,53.902809,53.225185,53.812462,2635639,41.897419
"2010-02-17",53.95702,54.164825,53.6679,54.155788,2161704,42.164719
"2010-02-18",53.95702,55.574284,53.902809,55.574284,3644272,43.269138
"2010-02-19",55.54718,55.827267,55.059292,55.303234,3061981,43.058105
"2010-02-22",55.312271,56.062176,55.276131,55.718845,1911898,43.381695
"2010-02-23",55.54718,56.224804,55.303234,55.330341,1949530,43.079212
"2010-02-24",55.538143,56.016998,55.276131,55.736916,2060985,43.395752
"2010-02-25",55.267094,55.285164,54.354561,55.22192,3060542,43.296589
"2010-02-26",55.23999,55.49297,54.535259,55.348412,3776536,43.39576
"2010-03-01",55.339375,57.128304,55.249023,56.929535,2709685,44.635441
"2010-03-02",56.884361,57.525845,56.739799,56.839184,2349640,44.564598
"2010-03-03",56.866291,56.947605,55.971825,56.306122,2759270,44.14666
"2010-03-04",56.279015,57.191551,56.089279,56.992779,3788157,44.68502
"2010-03-05",57.299969,58.149261,57.263828,58.02277,1525623,45.492588
"2010-03-08",57.968559,58.221539,57.598125,57.968559,1408522,45.450069
"2010-03-09",57.787861,58.293819,57.543915,57.824001,2027006,45.336739
"2010-03-10",57.69751,58.465485,57.625229,58.320927,1569673,45.726349
"2010-03-11",58.320927,58.546799,57.706547,58.501625,1440620,45.868031
"2010-03-12",58.483555,58.700394,57.688477,57.824001,2072053,45.336739
"2010-03-15",57.805931,58.158295,57.643299,58.104084,1925180,45.556332
"2010-03-16",58.212505,58.628117,58.086014,58.393204,1723630,45.783016
"2010-03-17",58.61908,59.034691,58.32996,58.63715,1645822,45.974289
"2010-03-18",58.754604,58.817848,58.483555,58.772675,1657333,46.080555
"2010-03-19",59.215389,59.278633,58.646187,59.215389,4805977,46.427643
"2010-03-22",58.96241,59.061794,58.546799,58.67329,2380631,46.002625
"2010-03-23",58.772675,59.016621,58.573906,58.899166,2372441,46.179718
"2010-03-24",58.853989,59.043724,58.483555,58.67329,1871610,46.002625
"2010-03-25",59.106972,59.2696,58.67329,58.709431,1736469,46.03096
"2010-03-26",58.745571,59.341881,58.745571,59.206356,1946763,46.420574
"2010-03-29",59.378021,59.685211,59.197319,59.432232,2234975,46.597675
"2010-03-30",59.585827,59.585827,59.043724,59.378021,1579081,46.555168
"2010-03-31",59.079865,59.522579,58.899166,59.242496,2179856,46.448917
"2010-04-01",59.676174,60.182137,59.441265,59.856876,1750747,46.930607
"2010-04-05",60.037575,60.254414,59.802666,60.010471,1528500,47.051022
"2010-04-06",59.811699,59.811699,59.215389,59.387054,1586608,46.562244
"2010-04-07",59.125038,59.540649,58.853989,58.92627,2221693,46.200977
"2010-04-08",58.890129,58.971443,58.402241,58.817848,1834975,46.115963
"2010-04-09",58.799782,59.802666,58.790745,59.766525,2007526,46.859768
"2010-04-12",59.766525,60.200207,59.721352,59.829769,1537244,46.909355
"2010-04-13",59.676174,60.344765,59.2696,60.20924,1967128,47.206882
"2010-04-14",60.389938,60.408009,59.486439,60.398975,1524848,47.355637
"2010-04-15",60.20924,60.5345,59.93819,60.371868,1462203,47.334385
"2010-04-16",60.344765,60.380905,59.116005,59.603893,1919424,46.732254
"2010-04-19",59.341881,60.082748,59.2696,60.010471,1492308,47.051022
"2010-04-20",60.19117,61.085636,60.055645,60.923004,1793470,47.76651
"2010-04-21",60.688095,61.790363,60.480289,61.772297,1666519,48.432396
"2010-04-22",61.401859,62.404743,61.248264,62.332466,2044715,48.871586
"2010-04-23",62.37764,62.37764,61.573524,62.332466,1265080,48.871586
"2010-04-26",62.37764,62.910706,62.205975,62.278255,1779081,48.829067
"2010-04-27",62.133694,62.133694,60.624851,60.697128,2209519,47.589397
"2010-04-28",62.766144,63.064301,61.212124,62.043346,3689098,48.644917
"2010-04-29",62.323429,63.019127,61.7994,62.68483,1983509,49.147854
"2010-04-30",62.621586,62.99202,61.230194,61.284405,2240730,48.04985
"2010-05-03",61.636768,62.68483,61.537384,62.558338,1511345,49.048676
"2010-05-04",61.871681,61.871681,59.829769,60.22731,2378307,47.221046
"2010-05-05",59.811699,60.633884,59.811699,60.426079,1734698,47.376896
"2010-05-06",60.1731,60.281521,54.517189,58.338997,2825235,45.74054
"2010-05-07",58.131191,58.438381,56.324188,56.77594,3095739,44.515015
"2010-05-10",58.844955,59.116005,57.580055,58.61908,3146431,45.960125
"2010-05-11",57.571018,59.359951,57.299969,58.628117,2089762,45.967209
"2010-05-12",58.628117,59.522579,58.573906,59.405125,1205645,46.576416
"2010-05-13",59.170216,59.57679,58.537766,58.709431,1004206,46.03096
"2010-05-14",58.203468,58.537766,56.730766,57.182514,1608522,44.833794
"2010-05-17",57.110233,57.905315,56.360329,57.525845,1649253,45.102982
"2010-05-18",57.977596,58.34803,56.77594,56.784973,1952850,44.522087
"2010-05-19",56.459717,56.893394,55.456829,56.260944,2178749,44.111229
