"dates","WYNN.Open","WYNN.High","WYNN.Low","WYNN.Close","WYNN.Volume","WYNN.Adjusted"
"2010-08-23",88.580002,88.739998,86.029999,86.080002,1886200,56.811989
"2010-08-24",85.150002,86.099998,82.050003,82.400002,2959700,54.38324
"2010-08-25",81.660004,84.610001,80.5,84.300003,2850700,55.637211
"2010-08-26",84.709999,85.099998,81.349998,81.860001,2380200,54.026825
"2010-08-27",82.760002,85.110001,80.5,84.339996,2595100,55.663628
"2010-08-30",84.309998,84.309998,81.760002,81.760002,1532600,53.960827
"2010-08-31",81.379997,83.120003,80,80.610001,4180800,53.201843
"2010-09-01",81.279999,82.919998,79.889999,82.57,3247200,54.495438
"2010-09-02",82.75,84.860001,82.190002,84.669998,1909500,55.881397
"2010-09-03",86.279999,88.580002,86.199997,87.809998,3212300,57.95377
"2010-09-07",87.129997,87.940002,86.279999,86.669998,1905700,57.201378
"2010-09-08",87.349998,89.5,87.099998,88.419998,1625700,58.356365
"2010-09-09",89.830002,90.580002,88.459999,88.839996,2152700,58.633553
"2010-09-10",89.110001,89.839996,88.419998,89.550003,1409300,59.102177
"2010-09-13",91,91.330002,90.269997,90.879997,1580800,59.97995
"2010-09-14",90.980003,91.5,89.949997,90.129997,1472300,59.484951
"2010-09-15",89.800003,90.75,89.370003,90.279999,1619200,59.583954
"2010-09-16",90.269997,90.610001,89.120003,89.809998,1192400,59.273769
"2010-09-17",90.480003,92.230003,90.010002,91.910004,4244900,60.659729
"2010-09-20",92.699997,95.129997,91.279999,94.93,3151900,62.652927
"2010-09-21",95,95.879997,92,92.730003,3427300,61.200943
"2010-09-22",92.650002,93.790001,90.599998,91.18,2761600,60.177967
"2010-09-23",90.279999,91,86.059998,87.050003,4474200,57.452168
"2010-09-24",89.089996,90.440002,87.169998,90.199997,4416300,59.531162
"2010-09-27",89.489998,89.599998,87,87.120003,3914200,57.498348
"2010-09-28",88.080002,88.870003,86.080002,87.639999,3144300,57.841579
"2010-09-29",87.059998,87.540001,85.720001,86.480003,2516900,57.076004
"2010-09-30",87.349998,88.690002,85.910004,86.769997,2619000,57.267372
"2010-10-01",87.599998,87.940002,85.800003,87.089996,2243800,57.47858
