"dates","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2010-08-03",130.029999,131.039993,129.330002,130.369995,5091800,91.951881
"2010-08-04",130.460007,131.5,129.850006,131.270004,4567500,92.586662
"2010-08-05",130.729996,131.979996,130.529999,131.830002,4520600,92.981651
"2010-08-06",130.410004,130.479996,128.759995,130.139999,6136200,92.244499
"2010-08-09",130.789993,132.339996,130.399994,132,6131700,93.562889
"2010-08-10",131.179993,132.490005,130.770004,131.839996,5471700,93.449455
"2010-08-11",130.690002,130.690002,129.460007,129.830002,6316100,92.024757
"2010-08-12",127.690002,128.779999,127.519997,128.300003,5132200,90.940277
"2010-08-13",127.959999,128.460007,127.330002,127.870003,4669400,90.63549
"2010-08-16",127.470001,128.229996,126.959999,127.769997,4009200,90.564598
"2010-08-17",128.830002,129.850006,127.900002,128.449997,4298300,91.0466
"2010-08-18",128.869995,130.199997,127.800003,129.389999,4883200,91.712875
"2010-08-19",128.669998,129.589996,128.020004,128.899994,5402400,91.36554
"2010-08-20",128.720001,128.979996,126.959999,127.5,6246300,90.37323
"2010-08-23",127.57,128.029999,126.440002,126.470001,4034400,89.64315
"2010-08-24",125.209999,126.019997,124.57,124.900002,5621200,88.530327
"2010-08-25",124.57,125.599998,124,125.269997,5235300,88.79258
"2010-08-26",125.779999,125.779999,122.779999,122.779999,7746600,87.027641
"2010-08-27",123.830002,124.800003,122.419998,124.730003,6214200,88.409813
"2010-08-30",125.080002,125.269997,123.400002,123.400002,3604000,87.467117
"2010-08-31",123.309998,123.989998,122.279999,123.129997,5624200,87.275726
"2010-09-01",125.309998,126.309998,124.519997,125.769997,5623100,89.14698
"2010-09-02",126.029999,126.230003,124.650002,125.040001,5103300,88.629578
"2010-09-03",126.220001,127.599998,125.900002,127.580002,5142900,90.429962
"2010-09-07",126.989998,127.360001,125.879997,125.949997,4353300,89.274582
"2010-09-08",126.019997,126.519997,125.389999,126.080002,4477500,89.366745
"2010-09-09",127.269997,127.57,126.150002,126.360001,3436700,89.565201
"2010-09-10",126.989998,128.289993,126.260002,127.989998,4418700,90.720551
"2010-09-13",128.630005,130,128.520004,129.610001,5271300,91.868813
"2010-09-14",128.429993,129.919998,128.429993,128.850006,4850500,91.330116
"2010-09-15",128.649994,129.960007,128.539993,129.429993,4762500,91.741211
"2010-09-16",129.199997,129.949997,128.800003,129.669998,4685000,91.911354
"2010-09-17",129.919998,130.600006,129.699997,130.190002,10397400,92.27993
"2010-09-20",130.240005,132.089996,130.110001,131.789993,7145500,93.41404
"2010-09-21",131.449997,132.800003,130.779999,131.979996,5267900,93.548683
"2010-09-22",131.610001,132.580002,131.399994,132.570007,4922400,93.966904
"2010-09-23",131.419998,132.779999,131.220001,131.669998,3898800,93.328957
"2010-09-24",132.419998,134.149994,132.339996,134.110001,7122400,95.058456
"2010-09-27",133.509995,135,133.509995,134.649994,6155400,95.441208
"2010-09-28",134.669998,135.139999,133.710007,134.889999,7481300,95.611328
"2010-09-29",134.399994,135.800003,134.339996,135.479996,5151200,96.029526
"2010-09-30",135.5,136.110001,133.669998,134.139999,6425800,95.079712
"2010-10-01",135.509995,136.279999,135.089996,135.639999,5621200,96.142921
"2010-10-04",135.229996,135.919998,134.389999,135.25,4059900,95.866493
"2010-10-05",136.179993,137.899994,136.119995,137.660004,6202500,97.574715
"2010-10-06",136.880005,137.960007,136.830002,137.839996,4783000,97.702309
"2010-10-07",137.919998,138.880005,137.520004,138.720001,6440800,98.326065
"2010-10-08",138.399994,139.089996,138.059998,138.850006,4540800,98.418213
"2010-10-11",138.789993,139.940002,138.639999,139.660004,4004300,98.992355
"2010-10-12",138.399994,139.990005,138.270004,139.850006,5637300,99.127037
"2010-10-13",139.910004,141.479996,139.779999,140.369995,8784300,99.495598
"2010-10-14",140.350006,141.5,139.690002,141.5,5653100,100.296577
"2010-10-15",142.100006,142.100006,140.539993,141.059998,7220400,99.984657
