"dates","DD.Open","DD.High","DD.Low","DD.Close","DD.Volume","DD.Adjusted"
"2010-01-04",40.136208,41.545242,39.566898,41.53101,11897253,30.131258
"2010-01-05",41.274822,43.452423,41.274822,43.381264,13197639,31.473619
"2010-01-06",44.092896,45.060719,43.808243,44.14983,15435795,32.031235
"2010-01-07",44.135593,44.548344,43.651684,44.178291,7254844,32.051888
"2010-01-08",43.779778,44.605274,43.267399,44.334854,5432631,32.165474
"2010-01-11",45.032253,45.032253,43.381264,43.779778,7205170,31.762756
"2010-01-12",43.267399,44.249454,42.968513,43.922104,7219152,31.866009
"2010-01-13",43.879406,44.363319,42.89735,43.765545,4414061,31.752434
"2010-01-14",43.46666,43.893639,43.182003,43.452423,3733656,31.525261
"2010-01-15",43.46666,43.46666,42.342274,42.683861,6774963,30.967655
"2010-01-19",42.299576,43.722847,42.299576,43.665916,4273961,31.680134
"2010-01-20",43.495125,43.509357,42.42767,43.210468,5998441,31.34972
"2010-01-21",43.082375,43.267399,40.748215,40.805145,9931708,29.60462
"2010-01-22",40.534721,41.146729,39.481503,39.509968,7956679,28.664949
"2010-01-25",40.121975,40.805145,39.993881,40.435093,5777541,29.336147
"2010-01-26",40.008114,40.919006,39.709225,39.979649,5329208,29.005714
"2010-01-27",40.022346,40.278534,39.154152,40.193138,6918787,29.160608
"2010-01-28",40.435093,40.506256,38.485214,38.954891,6652288,28.262239
"2010-01-29",39.424572,40.449326,38.556377,38.556377,8916300,27.973112
"2010-02-01",39.168385,40.790913,38.997589,40.748215,9631906,29.56332
"2010-02-02",39.723457,40.392395,38.058231,39.239548,19673221,28.468758
"2010-02-03",39.424572,39.965416,38.527912,39.25378,9518435,28.479097
"2010-02-04",38.641773,38.897961,37.61702,37.873207,10375827,27.477474
"2010-02-05",37.588554,38.428284,36.393005,37.745113,15368415,27.384533
"2010-02-08",37.745113,38.314423,36.805756,37.261204,10514451,27.033451
"2010-02-09",37.773579,39.851555,37.588554,39.552666,14286751,28.695942
"2010-02-10",39.225315,39.595364,38.542145,39.154152,7914944,28.406809
"2010-02-11",39.054523,39.808853,38.485214,39.652294,6596431,28.768219
"2010-02-12",38.983356,40.036579,38.499447,39.552666,7033593,28.695942
"2010-02-16",39.894253,40.563187,39.652294,40.534721,6060833,29.408422
"2010-02-17",40.534721,41.175194,40.306999,40.904774,6035679,29.676903
"2010-02-18",40.904774,42.157249,40.748215,42.043388,7224070,30.502983
"2010-02-19",41.716038,42.128784,41.274822,41.602177,7147977,30.182882
"2010-02-22",41.844131,42.143017,41.289055,41.787201,4995469,30.317112
"2010-02-23",41.516781,41.844131,40.705517,41.104031,6042284,29.821463
"2010-02-24",41.303288,41.630638,40.762447,41.274822,6359582,29.945387
"2010-02-25",40.164673,40.463558,39.680759,40.306999,7994128,29.2432
"2010-02-26",40.392395,40.919006,40.121975,40.292767,5483500,29.232887
"2010-03-01",40.463558,40.99017,40.321232,40.833611,6419163,29.62528
"2010-03-02",41.374451,41.602177,41.004402,41.104031,7377027,29.821463
"2010-03-03",41.289055,42.669628,41.075565,42.143017,8362997,30.575268
"2010-03-04",42.285343,42.655396,41.787201,42.071854,6447899,30.523628
"2010-03-05",42.313808,43.182003,42.285343,42.698093,6929045,30.977974
"2010-03-08",42.62693,42.826187,41.901062,41.986458,4970035,30.461683
"2010-03-09",41.829899,42.128784,41.388683,41.58794,5957760,30.172543
"2010-03-10",41.559479,42.057621,41.132496,41.360218,5914269,30.007345
"2010-03-11",41.189426,41.844131,40.719749,41.844131,5343119,30.358419
"2010-03-12",42.242645,43.011211,42.029156,42.470367,6436025,30.812765
"2010-03-15",42.328041,42.726559,42.100319,42.698093,6333023,30.977974
"2010-03-16",42.797722,43.509357,42.57,43.324329,7538768,31.43232
"2010-03-17",43.423962,43.580521,43.125072,43.310097,6966213,31.422001
"2010-03-18",43.324329,43.537823,42.498837,42.698093,7060924,30.977974
"2010-03-19",41.203659,42.982746,41.203659,41.203659,11351748,29.893745
"2010-03-22",40.69128,42.313808,40.42086,42.114552,7668329,30.554617
"2010-03-23",42.157249,42.669628,41.630638,42.655396,7832598,30.946997
"2010-03-24",42.256878,43.608986,42.128784,43.210468,8795662,31.34972
"2010-03-25",43.281631,43.779778,42.441902,42.527302,9574151,30.854071
"2010-03-26",42.484604,43.438194,42.21418,42.783489,6369629,31.039934
"2010-03-29",42.740791,42.996979,41.659107,42.014923,7286391,30.635208
"2010-03-30",41.986458,42.811954,41.829899,42.356506,4054678,30.884256
"2010-03-31",42.185715,42.612698,41.886829,42.086086,4879258,30.687099
"2010-04-01",42.541534,43.310097,42.42767,43.139305,6988556,31.455042
"2010-04-05",43.096607,44.249454,43.053909,44.107128,5793350,32.160728
"2010-04-06",43.808243,44.776066,43.637451,44.349087,6906421,32.337166
"2010-04-07",44.078663,44.434483,43.52359,43.822475,5705524,31.953176
"2010-04-08",43.438194,43.936337,43.125072,43.73708,5040576,31.89093
"2010-04-09",43.722847,43.979034,43.495125,43.808243,3993972,31.942801
"2010-04-12",43.694382,44.235226,43.52359,43.751312,3940082,31.901289
"2010-04-13",43.495125,43.694382,43.039677,43.552055,5061303,31.756008
"2010-04-14",43.73708,44.406017,43.637451,44.406017,5179833,32.37867
"2010-04-15",44.377552,44.875694,43.979034,44.576809,5913285,32.503208
"2010-04-16",44.377552,44.662205,43.295864,43.46666,7483472,31.693735
"2010-04-19",43.253166,43.822475,42.698093,43.79401,5161636,31.932438
"2010-04-20",43.808243,43.979034,42.968513,43.210468,8128747,31.506937
"2010-04-21",43.324329,43.367027,42.57,43.139305,5681425,31.455042
"2010-04-22",42.641163,43.210468,41.659107,43.096607,7348080,31.423912
"2010-04-23",43.281631,44.391785,43.16777,44.349087,7731142,32.337166
"2010-04-26",44.47718,44.975323,44.306389,44.591042,5500222,32.513584
"2010-04-27",44.591042,44.733368,42.683861,42.797722,8997451,31.205984
"2010-04-28",44.14983,45.487701,43.73708,45.302677,11627592,33.032482
"2010-04-29",45.331142,45.615795,44.832996,45.288445,8809925,33.022087
"2010-04-30",45.530399,45.601563,43.779778,43.879406,9128839,31.994696
"2010-05-03",44.277924,44.989555,43.566288,44.719135,6472491,32.606979
"2010-05-04",43.836708,43.936337,40.99017,41.716038,15245810,30.417274
"2010-05-05",41.274822,41.986458,39.965416,40.435093,12066933,29.483273
"2010-05-06",39.993881,40.719749,33.304512,37.972836,21211018,27.68791
"2010-05-07",38.058231,39.566898,36.222214,36.293381,24313943,26.463333
"2010-05-10",38.485214,39.509968,38.157864,39.054523,16318200,28.476618
"2010-05-11",38.456749,40.349697,38.399818,39.694992,10812989,28.943624
"2010-05-12",39.993881,41.104031,39.652294,41.032867,9581248,29.91913
"2010-05-13",41.374451,42.484604,40.961704,41.345985,10742096,30.147442
"2010-05-14",40.477791,40.563187,38.542145,38.912193,11758137,28.372847
"2010-05-17",38.997589,39.282246,37.303902,38.285957,9326623,27.916229
"2010-05-18",38.812565,39.837318,37.745113,38.043999,7569682,27.739794
"2010-05-19",37.659718,38.314423,37.190041,37.773579,8753225,27.542629
"2010-05-20",36.549568,37.716648,35.966026,36.578033,19449511,26.670893
"2010-05-21",35.652908,37.858974,35.652908,37.67395,13710261,27.469975
"2010-05-24",37.318134,37.67395,36.691895,36.805756,9533892,26.836939
"2010-05-25",35.112064,38.172096,34.642387,38.129398,14990553,27.802065
"2010-05-26",38.613308,38.826797,37.61702,37.745113,10127947,27.52186
"2010-05-27",38.670238,39.993881,38.470982,39.951183,9549841,29.130423
"2010-05-28",39.652294,39.808853,38.072468,38.30019,9394495,27.926598
"2010-06-01",37.659718,38.143627,36.435707,36.435707,12139652,26.567118
"2010-06-02",37.04771,37.702415,36.77729,37.659718,8947074,27.459597
"2010-06-03",37.716648,37.901672,36.578033,37.118874,6300352,27.065237
"2010-06-04",36.193748,36.862686,35.225925,35.354019,15669482,25.778397
"2010-06-07",35.624443,35.951794,34.756248,34.784714,8507382,25.363289
"2010-06-08",34.798946,35.809467,34.286568,35.795235,10495200,26.100111
"2010-06-09",36.264912,37.218506,36.022957,36.207981,9703361,26.401068
"2010-06-10",37.005013,37.588554,36.620731,37.560089,7265453,27.386953
"2010-06-11",36.933849,38.072468,36.819988,38.02977,5360052,27.72942
"2010-06-14",38.485214,38.556377,36.748825,36.862686,8412039,26.878447
"2010-06-15",37.246967,38.129398,37.190041,38.129398,6682359,27.802065
"2010-06-16",37.67395,38.271725,37.446228,38.02977,4848203,27.72942
"2010-06-17",38.086697,38.229027,36.763058,37.94437,5746346,27.667158
"2010-06-18",38.058231,38.456749,37.94437,38.428284,6830329,28.020006
"2010-06-21",38.983356,39.538433,38.001301,38.371353,5822860,27.978485
"2010-06-22",38.328655,38.826797,37.232738,37.3466,5607159,27.231291
"2010-06-23",37.303902,37.759346,36.563801,37.417763,6623130,27.283182
"2010-06-24",37.005013,37.218506,35.894863,35.994492,7022140,26.245398
"2010-06-25",36.037189,36.393005,35.425182,36.051422,10183172,26.286905
"2010-06-28",36.250683,36.549568,35.61021,36.321842,6173953,26.641859
"2010-06-29",35.524815,35.581745,34.130009,34.386196,10965666,25.222073
"2010-06-30",34.215405,35.354019,33.674561,33.759956,8384637,24.762732
"2010-07-01",33.589165,34.371964,32.350922,33.105255,11773243,24.282505
"2010-07-02",33.190651,33.34721,31.909708,32.692505,7672966,23.979761
"2010-07-06",33.261814,33.603397,32.379387,32.820599,7160414,24.073715
"2010-07-07",32.777901,34.57122,32.777901,34.57122,7138281,25.357779
"2010-07-08",34.941273,35.638676,34.656616,35.567513,7452698,26.088549
"2010-07-09",35.638676,36.948082,35.61021,36.933849,8289574,27.090765
"2010-07-12",36.706127,37.133106,36.250683,36.649197,7421784,26.881969
"2010-07-13",37.246967,38.428284,37.019245,38.015533,7487758,27.884172
"2010-07-14",37.88744,38.7841,37.3466,38.428284,10250762,28.186926
"2010-07-15",38.51368,38.698704,37.261204,37.901672,9250109,27.800652
"2010-07-16",37.474693,37.517391,35.695606,35.8237,8892271,26.27648
"2010-07-19",35.923328,36.151051,35.297089,35.766769,5122290,26.234716
"2010-07-20",35.154762,36.435707,34.827412,36.407242,6037014,26.704502
"2010-07-21",36.848454,36.948082,35.894863,36.321842,7683294,26.641859
"2010-07-22",36.905384,38.072468,36.819988,37.915905,6977174,27.811089
"2010-07-23",37.730881,38.414051,37.588554,38.328655,5350286,28.113838
"2010-07-26",38.186329,38.798332,38.015533,38.7841,3933408,28.447905
"2010-07-27",39.780388,40.250069,38.684471,38.92643,8188328,28.552315
"2010-07-28",38.855263,39.125687,38.414051,38.542145,5227400,28.270433
"2010-07-29",38.883732,39.381874,37.958603,38.812565,6551885,28.468784
"2010-07-30",38.342888,39.139919,38.043999,38.897961,6483943,28.531424
"2010-08-02",39.766155,40.563187,39.566898,40.321232,7784118,29.575384
"2010-08-03",37.204269,37.830509,36.037189,36.293381,29894052,26.620975
"2010-08-04",36.36454,36.677662,35.183228,35.282856,19628324,25.87977
"2010-08-05",35.311321,36.022957,35.154762,35.951794,9282569,26.37043
"2010-08-06",35.766769,36.50687,35.524815,36.207981,7296790,26.558342
"2010-08-09",36.435707,37.104641,36.393005,37.005013,6734774,27.142956
"2010-08-10",36.36454,37.332367,36.36454,36.99078,7539541,27.132519
"2010-08-11",35.980259,36.207981,35.396721,35.837933,8376908,26.286922
