"dates","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"2010-01-04",66.389999,67.199997,66.120003,67.110001,5771300,50.744717
"2010-01-05",66.989998,67.620003,66.730003,67.300003,7365300,50.888378
"2010-01-06",67.169998,68.940002,67.029999,68.800003,9950000,52.022587
"2010-01-07",68.489998,69.809998,68.209999,69.510002,7691900,52.559433
"2010-01-08",69.190002,72,69.089996,70.650002,13487200,53.421459
"2010-01-11",71.300003,71.559998,69.370003,70.650002,10301600,53.421459
"2010-01-12",69.199997,70.709999,68.800003,69.589996,9407300,52.619942
"2010-01-13",69.709999,71.080002,68.220001,70.849998,8803900,53.572681
"2010-01-14",70.110001,71.830002,70.110001,71.290001,7211800,53.905365
"2010-01-15",71.220001,71.970001,70.139999,70.830002,12585500,53.557579
"2010-01-19",69.870003,71.25,69.540001,70.93,7363000,53.633152
"2010-01-20",69.769997,70.150002,67.980003,69.089996,10724500,52.241859
"2010-01-21",69.019997,69.489998,67.519997,68.309998,11573600,51.652077
"2010-01-22",67.389999,68.379997,64.919998,65.239998,14339800,49.330719
"2010-01-25",65.690002,66.580002,64.5,65.809998,9890500,49.761715
"2010-01-26",65.25,67.75,64.769997,65.75,9105700,49.716354
"2010-01-27",65.459999,66.290001,64.82,65.699997,9693300,49.678539
"2010-01-28",66.120003,66.75,64.230003,64.629997,8888400,48.869469
"2010-01-29",65.400002,66.190002,62.889999,63.459999,11921200,47.984776
"2010-02-01",64.300003,65.199997,63.93,64.790001,8508100,48.990456
"2010-02-02",65.5,66.529999,64.970001,66.120003,7972100,49.99612
"2010-02-03",65.720001,66.879997,65.57,65.989998,6110700,49.897831
"2010-02-04",64.989998,65.190002,62.330002,62.5,9732100,47.258888
"2010-02-05",62.610001,63.169998,60.259998,62.060001,11505100,46.926182
"2010-02-08",62.23,63.68,61.57,62.119999,7956800,46.97155
"2010-02-09",63.130001,64.989998,63,63.759998,9163500,48.211624
"2010-02-10",63.610001,64.25,62.349998,63.650002,6904200,48.12846
"2010-02-11",63.560001,64.900002,62.549999,64.760002,7325000,48.967762
"2010-02-12",63.700001,64.730003,63.119999,64.300003,8400000,48.778126
"2010-02-16",65.330002,65.75,64.57,65.650002,6115900,49.802238
"2010-02-17",65.830002,66,64.879997,65.43,6430200,49.635338
"2010-02-18",65.879997,66.330002,65.089996,65.809998,7704400,49.923599
"2010-02-19",63.360001,64.389999,62.98,63.900002,18088700,48.474682
"2010-02-22",60.09,61.939999,59.75,61.57,87130600,46.707146
"2010-02-23",61.5,61.720001,60.16,60.880001,35857500,46.183704
"2010-02-24",61.130001,61.5,60.360001,60.91,22980900,46.206448
"2010-02-25",60.09,60.939999,59.419998,60.810001,17558200,46.130589
"2010-02-26",61.130001,61.400002,60.52,61.099998,15524000,46.35059
"2010-03-01",61.830002,61.98,60.959999,61.419998,12843400,46.593338
"2010-03-02",61.59,62.880001,61,62.810001,17688300,47.64782
"2010-03-03",63.389999,64.029999,63.029999,63.23,15293200,47.966427
"2010-03-04",63.240002,63.73,62.27,62.880001,12989200,47.700901
"2010-03-05",63.41,63.939999,63.209999,63.810001,11023900,48.406403
"2010-03-08",63.830002,64.650002,63.779999,64.480003,12253000,48.914677
"2010-03-09",64.040001,64.57,63.700001,64.099998,12032000,48.626396
"2010-03-10",64.010002,64.519997,63.23,64.199997,11854600,48.702255
"2010-03-11",64.059998,64.190002,63.349998,63.900002,8021300,48.474682
"2010-03-12",64.169998,64.669998,63.799999,64.540001,8398200,48.96019
"2010-03-15",64.099998,64.669998,63.299999,64.309998,10054100,48.785713
"2010-03-16",64.809998,65.660004,64.169998,65.519997,9911800,49.703617
"2010-03-17",65.769997,66.980003,65.5,66.599998,12425700,50.522903
"2010-03-18",66.5,66.730003,64.800003,65.25,12906100,49.498791
"2010-03-19",64.32,65.779999,63.740002,64.32,18665900,48.793301
"2010-03-22",62.700001,64.300003,62.040001,63.490002,15691300,48.163658
"2010-03-23",63.529999,63.970001,62.779999,63.029999,10663100,47.814697
"2010-03-24",62.41,63.310001,62.009998,62.209999,11762400,47.192642
"2010-03-25",62.849998,63.25,60.669998,60.759998,12399200,46.092678
"2010-03-26",61.119999,61.990002,61.099998,61.669998,11645300,46.782993
"2010-03-29",62.32,63.400002,62.18,63.07,10952500,47.845032
"2010-03-30",63.299999,63.830002,62.77,63.049999,10340600,47.829868
"2010-03-31",63.43,63.560001,62.939999,63.459999,11957700,48.140892
"2010-04-01",64.239998,64.870003,63.970001,64.57,11194100,48.982937
"2010-04-05",65.029999,66.230003,64.760002,65.769997,9733800,49.893265
"2010-04-06",65.889999,67.019997,65.800003,66.790001,10429500,50.66703
"2010-04-07",66.849998,66.849998,65.68,66.040001,9757000,50.098083
"2010-04-08",65.480003,66.790001,65.040001,66.620003,8790900,50.538094
"2010-04-09",67.07,67.349998,66.230003,66.529999,7648400,50.469784
"2010-04-12",66.199997,66.839996,66.150002,66.309998,5928200,50.302921
"2010-04-13",66.400002,66.400002,64.610001,65.510002,10312400,49.696014
"2010-04-14",66,67.419998,65.769997,67.099998,9175700,50.902222
"2010-04-15",67.010002,67.5,66.68,67.209999,5998100,50.985653
"2010-04-16",66.459999,67.160004,64.860001,65.800003,11292900,49.916027
"2010-04-19",65.18,65.919998,64.510002,65.239998,9762400,49.491207
"2010-04-20",66.400002,68,66.190002,67.849998,11961900,51.471157
"2010-04-21",67.889999,68.5,67.169998,68.019997,8688900,51.600113
"2010-04-22",67.260002,68.410004,66.779999,68.18,11255300,51.721497
"2010-04-23",70.139999,73.190002,69.900002,72.68,22082900,55.135201
"2010-04-26",72.599998,73.169998,72.25,72.690002,10580700,55.14278
"2010-04-27",72.389999,72.589996,70,70.309998,14671400,53.337311
"2010-04-28",70.769997,71.139999,69.120003,71.010002,10860300,53.868343
"2010-04-29",72.269997,73.989998,71.300003,73.150002,27991300,55.491745
"2010-04-30",73.330002,73.800003,70.529999,71.419998,24492000,54.179356
"2010-05-03",71.120003,71.980003,70.059998,71.309998,14228400,54.095909
"2010-05-04",69.550003,70.559998,68.510002,68.949997,14154100,52.305618
"2010-05-05",67.360001,68.32,66.440002,67.300003,14303300,51.053936
"2010-05-06",67.120003,68.110001,61,65.349998,18571600,49.574654
"2010-05-07",64.589996,65.639999,62.209999,62.860001,21513600,47.68573
"2010-05-10",65.519997,67,65.519997,66.830002,19198700,50.697369
"2010-05-11",66.029999,67.889999,65.959999,66.839996,11655400,50.704971
"2010-05-12",67.309998,67.650002,65.610001,66.650002,11561700,50.560829
"2010-05-13",67.07,68.32,65.980003,66.940002,9807600,50.780834
"2010-05-14",66.540001,66.68,64.019997,64.879997,12514100,49.218102
"2010-05-17",65.220001,65.389999,62.5,64.150002,12538500,48.66433
"2010-05-18",65.110001,66.150002,63.450001,63.740002,13130100,48.353306
"2010-05-19",63.450001,64.410004,61.639999,62.59,15471800,47.480911
"2010-05-20",60.919998,61.16,58.93,59.220001,19423500,44.924423
"2010-05-21",57.790001,60.669998,57.549999,60.5,21535400,45.895428
"2010-05-24",60.130001,60.540001,57.549999,57.599998,19525800,43.69548
"2010-05-25",56.049999,58.59,55.66,58.459999,20573000,44.347881
"2010-05-26",59.330002,60.34,58.650002,58.75,17318000,44.567863
"2010-05-27",60.580002,61.080002,58.599998,60.02,20613000,45.531307
"2010-05-28",59.48,59.810001,55.459999,56.150002,27777000,42.745071
"2010-06-01",54.450001,54.450001,51.669998,51.75,35731200,39.395496
"2010-06-02",53.720001,56.419998,53.349998,56.310001,26839300,42.866871
"2010-06-03",57.330002,57.529999,54.450001,56.630001,25274400,43.110481
"2010-06-04",55.700001,57.950001,55.169998,55.740002,20070400,42.432949
"2010-06-07",55.869999,56.599998,54.110001,54.23,14146300,41.283443
"2010-06-08",54.43,55.709999,53.849998,55.560001,16140500,42.295918
"2010-06-09",56.349998,57.939999,55.209999,55.470001,13576100,42.227409
"2010-06-10",57.790001,59.349998,57.349998,59.169998,16931400,45.04409
