"dates","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2010-01-04",61.84,63.43,61.77,63.16,3729300,53.78437
"2010-01-05",63.599998,64.220001,63.139999,63.549999,3195800,54.116467
"2010-01-06",63.310001,64.510002,63.310001,63.720001,3545900,54.26123
"2010-01-07",63.560001,65.269997,63.080002,64.940002,4994300,55.300121
"2010-01-08",64.620003,65.900002,64.080002,65.830002,2164400,56.058014
"2010-01-11",66.480003,66.489998,64.599998,65.139999,3038200,55.470448
"2010-01-12",64.480003,64.480003,62.369999,62.529999,5338700,53.247875
"2010-01-13",62.700001,63.099998,61,62.939999,4254900,53.597019
"2010-01-14",62.889999,63.209999,62.310001,63.009998,1725600,53.656628
"2010-01-15",62.889999,63.41,61.110001,62.43,3831200,53.162716
"2010-01-19",62.130001,63.040001,61.650002,63.040001,2006800,53.682167
"2010-01-20",62.25,62.380001,60.860001,62.040001,2369800,52.830624
"2010-01-21",62.299999,62.77,59.91,60.189999,5539500,51.25523
"2010-01-22",59.75,61.5,58.689999,58.689999,6095600,49.977898
"2010-01-25",59.459999,60.580002,59.459999,59.990002,3809900,51.084915
"2010-01-26",59.110001,60.419998,58.419998,59.09,4413900,50.31852
"2010-01-27",59.650002,61.75,57.200001,58.889999,7760000,50.148216
"2010-01-28",59.259998,59.459999,57.470001,57.869999,3651200,49.279613
"2010-01-29",58.43,59.860001,57.360001,57.790001,5221900,49.211494
"2010-02-01",58.450001,59.889999,58.18,59.720001,3636000,50.855015
"2010-02-02",59.66,61.279999,59.66,61.209999,3454400,52.123825
"2010-02-03",60.900002,61.169998,59.599998,60.07,2446100,51.153046
"2010-02-04",59.75,59.759998,56.990002,57.32,5163900,48.811272
"2010-02-05",57.560001,58.040001,55.889999,57.98,6737000,49.373287
"2010-02-08",57.91,58.48,56.91,57.029999,3301600,48.56432
"2010-02-09",58.049999,58.939999,57.310001,57.689999,4966400,49.126335
"2010-02-10",57.689999,58.650002,56.560001,57.869999,4739300,49.279613
"2010-02-11",57.880001,59.200001,57.529999,59.029999,2757300,50.267437
"2010-02-12",58,58.830002,57.630001,58.419998,3918300,49.747982
"2010-02-16",59.82,60.619999,59.200001,60.459999,3241500,51.485161
"2010-02-17",60.82,61.259998,60.259998,60.759998,3294800,51.740627
"2010-02-18",60.540001,61.139999,59.650002,60.68,3206100,51.672501
"2010-02-19",60.509998,61.09,60,60.84,2453200,51.808739
"2010-02-22",61.310001,61.310001,59.93,60.130001,2135800,51.204159
"2010-02-23",59.779999,59.939999,58.369999,58.73,2750800,50.011974
"2010-02-24",58.970001,59.52,58.34,59,2211100,50.241882
"2010-02-25",57.990002,58.709999,57.009998,58.66,2873300,49.952351
"2010-02-26",58.73,59.080002,58.220001,58.799999,2587200,50.071575
"2010-03-01",59.139999,60.110001,59.130001,60,2388100,51.093445
"2010-03-02",60.330002,61,59.98,60.220001,3557000,51.280792
"2010-03-03",60.490002,61.049999,60.369999,60.549999,2888300,51.561787
"2010-03-04",60.689999,60.889999,59.810001,60.419998,2807800,51.451088
"2010-03-05",60.990002,61.580002,60.639999,61.540001,3403600,52.404839
"2010-03-08",61.689999,61.810001,60.619999,61.25,2120900,52.157871
"2010-03-09",60.830002,60.970001,60.060001,60.5,3453800,51.519215
"2010-03-10",60.360001,61.57,60.360001,61.27,2898400,52.174911
"2010-03-11",60.91,61.169998,60.5,60.950001,2358300,51.987255
"2010-03-12",61.32,61.66,61,61.259998,1628900,52.251682
"2010-03-15",60.869999,61.080002,60.029999,60.43,3022800,51.543728
"2010-03-16",60.779999,61.759998,60.34,61.650002,3079600,52.584328
"2010-03-17",62.02,63.110001,61.990002,62.650002,2901900,53.437294
"2010-03-18",62.450001,62.540001,60.799999,61.66,2830400,52.59288
"2010-03-19",61.189999,62.130001,60.459999,61.189999,4025600,52.191975
"2010-03-22",60.490002,61.630001,60.279999,61.380001,2495900,52.354046
"2010-03-23",61.23,61.630001,60.790001,61.43,2575500,52.396683
"2010-03-24",60.919998,61.889999,60.650002,61.439999,2614100,52.405212
"2010-03-25",62.02,62.02,60.169998,60.25,2397500,51.390194
"2010-03-26",60.639999,60.810001,59.330002,59.669998,3241000,50.895493
"2010-03-29",60.099998,61.439999,59.73,61.080002,3434500,52.09816
