"dates","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2010-01-04",22.82,23.4,22.82,23.4,5765200,22.343914
"2010-01-05",23.41,23.825001,23.135,23.665001,8993400,22.596958
"2010-01-06",23.764999,23.875,23.530001,23.665001,6270400,22.596958
"2010-01-07",23.66,23.74,22.709999,22.77,8054600,21.742346
"2010-01-08",22.805,23.440001,22.535,23.43,8536200,22.372561
"2010-01-11",23.575001,23.59,22.895,23.24,7103800,22.19113
"2010-01-12",23.75,24.245001,23.43,23.6,10575800,22.534887
"2010-01-13",23.75,24.475,23.67,24.389999,8025800,23.289234
"2010-01-14",24.27,24.385,23.934999,24.055,5474800,22.969357
"2010-01-15",23.99,24.275,23.785,23.959999,6317800,22.878645
"2010-01-19",23.91,24.17,23.83,24.155001,5786600,23.064838
"2010-01-20",23.965,24.065001,23.395,23.58,6604400,22.515793
"2010-01-21",23.639999,23.799999,23.24,23.4,8963000,22.343914
"2010-01-22",23.389999,23.545,22.459999,22.584999,11094000,21.565697
"2010-01-25",22.700001,22.82,22.405001,22.639999,7615200,21.618216
"2010-01-26",22.535,23.07,22.254999,22.785,7274400,21.756668
"2010-01-27",22.719999,23.09,22.48,23.045,6530800,22.004936
"2010-01-28",22.915001,23.030001,22.055,22.280001,10321600,21.274467
"2010-01-29",22.42,22.795,21.790001,21.83,8996200,20.844769
"2010-02-01",21.9,22.344999,21.834999,22.344999,6332000,21.336529
"2010-02-02",22.32,22.635,22.040001,22.584999,5989600,21.565697
"2010-02-03",22.33,22.65,22.264999,22.584999,3605200,21.565697
"2010-02-04",22.375,22.415001,21.559999,21.559999,8287200,20.58696
"2010-02-05",21.5,21.85,21.040001,21.83,8956000,20.844769
"2010-02-08",21.66,22.15,21.645,21.870001,7368200,20.882967
"2010-02-09",22.615,23.33,22.445,23.245001,17385000,22.195911
"2010-02-10",23.235001,23.32,23.030001,23.17,8277000,22.124294
"2010-02-11",23.129999,23.620001,22.895,23.58,8110800,22.515793
"2010-02-12",23.25,23.67,23.045,23.58,10075200,22.515793
"2010-02-16",23.674999,24.17,23.405001,23.715,7406600,22.644701
"2010-02-17",23.809999,23.809999,23.495001,23.594999,5900200,22.530113
"2010-02-18",23.615,23.715,23.504999,23.65,6124200,22.582634
"2010-02-19",23.605,23.875,23.52,23.754999,7719200,22.682892
"2010-02-22",23.889999,23.889999,23.469999,23.665001,7004400,22.596958
"2010-02-23",23.535,23.74,23.475,23.610001,6853000,22.544439
"2010-02-24",23.754999,24.139999,23.709999,24.084999,8553000,22.997999
"2010-02-25",23.690001,24.084999,23.504999,24.08,8585600,22.993223
"2010-02-26",24.07,24.115,23.870001,24.065001,7802600,22.978903
"2010-03-01",24.24,25.25,24.08,25.24,14395800,24.100872
"2010-03-02",25.280001,25.655001,25.280001,25.504999,13258600,24.353907
"2010-03-03",25.549999,25.584999,24.84,24.92,9116000,23.795313
"2010-03-04",24.889999,25.08,24.545,24.815001,7323200,23.695053
"2010-03-05",25,25.389999,24.875,25.334999,5232600,24.19158
"2010-03-08",25.440001,25.440001,24.98,25.01,6663800,23.881256
"2010-03-09",25,25.32,24.915001,25.145,5581600,24.010157
"2010-03-10",25.075001,25.440001,25.02,25.405001,5765000,24.258427
"2010-03-11",25.27,25.530001,25.209999,25.504999,5664800,24.353907
"2010-03-12",25.549999,25.549999,25.34,25.4,4135800,24.253647
"2010-03-15",25.360001,25.459999,25.17,25.424999,4662600,24.277525
"2010-03-16",25.475,25.635,25.4,25.629999,5143800,24.473272
"2010-03-17",25.674999,26.01,25.674999,25.809999,4141600,24.645145
"2010-03-18",25.795,25.959999,25.709999,25.915001,3874400,24.745411
"2010-03-19",26.02,26.110001,25.49,25.625,10245200,24.4685
"2010-03-22",25.51,26.01,25.5,25.934999,4240600,24.764507
"2010-03-23",26.049999,26.315001,25.83,26.26,6509400,25.074841
"2010-03-24",26.200001,26.34,25.945,25.959999,5459800,24.788376
"2010-03-25",26.08,26.16,25.700001,25.73,5899400,24.568756
"2010-03-26",25.709999,25.875,25.41,25.545,4883400,24.392109
"2010-03-29",25.475,25.695,25.434999,25.57,3915600,24.415979
"2010-03-30",25.58,25.825001,25.51,25.73,3819800,24.568756
"2010-03-31",25.575001,25.715,25.445,25.49,4509000,24.33959
"2010-04-01",25.605,25.645,25.125,25.405001,5647400,24.258427
"2010-04-05",25.565001,26.115,25.459999,25.99,7066800,24.817024
"2010-04-06",25.790001,26.305,25.77,26.125,4534000,24.945925
"2010-04-07",25.995001,26.049999,25.465,25.555,6611200,24.401659
"2010-04-08",25.355,25.605,25.094999,25.445,4719800,24.296621
"2010-04-09",25.465,25.860001,25.405001,25.860001,4872200,24.69289
"2010-04-12",25.940001,26.09,25.75,25.98,5570600,24.807476
"2010-04-13",26.145,27.174999,26.110001,26.834999,14428600,25.623888
"2010-04-14",27.035,27.115,26.860001,26.965,6373200,25.74802
"2010-04-15",26.865,26.895,26.629999,26.83,5555200,25.61911
"2010-04-16",26.805,26.895,26.35,26.385,8633600,25.194197
"2010-04-19",26.040001,26.105,25.535,26.025,8352000,24.850443
"2010-04-20",26.264999,26.545,26.075001,26.51,5381400,25.313553
"2010-04-21",26.42,26.434999,26.16,26.385,4558800,25.194197
"2010-04-22",26.125,26.889999,25.969999,26.844999,5197000,25.633432
"2010-04-23",26.945,26.995001,26.450001,26.665001,6361000,25.461561
"2010-04-26",26.77,26.865,26.535,26.6,4689600,25.399498
"2010-04-27",26.469999,26.584999,25.695,25.745001,6648600,24.583082
"2010-04-28",25.809999,25.865,25.235001,25.49,6562600,24.33959
"2010-04-29",25.6,26.219999,25.584999,26.025,5186800,24.850443
"2010-04-30",25.745001,26.27,25.555,25.555,4886400,24.401659
"2010-05-03",25.625,26.07,25.51,26.01,6221800,24.836121
"2010-05-04",26.65,26.65,25.375,25.9,13717000,24.731085
"2010-05-05",25.725,25.745001,23.865,25.495001,9841000,24.344364
"2010-05-06",25.34,25.565001,22.975,24.375,11160200,23.274914
"2010-05-07",24,24.514999,23.25,23.76,14828400,22.687662
"2010-05-10",24.495001,25.9,24.155001,25.9,12632800,24.731085
"2010-05-11",25.535,26.115,25.125,25.709999,9732400,24.549658
"2010-05-12",25.715,26.25,25.65,26.245001,8575400,25.060518
