"dates","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2011-07-20",14.958333,15.016667,14.56,14.588333,7347600,14.588333
"2011-07-21",14.416667,14.416667,13.605,13.758333,21223800,13.758333
"2011-07-22",13.758333,13.758333,12.685,12.985,30604200,12.985
"2011-07-25",12.981667,12.981667,12.35,12.398333,19339800,12.398333
"2011-07-26",12.425,12.538333,12.218333,12.33,9582600,12.33
"2011-07-27",12.298333,12.35,11.93,11.933333,7140600,11.933333
"2011-07-28",11.916667,12.166667,11.813333,12.076667,10422000,12.076667
"2011-07-29",11.946667,12.068333,11.88,11.891667,7933200,11.891667
"2011-08-01",11.948333,11.996667,11.63,11.693333,13001400,11.693333
"2011-08-02",11.618333,11.785,11.605,11.7,12123000,11.7
"2011-08-03",11.698333,12.005,11.638333,12,14490000,12
"2011-08-04",11.831667,11.88,11.441667,11.453333,15760800,11.453333
"2011-08-05",11.455,11.62,11.066667,11.398333,10516800,11.398333
"2011-08-08",11.056667,11.19,10.578333,10.655,14800200,10.655
"2011-08-09",10.843333,11.048333,10.271667,11.005,16551000,11.005
"2011-08-10",10.818333,10.938333,10.443333,10.471667,8200800,10.471667
"2011-08-11",10.521667,11.14,10.521667,11.015,5161200,11.015
"2011-08-12",11.223333,11.74,11.175,11.525,9172200,11.525
"2011-08-15",11.57,11.743333,11.368333,11.556667,7359000,11.556667
"2011-08-16",11.498333,11.501667,11.251667,11.426667,4474200,11.426667
"2011-08-17",11.491667,11.658333,11.445,11.503333,4347600,11.503333
"2011-08-18",11.505,11.581667,11.01,11.2,10905600,11.2
"2011-08-19",11.138333,11.513333,11.066667,11.288333,7818600,11.288333
"2011-08-22",11.445,11.563333,11.21,11.34,7897800,11.34
"2011-08-23",11.32,11.786667,11.305,11.781667,6876600,11.781667
"2011-08-24",11.725,12.15,11.666667,12.048333,8884800,12.048333
"2011-08-25",12.053333,12.21,11.741667,11.815,5649600,11.815
"2011-08-26",11.755,12.276667,11.533333,12.263333,7032600,12.263333
"2011-08-29",12.4,12.51,12.346667,12.433333,5263200,12.433333
"2011-08-30",12.351667,12.483333,12.198333,12.42,6960600,12.42
"2011-08-31",12.51,12.736667,12.436667,12.575,4603200,12.575
"2011-09-01",12.588333,12.655,12.343333,12.421667,5130600,12.421667
"2011-09-02",12.208333,12.31,12.095,12.116667,4861200,12.116667
"2011-09-06",11.846667,12.203333,11.766667,12.181667,4739400,12.181667
"2011-09-07",12.365,12.465,12.285,12.46,5636400,12.46
"2011-09-08",12.37,12.488333,12.171667,12.18,4536000,12.18
"2011-09-09",12.068333,12.095,11.735,11.74,6750600,11.74
"2011-09-12",11.561667,11.886667,11.523333,11.865,6727200,11.865
"2011-09-13",11.9,12.29,11.9,12.243333,8580000,12.243333
"2011-09-14",12.353333,12.566667,12.151667,12.438333,6337200,12.438333
"2011-09-15",12.5,12.8,12.398333,12.72,6222000,12.72
"2011-09-16",12.803333,12.913333,12.621667,12.86,6308400,12.86
"2011-09-19",12.685,12.93,12.55,12.875,5442000,12.875
"2011-09-20",12.916667,13.316667,12.841667,13.083333,6442200,13.083333
"2011-09-21",13.098333,13.123333,12.736667,12.746667,5184600,12.746667
"2011-09-22",12.395,12.506667,12.261667,12.445,7396200,12.445
"2011-09-23",12.318333,12.493333,12.03,12.423333,5598000,12.423333
"2011-09-26",12.525,12.79,12.365,12.77,4030200,12.77
"2011-09-27",13.04,13.285,12.896667,12.97,4519800,12.97
"2011-09-28",12.971667,13.088333,12.633333,12.645,4980000,12.645
"2011-09-29",12.066667,12.083333,11.25,11.813333,34267200,11.813333
"2011-09-30",11.526667,12.221667,11.526667,11.88,10588800,11.88
"2011-10-03",11.815,11.815,11.333333,11.403333,7672200,11.403333
"2011-10-04",11.203333,11.665,10.803333,11.645,1.2e+07,11.645
"2011-10-05",11.666667,11.708333,11.465,11.516667,7791000,11.516667
"2011-10-06",11.533333,11.733333,11.506667,11.723333,7294200,11.723333
"2011-10-07",11.821667,12.17,11.786667,12.005,6391200,12.005
"2011-10-10",12.173333,12.235,11.98,12.031667,5349000,12.031667
"2011-10-11",12.001667,12.2,11.921667,11.946667,4815600,11.946667
"2011-10-12",12,12.051667,11.803333,11.815,6435600,11.815
"2011-10-13",11.715,11.931667,11.69,11.871667,4216200,11.871667
"2011-10-14",11.978333,12.043333,11.856667,12,4003800,12
"2011-10-17",11.75,11.841667,11.401667,11.421667,8657400,11.421667
"2011-10-18",11.353333,11.788333,11.353333,11.693333,5014800,11.693333
"2011-10-19",11.72,11.916667,11.281667,11.298333,10606800,11.298333
"2011-10-20",11.666667,12.04,11.383333,12,12934200,12
"2011-10-21",12.12,12.291667,12.058333,12.23,6295800,12.23
"2011-10-24",12.211667,12.66,12.211667,12.583333,7356000,12.583333
"2011-10-25",12.506667,12.666667,12.136667,12.156667,5230800,12.156667
"2011-10-26",12.33,12.385,12.085,12.258333,3448800,12.258333
"2011-10-27",12.583333,12.715,12.368333,12.576667,4891800,12.576667
"2011-10-28",12.606667,12.728333,12.568333,12.676667,4360200,12.676667
"2011-10-31",12.48,12.761667,12.388333,12.57,5862600,12.57
"2011-11-01",12.258333,12.45,12.15,12.251667,5498400,12.251667
"2011-11-02",12.451667,12.615,12.02,12.395,7273200,12.395
"2011-11-03",12.9,12.9,12.506667,12.8,6610200,12.8
"2011-11-04",12.735,12.838333,12.666667,12.74,4431600,12.74
"2011-11-07",12.708333,12.83,12.543333,12.701667,2613000,12.701667
"2011-11-08",12.7,12.861667,12.571667,12.713333,4437600,12.713333
"2011-11-09",12.416667,12.488333,11.931667,11.95,8099400,11.95
"2011-11-10",12.056667,12.201667,11.363333,11.503333,21659400,11.503333
"2011-11-11",11.575,11.92,11.385,11.761667,11892600,11.761667
"2011-11-14",11.733333,11.951667,11.641667,11.72,6700800,11.72
"2011-11-15",11.678333,11.775,11.461667,11.461667,7759800,11.461667
"2011-11-16",11.381667,11.396667,10.865,10.891667,18659400,10.891667
"2011-11-17",10.856667,10.873333,10.521667,10.613333,8560200,10.613333
"2011-11-18",10.665,10.763333,10.483333,10.503333,8812200,10.503333
"2011-11-21",10.343333,10.87,10.333333,10.686667,11222400,10.686667
"2011-11-22",10.643333,10.803333,10.411667,10.51,5418000,10.51
"2011-11-23",10.401667,10.561667,10.265,10.491667,5981400,10.491667
"2011-11-25",10.435,10.57,10.38,10.416667,2130600,10.416667
"2011-11-28",10.661667,10.76,10.556667,10.643333,4366800,10.643333
"2011-11-29",10.651667,10.715,10.588333,10.588333,2849400,10.588333
"2011-11-30",10.87,11.005,10.841667,11.005,6060000,11.005
"2011-12-01",10.955,11.235,10.905,11.138333,4112400,11.138333
"2011-12-02",11.198333,11.198333,10.755,10.831667,6245400,10.831667
"2011-12-05",10.995,11.063333,10.826667,10.873333,5565000,10.873333
"2011-12-06",10.898333,10.928333,10.765,10.863333,3333000,10.863333
"2011-12-07",10.82,10.87,10.69,10.801667,3405000,10.801667
"2011-12-08",10.708333,10.718333,10.626667,10.636667,5364600,10.636667
"2011-12-09",10.763333,10.921667,10.448333,10.755,9744600,10.755
"2011-12-12",10.855,11.398333,10.673333,11.308333,14998200,11.308333
"2011-12-13",11.308333,11.436667,11.105,11.188333,9940200,11.188333
"2011-12-14",11.138333,11.15,10.926667,10.98,6245400,10.98
"2011-12-15",11.018333,11.085,10.871667,11.05,5717400,11.05
"2011-12-16",11.138333,11.285,11.09,11.231667,8354400,11.231667
"2011-12-19",11.236667,11.33,11.165,11.266667,5623800,11.266667
"2011-12-20",11.4,11.766667,11.383333,11.743333,7495200,11.743333
"2011-12-21",11.698333,11.718333,11.496667,11.671667,3663600,11.671667
"2011-12-22",11.755,11.97,11.695,11.735,4027800,11.735
"2011-12-23",11.736667,11.836667,11.693333,11.83,1972200,11.83
"2011-12-27",11.768333,11.845,11.728333,11.785,1385400,11.785
"2011-12-28",11.811667,11.83,11.633333,11.686667,2309400,11.686667
"2011-12-29",11.723333,11.931667,11.635,11.903333,2251800,11.903333
"2011-12-30",11.86,11.95,11.783333,11.783333,2632200,11.783333
"2012-01-03",12.013333,12.181667,11.975,12,5939400,12
"2012-01-04",11.965,12.06,11.795,11.806667,4015200,11.806667
"2012-01-05",11.696667,12.021667,11.673333,11.991667,4635000,11.991667
"2012-01-06",11.926667,12.161667,11.92,12.146667,4887600,12.146667
"2012-01-09",12.135,12.151667,11.98,12.105,3301800,12.105
"2012-01-10",12.185,12.398333,12.173333,12.398333,5918400,12.398333
"2012-01-11",12.416667,12.436667,12.328333,12.381667,6427200,12.381667
"2012-01-12",12.408333,12.428333,12.231667,12.358333,2715000,12.358333
"2012-01-13",12.286667,12.383333,12.128333,12.201667,3072600,12.201667
"2012-01-17",12.31,12.393333,12.021667,12.041667,5877600,12.041667
"2012-01-18",12.185,13.015,12.031667,12.946667,17151000,12.946667
"2012-01-19",12.968333,13.166667,12.885,12.981667,9214200,12.981667
"2012-01-20",12.981667,13.161667,12.735,12.853333,6047400,12.853333
"2012-01-23",12.876667,13.23,12.751667,13.218333,9090000,13.218333
"2012-01-24",13.11,13.333333,13.03,13.09,5153400,13.09
"2012-01-25",13.13,13.205,12.926667,13.166667,4895400,13.166667
"2012-01-26",13.166667,13.181667,13,13.045,4631400,13.045
"2012-01-27",13.048333,13.25,13,13.196667,4877400,13.196667
"2012-01-30",13.063333,13.153333,12.963333,13.045,4593600,13.045
"2012-01-31",13.34,13.993333,13.34,13.778333,17877600,13.778333
"2012-02-01",13.745,13.895,13.588333,13.615,12187800,13.615
"2012-02-02",13.513333,13.558333,13.328333,13.445,7403400,13.445
"2012-02-03",12.045,12.5,11.833333,11.923333,40098600,11.923333
"2012-02-06",11.888333,12.165,11.696667,12.086667,11296800,12.086667
"2012-02-07",12.088333,12.328333,12.001667,12.271667,7602000,12.271667
"2012-02-08",12.326667,12.373333,12.225,12.333333,5935800,12.333333
"2012-02-09",12.281667,12.351667,12.191667,12.218333,5848200,12.218333
"2012-02-10",12.146667,12.336667,12.09,12.311667,6327000,12.311667
"2012-02-13",12.355,12.411667,12.275,12.355,4983000,12.355
"2012-02-14",12.31,12.483333,12.266667,12.321667,6606000,12.321667
"2012-02-15",12.421667,12.673333,12.313333,12.641667,13630800,12.641667
"2012-02-16",12.61,12.716667,12.556667,12.71,7145400,12.71
"2012-02-17",12.76,12.76,12.516667,12.601667,7026600,12.601667
"2012-02-21",12.541667,12.671667,12.396667,12.44,5319000,12.44
"2012-02-22",12.4,12.56,12.333333,12.395,5561400,12.395
"2012-02-23",12.415,12.448333,12.193333,12.281667,6910200,12.281667
"2012-02-24",12.33,12.475,12.291667,12.376667,4243800,12.376667
"2012-02-27",12.246667,12.296667,12.038333,12.261667,5476800,12.261667
"2012-02-28",12.261667,12.29,12.138333,12.221667,4383000,12.221667
"2012-02-29",12.21,12.29,12.11,12.188333,5061000,12.188333
"2012-03-01",12.196667,12.245,11.97,12.05,11977200,12.05
"2012-03-02",12.078333,12.175,11.846667,11.87,6364200,11.87
"2012-03-05",11.82,11.945,11.751667,11.8,4821000,11.8
"2012-03-06",11.723333,11.776667,11.418333,11.468333,8239800,11.468333
"2012-03-07",11.46,11.576667,11.393333,11.405,5110200,11.405
"2012-03-08",11.58,11.58,11.325,11.421667,13777200,11.421667
"2012-03-09",11.421667,11.538333,11.383333,11.486667,8466000,11.486667
"2012-03-12",11.456667,11.711667,11.403333,11.54,8305800,11.54
"2012-03-13",11.561667,11.643333,11.433333,11.55,6328800,11.55
"2012-03-14",11.565,11.763333,11.551667,11.615,6951000,11.615
"2012-03-15",11.603333,11.721667,11.486667,11.668333,3238200,11.668333
"2012-03-16",11.665,11.936667,11.625,11.903333,7803000,11.903333
"2012-03-19",11.826667,11.851667,11.675,11.746667,6486600,11.746667
