"dates","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2010-05-03",18.240385,18.596153,18.230768,18.519232,62564008,13.790311
"2010-05-04",18.326923,18.336538,17.644232,17.865385,97888648,13.303425
"2010-05-05",17.519232,17.778847,17.240385,17.403847,111279584,12.95974
"2010-05-06",17.307692,17.451923,14.567308,16.644232,189407712,12.394094
"2010-05-07",16.836538,17.009615,15.884615,16.230768,172084536,12.086212
"2010-05-10",17.346153,17.663462,17.192308,17.346153,143698152,12.91678
"2010-05-11",17.163462,17.634615,17.134615,17.307692,86843952,12.888134
"2010-05-12",17.394232,17.788462,17.375,17.730768,70623800,13.203181
"2010-05-13",17.701923,17.721153,17.269232,17.355768,66885104,12.923942
"2010-05-14",17.278847,17.346153,16.740385,16.961538,87064328,12.630375
"2010-05-17",16.932692,17.038462,16.432692,16.884615,81904680,12.573097
"2010-05-18",17.038462,17.182692,16.394232,16.567308,82672200,12.336812
"2010-05-19",16.413462,16.711538,16.105768,16.596153,140340720,12.358293
"2010-05-20",16.163462,16.182692,15.625,15.634615,160613752,11.642283
"2010-05-21",15.096154,15.798077,15.048077,15.788462,152230312,11.756847
"2010-05-24",15.692308,15.759615,15.355769,15.394231,77094888,11.463286
"2010-05-25",14.903846,15.355769,14.663462,15.336538,127122216,11.420326
"2010-05-26",15.721154,15.855769,15.355769,15.394231,86610680,11.463286
"2010-05-27",15.788462,16.038462,15.519231,16.019232,72923032,11.928688
"2010-05-28",16.019232,16.048077,15.538462,15.721154,73198632,11.706728
"2010-06-01",15.615385,15.875,15.317308,15.365385,76053120,11.441803
"2010-06-02",15.538462,15.759615,15.336538,15.721154,65362856,11.706728
"2010-06-03",15.778846,15.846154,15.605769,15.817308,53910480,11.77833
"2010-06-04",15.461538,15.461538,14.961538,15.105769,118996904,11.248481
"2010-06-07",15.125,15.144231,14.778846,14.817308,76144744,11.033682
"2010-06-08",14.865385,14.951923,14.471154,14.884615,92951664,11.083805
"2010-06-09",14.980769,15.096154,14.634615,14.730769,69527744,10.969238
"2010-06-10",14.990385,15.259615,14.923077,15.076923,81760536,11.227003
"2010-06-11",14.932692,15.009615,14.778846,14.961538,73685768,11.14108
"2010-06-14",15.163462,15.269231,14.759615,14.798077,78763776,11.019361
"2010-06-15",14.923077,15.240385,14.769231,15.182692,82251936,11.30576
"2010-06-16",15.105769,15.471154,15.019231,15.240385,90113712,11.348724
"2010-06-17",15.259615,15.317308,15.048077,15.298077,59322744,11.464009
"2010-06-18",15.384615,15.432692,15.25,15.336538,61701952,11.492835
"2010-06-21",15.586538,15.817308,15.413462,15.480769,74070360,11.600916
"2010-06-22",15.471154,15.548077,15.163462,15.182692,67582008,11.377543
"2010-06-23",15.153846,15.278846,14.778846,14.798077,101477064,11.089325
"2010-06-24",14.788462,14.855769,14.423077,14.5,100150960,10.865954
"2010-06-25",14.538462,14.567308,14.25,14.336538,139598784,10.743457
"2010-06-28",14.384615,14.625,14.336538,14.423077,62863736,10.808309
"2010-06-29",14.182692,14.221154,13.721154,13.923077,119501096,10.433622
"2010-06-30",13.913462,14.125,13.798077,13.865385,84830928,10.390386
"2010-07-01",13.778846,13.875,13.336538,13.576923,111360808,10.174222
"2010-07-02",13.615385,13.711538,13.221154,13.346154,81686384,10.001288
"2010-07-06",13.567308,13.759615,13.278846,13.432692,80240888,10.066137
"2010-07-07",13.451923,14.096154,13.423077,14.057692,95379856,10.534496
"2010-07-08",14.298077,14.586538,14.009615,14.259615,91964184,10.685815
"2010-07-09",14.375,14.413462,14.182692,14.375,47937968,10.77228
"2010-07-12",14.326923,14.413462,14.211538,14.355769,39926432,10.757867
"2010-07-13",14.634615,14.759615,14.576923,14.625,60175232,10.959624
"2010-07-14",14.673077,14.711538,14.480769,14.615385,47554208,10.952419
"2010-07-15",14.576923,14.692308,14.307692,14.663462,82502160,10.988445
"2010-07-16",14.423077,14.480769,13.942308,13.990385,130431600,10.484059
"2010-07-19",14.076923,14.173077,13.913462,14.057692,51035920,10.534496
"2010-07-20",13.807692,14.432692,13.807692,14.365385,69970576,10.765072
"2010-07-21",14.528846,14.615385,14.076923,14.269231,67622776,10.693019
"2010-07-22",14.5,14.701923,14.394231,14.625,66872728,10.959624
"2010-07-23",14.625,15.240385,14.451923,15.105769,117244712,11.319901
"2010-07-26",15.298077,15.538462,15.096154,15.519231,84188312,11.62974
"2010-07-27",15.673077,15.932692,15.480769,15.557692,72739784,11.658563
"2010-07-28",15.480769,15.557692,15.336538,15.432692,54578264,11.564888
"2010-07-29",15.528846,15.615385,15.326923,15.528846,72575048,11.636946
"2010-07-30",15.307692,15.615385,15.298077,15.5,62535616,11.615328
"2010-08-02",15.692308,15.836538,15.682692,15.778846,70108480,11.824287
"2010-08-03",15.759615,15.884615,15.730769,15.769231,57296616,11.817082
"2010-08-04",15.778846,15.875,15.740385,15.846154,47968960,11.874728
"2010-08-05",15.721154,15.903846,15.644231,15.884615,48460776,11.903552
"2010-08-06",15.692308,15.817308,15.471154,15.817308,61312368,11.853112
"2010-08-09",15.788462,15.826923,15.673077,15.75,41515552,11.802673
"2010-08-10",15.567308,15.711538,15.346154,15.625,55365856,11.709
"2010-08-11",15.365385,15.413462,14.942308,15.096154,80250560,11.312696
"2010-08-12",14.826923,15.076923,14.75,14.903846,60573032,11.168583
"2010-08-13",14.75,14.923077,14.75,14.788462,43316832,11.082117
"2010-08-16",14.701923,14.894231,14.567308,14.865385,58686784,11.139762
"2010-08-17",15.057692,15.134615,14.903846,14.980769,63344528,11.226227
"2010-08-18",14.980769,15.134615,14.913462,15.096154,43994912,11.312696
"2010-08-19",14.961538,15.038462,14.471154,14.663462,85630272,10.988445
"2010-08-20",14.596154,14.596154,14.317308,14.451923,68019016,10.829921
"2010-08-23",14.634615,14.682692,14.278846,14.317308,57804240,10.729047
"2010-08-24",14.173077,14.182692,13.855769,14.009615,93252744,10.498467
"2010-08-25",13.903846,14.115385,13.701923,14.009615,79854424,10.498467
"2010-08-26",14.096154,14.240385,13.884615,13.942308,60616712,10.448032
