"dates","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2010-01-04",75.470001,76.5,74.830002,76.370003,883400,76.370003
"2010-01-05",76.059998,76.370003,75.349998,75.440002,864600,75.440002
"2010-01-06",75.339996,75.800003,73.809998,74.190002,1981000,74.190002
"2010-01-07",73.809998,74.25,73.379997,74.169998,1554900,74.169998
"2010-01-08",74.150002,74.419998,73.82,74.059998,761100,74.059998
"2010-01-11",74.599998,75.230003,74.370003,74.889999,843100,74.889999
"2010-01-12",74.760002,75.220001,73.720001,73.809998,1118800,73.809998
"2010-01-13",74.080002,75.57,74.080002,75.360001,1033300,75.360001
"2010-01-14",75.470001,77,75.150002,76.919998,1339200,76.919998
"2010-01-15",76.910004,76.970001,75.43,75.75,779500,75.75
"2010-01-19",75.919998,77,75.919998,76.57,883000,76.57
"2010-01-20",76.379997,77.089996,75.5,75.779999,1672000,75.779999
"2010-01-21",76.059998,76.089996,74.099998,74.599998,841300,74.599998
"2010-01-22",74.620003,74.629997,72.059998,72.269997,2211500,72.269997
"2010-01-25",72.339996,73.129997,70.199997,73.050003,2448300,73.050003
"2010-01-26",72.489998,73.739998,72.489998,73.18,1190200,73.18
"2010-01-27",72.93,73.370003,71.849998,72.190002,1478900,72.190002
"2010-01-28",72.470001,72.739998,70.900002,71.040001,1146400,71.040001
"2010-01-29",71.160004,71.870003,70.32,71.099998,1584600,71.099998
"2010-02-01",71.720001,71.830002,70.870003,71.599998,1039200,71.599998
"2010-02-02",71.660004,72.690002,71.400002,72.599998,1273500,72.599998
"2010-02-03",72.339996,72.370003,71.580002,71.800003,539500,71.800003
"2010-02-04",71.209999,71.800003,70.459999,70.540001,1381100,70.540001
"2010-02-05",70.440002,70.709999,69.610001,70.639999,1015000,70.639999
"2010-02-08",70.589996,70.830002,69.980003,70.139999,632000,70.139999
"2010-02-09",70.519997,70.970001,70,70.150002,1415900,70.150002
"2010-02-10",69.919998,71.169998,69.629997,70.970001,1730100,70.970001
"2010-02-11",69.800003,71.639999,69.489998,71.559998,1582300,71.559998
"2010-02-12",71.339996,71.839996,70.580002,71.760002,1080400,71.760002
"2010-02-16",72.370003,72.440002,71.529999,72.43,848300,72.43
"2010-02-17",72.489998,73.5,72.489998,73.150002,1021700,73.150002
"2010-02-18",73.18,73.32,72.779999,73.120003,1149400,73.120003
"2010-02-19",73,74.099998,72.790001,73.980003,938300,73.980003
"2010-02-22",74.169998,74.470001,73.669998,73.970001,589100,73.970001
"2010-02-23",73.690002,74.160004,73.169998,73.400002,1122900,73.400002
"2010-02-24",73.699997,73.809998,73.239998,73.5,699300,73.5
"2010-02-25",73.239998,73.25,72.470001,73.129997,1135900,73.129997
"2010-02-26",73.139999,73.860001,73.080002,73.309998,711900,73.309998
"2010-03-01",73.370003,74.230003,73.25,74.190002,834500,74.190002
"2010-03-02",74.370003,75.080002,74.330002,74.650002,656700,74.650002
"2010-03-03",74.459999,74.510002,72.870003,73.279999,2038900,73.279999
"2010-03-04",73.419998,73.690002,72.190002,72.589996,962800,72.589996
"2010-03-05",72.790001,72.93,72.07,72.449997,1461100,72.449997
"2010-03-08",72.239998,72.349998,71.860001,72.040001,1066700,72.040001
"2010-03-09",71.93,72.129997,71.650002,71.889999,582500,71.889999
"2010-03-10",71.870003,72.629997,71.620003,72.32,749800,72.32
"2010-03-11",72.260002,73.800003,72.089996,73.779999,1119200,73.779999
"2010-03-12",73.690002,74.269997,73.5,73.699997,676700,73.699997
"2010-03-15",73.699997,74.669998,73.540001,74.669998,1131000,74.669998
"2010-03-16",74.629997,75.099998,74.190002,75,702100,75
"2010-03-17",75.110001,76,75,75.709999,1024100,75.709999
"2010-03-18",76.010002,76.25,75.470001,76.169998,675200,76.169998
"2010-03-19",75.510002,76.150002,75.169998,75.510002,1178000,75.510002
"2010-03-22",75.43,76.43,75.32,76.260002,1115700,76.260002
"2010-03-23",75.059998,75.400002,74.050003,74.330002,1458600,74.330002
"2010-03-24",74.260002,74.669998,73.769997,73.980003,1160700,73.980003
"2010-03-25",73.989998,75.07,73.82,74.900002,1070800,74.900002
"2010-03-26",75.989998,75.989998,74.779999,75.580002,1062400,75.580002
"2010-03-29",75.779999,75.879997,75.470001,75.809998,588100,75.809998
"2010-03-30",75.75,75.959999,75.650002,75.949997,542600,75.949997
"2010-03-31",75.690002,76.029999,75.190002,75.709999,860800,75.709999
"2010-04-01",76.040001,77.220001,76.040001,77.169998,947800,77.169998
"2010-04-05",77.459999,77.5,76.82,76.889999,716800,76.889999
"2010-04-06",77.120003,77.470001,76.919998,77.150002,1293200,77.150002
"2010-04-07",77.25,77.480003,76.129997,76.459999,1052500,76.459999
"2010-04-08",76.489998,76.559998,75.919998,76.129997,905800,76.129997
"2010-04-09",76.029999,76.25,75.720001,76.160004,767800,76.160004
"2010-04-12",76.089996,76.669998,75.949997,76.669998,579000,76.669998
"2010-04-13",76.449997,76.580002,75.839996,76.440002,710200,76.440002
"2010-04-14",76.470001,76.470001,75.690002,76.260002,616800,76.260002
"2010-04-15",75.860001,77.940002,75.860001,77.75,1448300,77.75
"2010-04-16",77.160004,77.959999,76.769997,76.980003,1027300,76.980003
"2010-04-19",75.139999,80.82,75.139999,79.330002,4002600,79.330002
"2010-04-20",79.709999,80.239998,78.839996,80.239998,1186800,80.239998
"2010-04-21",79.419998,83,78.93,81,3221600,81
"2010-04-22",80.32,81.040001,79.440002,80.690002,1173800,80.690002
"2010-04-23",80.440002,80.599998,79.300003,79.989998,1214800,79.989998
"2010-04-26",80.110001,80.110001,78.830002,78.910004,1110700,78.910004
"2010-04-27",78.230003,78.959999,77.279999,77.419998,1487300,77.419998
"2010-04-28",77.470001,78.269997,76.900002,78.129997,1810200,78.129997
"2010-04-29",78.690002,78.989998,78.32,78.830002,938600,78.830002
"2010-04-30",78.959999,79.169998,78.529999,78.57,1589600,78.57
"2010-05-03",78.580002,79.059998,78.230003,78.559998,1147700,78.559998
"2010-05-04",77.900002,78.230003,77.389999,77.830002,1612200,77.830002
"2010-05-05",77.709999,78.559998,77.559998,77.669998,1012700,77.669998
"2010-05-06",77.559998,78.25,73.120003,76.260002,1771500,76.260002
"2010-05-07",76.059998,76.660004,74.980003,75.230003,1559000,75.230003
"2010-05-10",77.730003,77.730003,76.199997,76.860001,1283300,76.860001
"2010-05-11",76.379997,77.330002,75.889999,76.940002,1250800,76.940002
"2010-05-12",77.150002,77.389999,76.68,77.190002,1366200,77.190002
"2010-05-13",77.029999,77.870003,76.690002,77.800003,1774700,77.800003
"2010-05-14",77.25,77.629997,76.620003,77.470001,1499600,77.470001
"2010-05-17",77.339996,77.919998,76.75,77.519997,990400,77.519997
"2010-05-18",77.769997,78.419998,76.639999,76.93,1361400,76.93
"2010-05-19",76.809998,77.839996,76.589996,77.709999,1849000,77.709999
"2010-05-20",76.510002,76.82,75.739998,75.980003,2736800,75.980003
"2010-05-21",75.139999,76.169998,75.010002,76,2174000,76
"2010-05-24",75.75,76.110001,75.190002,75.400002,1299900,75.400002
"2010-05-25",74.349998,75.540001,73.900002,75.459999,1280000,75.459999
"2010-05-26",75.529999,76.040001,74.93,74.989998,942800,74.989998
"2010-05-27",75.940002,76.459999,75.769997,76.410004,1173800,76.410004
"2010-05-28",76.190002,76.290001,75.480003,75.610001,854900,75.610001
"2010-06-01",75.059998,75.949997,74.800003,75,661000,75
"2010-06-02",75.349998,76.639999,74.959999,76.580002,931000,76.580002
"2010-06-03",76.830002,77.639999,76.580002,76.870003,1057600,76.870003
"2010-06-04",75.900002,76.510002,74.800003,75.050003,841500,75.050003
"2010-06-07",75.349998,76.120003,74.93,75,891300,75
"2010-06-08",75.099998,75.550003,74.720001,75.459999,988700,75.459999
"2010-06-09",75.650002,76.410004,75.43,75.57,1069400,75.57
"2010-06-10",76.449997,77.580002,76.449997,77.470001,815200,77.470001
"2010-06-11",77.239998,78.360001,76.940002,78.239998,1160200,78.239998
"2010-06-14",78.32,79.309998,78.32,78.809998,999100,78.809998
"2010-06-15",79.239998,79.790001,78.889999,79.599998,1071400,79.599998
"2010-06-16",79.010002,80.529999,79.010002,80.389999,1040400,80.389999
"2010-06-17",80.5,80.589996,79.980003,80.400002,711800,80.400002
"2010-06-18",80.519997,80.519997,79.839996,80.25,1373900,80.25
"2010-06-21",80.5,80.940002,80,80.220001,1014200,80.220001
"2010-06-22",80.43,80.849998,78.860001,78.949997,740500,78.949997
"2010-06-23",78.720001,79.32,78.050003,78.410004,944700,78.410004
"2010-06-24",78.029999,78.510002,76.970001,77.050003,722100,77.050003
"2010-06-25",76.279999,77.870003,76.279999,77.190002,1181500,77.190002
"2010-06-28",77.550003,78.349998,77.25,78,614600,78
"2010-06-29",77.07,77.400002,76.169998,76.519997,1628800,76.519997
"2010-06-30",76.040001,76.760002,75.279999,75.349998,1156300,75.349998
"2010-07-01",75.309998,75.620003,73.599998,75.419998,1309200,75.419998
"2010-07-02",75.779999,75.779999,74.129997,74.5,1213700,74.5
"2010-07-06",75.419998,75.419998,73.669998,74.199997,1101800,74.199997
"2010-07-07",74.449997,75.029999,73.82,74.989998,821800,74.989998
"2010-07-08",75.400002,75.839996,75.239998,75.620003,712800,75.620003
"2010-07-09",75.389999,75.480003,74.010002,74.330002,1057400,74.330002
"2010-07-12",74.099998,74.940002,74.010002,74.870003,734500,74.870003
"2010-07-13",75.410004,75.940002,74.889999,75.839996,818600,75.839996
"2010-07-14",75.440002,76.559998,75.300003,76.290001,680400,76.290001
