"dates","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume","SRE.Adjusted"
"2010-01-04",56.400002,56.610001,55.799999,55.900002,2081200,39.324032
"2010-01-05",55.82,55.84,54.369999,54.709999,3408600,38.486889
"2010-01-06",54.59,54.849998,53.91,53.959999,2956500,37.959297
"2010-01-07",53.790001,54.220001,52.91,53.84,2221300,37.87487
"2010-01-08",53.709999,53.970001,53.060001,53.810001,1364500,37.853771
"2010-01-11",54.029999,54.799999,53.950001,54.59,1225900,38.402473
"2010-01-12",54.43,54.91,53.93,54.400002,1238200,38.268826
"2010-01-13",53.619999,53.91,52.860001,53.869999,2641400,37.895973
"2010-01-14",53.77,54.02,53.509998,53.599998,1411500,37.706039
"2010-01-15",53.580002,53.599998,51.93,52.419998,3162300,36.875942
"2010-01-19",52.5,52.990002,52.310001,52.529999,3581300,36.953331
"2010-01-20",52.200001,52.27,51.68,51.880001,2452300,36.496063
"2010-01-21",51.779999,52.599998,51.52,52.200001,3036000,36.721191
"2010-01-22",52.209999,52.599998,51.5,51.549999,3159200,36.263935
"2010-01-25",51.849998,52.209999,51.560001,51.59,1602200,36.292068
"2010-01-26",51.439999,51.709999,50.68,51.450001,1750500,36.193577
"2010-01-27",51.25,51.360001,50.419998,51.080002,1665300,35.933289
"2010-01-28",51.139999,51.310001,50.200001,50.799999,1582900,35.736328
"2010-01-29",50.880001,51.130001,50.34,50.75,2364300,35.701153
"2010-02-01",50.93,51.299999,50.380001,51.220001,1964100,36.031784
"2010-02-02",51.34,51.560001,50.759998,51.490002,1524100,36.221714
"2010-02-03",51.34,51.34,50.709999,50.830002,757100,35.757427
"2010-02-04",50.59,50.639999,49.560001,49.57,1898100,34.871056
"2010-02-05",49.669998,49.779999,48.73,49.68,3613500,34.948433
"2010-02-08",49.57,49.700001,49.009998,49.009998,1136800,34.477108
"2010-02-09",49.5,50.18,49.23,49.59,1166300,34.885124
"2010-02-10",49.610001,49.610001,48.720001,49.259998,1091100,34.652977
"2010-02-11",49.119999,49.880001,48.560001,49.77,1354900,35.011753
"2010-02-12",49.490002,49.59,48.98,49.48,2110800,34.807743
"2010-02-16",49.889999,50.700001,48.939999,49,4835000,34.470066
"2010-02-17",49.099998,49.099998,47.939999,48.189999,4002700,33.900257
"2010-02-18",48.060001,48.290001,47.549999,48.130001,2694500,33.858051
"2010-02-19",48.189999,49.349998,47.959999,48.950001,2888700,34.43491
"2010-02-22",49.169998,49.279999,48.59,48.630001,2569800,34.209793
"2010-02-23",48.599998,48.990002,48.209999,48.240002,2183300,33.935448
"2010-02-24",48.389999,49.080002,48.119999,48.529999,2501800,34.139446
"2010-02-25",47.900002,50.939999,47.549999,50.32,4572800,35.398659
"2010-02-26",50.27,50.27,49.150002,49.169998,3376200,34.589661
"2010-03-01",49.200001,49.580002,49.119999,49.299999,2559500,34.681114
