"dates","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"2010-01-04",40.700001,41.040001,40.360001,40.380001,1701700,39.049633
"2010-01-05",40.299999,40.310001,39.720001,40.139999,1932400,38.817539
"2010-01-06",40.049999,40.779999,40.049999,40.490002,1406200,39.156021
"2010-01-07",39.549999,40.540001,39.549999,40.48,1256800,39.146347
"2010-01-08",40.25,40.82,40.110001,40.639999,960300,39.301067
"2010-01-11",40.720001,40.799999,40.09,40.240002,1038400,38.914265
"2010-01-12",39.43,39.720001,38.82,39.540001,1910800,38.237324
"2010-01-13",39.5,40.150002,39.41,40.09,810000,38.769199
"2010-01-14",39.939999,39.939999,39.25,39.560001,1157600,38.25666
"2010-01-15",39.34,39.66,39.169998,39.310001,738900,38.014896
"2010-01-19",39.299999,39.52,39.049999,39.5,1295000,38.198643
"2010-01-20",38.75,39.380001,38.380001,39.16,1865000,37.869827
"2010-01-21",39.34,39.650002,38.950001,39.23,1297400,37.937531
"2010-01-22",39.130001,40.639999,39.130001,39.740002,2629300,38.43074
"2010-01-25",40.009998,40.599998,40,40.5,1396900,39.165703
"2010-01-26",40.48,41,40.259998,40.549999,1084100,39.214039
"2010-01-27",40.59,40.740002,39.950001,40.59,1203200,39.252728
"2010-01-28",40.5,40.5,39.669998,39.77,1206000,38.459743
"2010-01-29",39.990002,40.400002,39.419998,39.450001,948500,38.150284
"2010-02-01",39.549999,40.509998,39.5,40.490002,1106600,39.156021
"2010-02-02",40.459999,41.349998,40.459999,41.189999,1296200,39.832954
"2010-02-03",41.189999,41.380001,40.93,41.189999,1147600,39.832954
"2010-02-04",41.060001,41.73,40.689999,40.93,1611600,39.581524
"2010-02-05",41.009998,41.130001,40.02,40.720001,1313200,39.378468
"2010-02-08",41.009998,41.740002,40.619999,40.810001,1721900,39.465477
"2010-02-09",41.150002,41.720001,40.77,41.57,1030000,40.200443
"2010-02-10",41.389999,42.849998,41.369999,42.330002,1858600,40.93541
"2010-02-11",42.41,43.099998,42.130001,42.549999,1548600,41.148159
"2010-02-12",42.369999,42.810001,42,42.810001,1509800,41.39959
"2010-02-16",42.900002,42.98,42.369999,42.630001,1721200,41.225525
"2010-02-17",42.68,43.080002,42.16,42.880001,2253400,41.467274
"2010-02-18",39.880001,40.349998,39.080002,40.150002,7767100,38.827213
"2010-02-19",39.790001,40.34,39.509998,40,2525300,38.682167
"2010-02-22",39.970001,40.459999,39.880001,40.240002,1706100,38.914265
"2010-02-23",40.18,40.509998,40.049999,40.220001,1653500,38.894917
"2010-02-24",40.34,40.529999,40.150002,40.459999,1441500,39.127003
"2010-02-25",40.080002,40.900002,40.049999,40.73,1328800,39.388123
"2010-02-26",40.73,40.91,40.400002,40.799999,1153800,39.455814
"2010-03-01",40.869999,41.450001,40.650002,41.299999,1553400,39.939327
"2010-03-02",41.419998,41.709999,41.139999,41.34,1221000,39.978027
"2010-03-03",41.349998,41.759998,41.23,41.490002,1036600,40.123077
"2010-03-04",41.630001,42,41.599998,41.779999,1159700,40.403519
"2010-03-05",41.970001,42.290001,41.779999,42.290001,1914300,40.896725
"2010-03-08",42.330002,42.34,41.700001,42.099998,3080000,40.712975
"2010-03-09",42.040001,42.360001,41.790001,41.939999,2018700,40.558247
"2010-03-10",41.91,42.279999,41.880001,42.130001,1692400,40.741978
"2010-03-11",42.139999,42.419998,41.919998,42.380001,1361500,40.983757
"2010-03-12",42.439999,42.549999,42.040001,42.18,1155000,40.790348
"2010-03-15",42.25,42.290001,41.759998,42.080002,1806300,40.693649
"2010-03-16",41.869999,42.650002,41.849998,42.299999,843400,40.906391
"2010-03-17",42.470001,42.59,42.110001,42.349998,1653100,40.954735
"2010-03-18",42.380001,42.549999,42.060001,42.5,2674100,41.099792
"2010-03-19",43.259998,43.27,42.470001,43.259998,1915600,41.834759
"2010-03-22",43.169998,43.849998,43.02,43.639999,1125700,42.202255
"2010-03-23",43.77,44.110001,43.66,43.959999,1447500,42.511684
"2010-03-24",43.709999,43.900002,43.360001,43.389999,1290900,42.017826
"2010-03-25",43.610001,43.75,43.02,43.02,1332900,41.659534
"2010-03-26",42.91,43.209999,42.029999,42.48,1590400,41.136608
"2010-03-29",42.650002,42.650002,42,42.189999,1278900,40.855778
"2010-03-30",42.169998,42.48,42.029999,42.23,715600,40.894505
"2010-03-31",42.220001,42.5,41.889999,41.919998,1191200,40.594326
"2010-04-01",42.119999,42.459999,41.970001,42.360001,627600,41.020393
"2010-04-05",42.459999,42.970001,42.419998,42.669998,954500,41.320606
"2010-04-06",42.529999,42.810001,42.419998,42.560001,729200,41.214073
"2010-04-07",42.48,42.759998,41.939999,42.099998,1947000,40.76862
"2010-04-08",41.990002,42.490002,41.759998,42.25,1365400,40.913872
"2010-04-09",42.34,42.380001,41.84,42.130001,1338400,40.79768
"2010-04-12",42.310001,42.52,42.09,42.41,799000,41.068825
"2010-04-13",42.32,42.619999,42.09,42.259998,978600,40.923561
"2010-04-14",43.23,45.330002,43.189999,45.279999,3119800,43.848064
"2010-04-15",45.610001,46.34,45.330002,45.380001,3249700,43.944912
"2010-04-16",45.119999,45.27,44.77,45.040001,1932000,43.615654
"2010-04-19",44.369999,44.669998,43.689999,44.450001,1574800,43.044308
"2010-04-20",44.639999,44.860001,44.27,44.459999,1169500,43.053989
"2010-04-21",44.52,45.16,43.799999,44.970001,1020400,43.547867
"2010-04-22",44.59,45.599998,44.41,45.490002,1215100,44.051414
"2010-04-23",45.529999,46.169998,45.189999,46.110001,1066400,44.651806
"2010-04-26",45.919998,46.459999,45.59,46.32,1024100,44.855164
"2010-04-27",46.279999,46.5,45.110001,45.240002,990700,43.809334
"2010-04-28",45.490002,45.959999,45.139999,45.529999,1195400,44.09016
"2010-04-29",46.049999,46.880001,45.75,45.880001,1879400,44.429089
"2010-04-30",46.02,46.25,44.959999,45.099998,1376200,43.673752
"2010-05-03",45.130001,46.459999,45.09,46.32,861000,44.855164
"2010-05-04",45.919998,45.919998,45.310001,45.669998,1036800,44.225719
"2010-05-05",45.200001,46.490002,45.02,45.119999,1366700,43.693104
"2010-05-06",44.869999,45.099998,42.189999,44.200001,1738900,42.802231
"2010-05-07",44.169998,44.549999,42.889999,43.759998,1562800,42.376106
"2010-05-10",45.110001,45.16,44.43,45.110001,818800,43.683437
"2010-05-11",44.860001,45.639999,44.740002,45.41,958800,43.973946
"2010-05-12",45.459999,46,45.150002,45.959999,1253200,44.506538
"2010-05-13",45.82,46.169998,45.09,45.25,1245800,43.819016
"2010-05-14",44.990002,45.099998,44.349998,44.900002,1442600,43.480087
"2010-05-17",45,45.860001,44.860001,45.75,1959500,44.303211
"2010-05-18",46.16,46.779999,45.650002,45.75,2224700,44.303211
"2010-05-19",45.759998,46.48,45.130001,46.09,2131800,44.632431
"2010-05-20",48.23,50.209999,48.16,48.990002,4362400,47.440739
"2010-05-21",48.669998,50.98,48.290001,49.470001,3299400,47.905556
"2010-05-24",49.080002,50.259998,48.299999,49.549999,2241500,47.983021
"2010-05-25",48.939999,51.220001,48.830002,51.029999,2714600,49.416214
"2010-05-26",51.279999,51.279999,50.18,50.200001,2033100,48.612484
"2010-05-27",50.880001,51.369999,50.48,51.330002,1106900,49.706726
"2010-05-28",50.52,52.009998,47.790001,51.759998,1720500,50.123119
"2010-06-01",51.740002,51.740002,50.200001,50.369999,2359500,48.777088
"2010-06-02",50.41,51.360001,50.41,51.349998,1549900,49.726105
"2010-06-03",51.029999,51.93,50.740002,51.490002,998700,49.861675
"2010-06-04",50.73,51.07,50.009998,50.16,1759100,48.57373
"2010-06-07",50.419998,50.439999,48.52,48.599998,2760200,47.063068
"2010-06-08",48.529999,49.630001,47.759998,49.459999,2290800,47.895866
"2010-06-09",49.73,50.57,49.490002,49.689999,2053300,48.118587
"2010-06-10",49.950001,50.299999,49.400002,50.23,1750900,48.641506
"2010-06-11",49.869999,50.66,49.610001,50.509998,898100,48.912678
"2010-06-14",50.849998,51.349998,50.759998,50.799999,844200,49.193485
"2010-06-15",51.060001,52.27,50.860001,52.139999,1056400,50.491123
"2010-06-16",52.139999,52.330002,51.580002,51.98,885800,50.336163
"2010-06-17",52.119999,52.34,51.549999,51.889999,688100,50.24902
"2010-06-18",51.990002,52.330002,51.470001,51.59,1463800,49.958504
"2010-06-21",51.990002,52.130001,51,51.34,1025400,49.716415
"2010-06-22",51.349998,51.950001,50.049999,50.32,1137100,48.728664
"2010-06-23",50.080002,51.209999,50.049999,50.869999,802200,49.320091
"2010-06-24",50.68,51.110001,50.110001,50.939999,1117900,49.387951
"2010-06-25",50.990002,51.09,50.25,50.900002,1431100,49.349174
"2010-06-28",51.189999,51.189999,50.200001,50.470001,611000,48.932281
"2010-06-29",50.099998,50.580002,49.200001,50.279999,1098100,48.748066
"2010-06-30",50.290001,50.959999,50,50.18,1170300,48.6511
"2010-07-01",50.380001,51.919998,50.099998,51.700001,1712300,50.124794
"2010-07-02",51.720001,51.990002,50.68,51.009998,922300,49.455818
"2010-07-06",51.799999,52.380001,49.759998,50.5,1460300,48.961353
"2010-07-07",50.669998,50.98,50.119999,50.889999,1423600,49.33947
"2010-07-08",51.080002,51.880001,50.169998,50.82,1154300,49.271606
"2010-07-09",50.93,51.509998,50.77,51.27,1050400,49.70789
"2010-07-12",51.279999,51.720001,50.93,51.459999,703000,49.892117
"2010-07-13",51.650002,52.77,51.630001,52.650002,1569300,51.045845
"2010-07-14",52.689999,52.990002,52.259998,52.599998,926300,50.99736
"2010-07-15",52.630001,53.209999,52.080002,53.060001,1016500,51.443367
"2010-07-16",52.959999,52.990002,51.23,51.34,1202000,49.775761
"2010-07-19",51.299999,52.189999,51.299999,51.959999,708400,50.376877
"2010-07-20",51.529999,53.169998,51.389999,53,843500,51.385193
"2010-07-21",53.25,53.310001,51.580002,51.689999,1162100,50.115101
"2010-07-22",52.27,53.450001,52.27,53.099998,2021700,51.482147
"2010-07-23",53.150002,54.240002,53,54.169998,838000,52.519539
"2010-07-26",54.610001,54.869999,53.919998,54.849998,927700,53.178833
"2010-07-27",55.009998,55.779999,54.439999,54.540001,776200,52.878273
"2010-07-28",54.360001,54.619999,53.32,53.639999,600300,52.005699
"2010-07-29",53.990002,54.490002,52.470001,53.18,1108500,51.559704
"2010-07-30",52.650002,53.720001,52.349998,53.529999,639800,51.899059
