"dates","KHC.Open","KHC.High","KHC.Low","KHC.Close","KHC.Volume","KHC.Adjusted"
"2015-07-06",71,74.290001,71,72.959999,3809700,57.396854
"2015-07-07",73.730003,74.709999,72.959999,74.629997,5794300,58.710629
"2015-07-08",74.300003,75.5,74.040001,75.400002,4276600,59.316368
"2015-07-09",76.470001,77.066002,74.5,74.800003,4267100,58.844368
"2015-07-10",75.050003,77.800003,75,77.309998,4983000,60.818943
"2015-07-13",79.5,79.699997,77.910004,78.830002,9078900,62.014717
"2015-07-14",79.449997,79.5,77.650002,78,18746100,61.361755
"2015-07-15",77.650002,78.169998,76.400002,76.709999,6330500,60.346947
"2015-07-16",76.970001,78.839996,76.949997,78.75,5634100,61.951794
"2015-07-17",79.43,79.690002,77.260002,79.629997,6100900,62.644085
"2015-07-20",79.949997,81.199997,79.129997,80.110001,10284500,63.021671
"2015-07-21",79.970001,80.68,79.400002,80.220001,6088600,63.108223
"2015-07-22",80.830002,80.900002,78.580002,78.639999,5201200,61.86525
"2015-07-23",78.419998,78.57,76.639999,76.739998,2975400,60.795734
"2015-07-24",76.919998,77.43,75.949997,76.410004,3116000,60.534306
"2015-07-27",76.629997,77.980003,76.290001,77.379997,5774300,61.302753
"2015-07-28",78.440002,78.650002,77.5,78.32,1895900,62.047451
"2015-07-29",78.260002,78.300003,77,77.910004,2278600,61.72266
"2015-07-30",78.209999,79.690002,77.599998,79.209999,3247000,62.752556
"2015-07-31",79.940002,79.940002,78.864998,79.470001,2685500,62.958511
"2015-08-03",80,81.029999,79.910004,80.370003,2681800,63.671551
"2015-08-04",80.57,81,79.669998,79.809998,2429600,63.227879
"2015-08-05",80.010002,81,79.849998,80.480003,4324300,63.758686
"2015-08-06",81.050003,81.190002,79.510002,79.760002,3708600,63.188282
"2015-08-07",79.139999,79.379997,77.290001,78.459999,3274100,62.158382
"2015-08-10",79.43,79.800003,78.57,78.809998,3252300,62.435658
"2015-08-11",77.629997,80.480003,77.07,77.970001,3889100,61.770187
"2015-08-12",77.830002,78.309998,76.089996,76.690002,3688800,60.756126
"2015-08-13",77.010002,77.07,75.800003,75.989998,2917500,60.201576
"2015-08-14",76.07,76.739998,75.116997,76.419998,2572800,60.542229
"2015-08-17",75.860001,76.410004,75.510002,75.800003,2260300,60.051048
"2015-08-18",75.720001,75.953003,75.059998,75.190002,2009700,59.567776
"2015-08-19",75,75.290001,73.919998,74.779999,3025700,59.242958
"2015-08-20",74.019997,74.764,73.779999,74.25,2207000,58.823071
"2015-08-21",73.309998,74.25,72.260002,72.269997,5564500,57.254467
"2015-08-24",68.239998,72.239998,61.419998,70.870003,9844600,56.145359
"2015-08-25",71.540001,72.400002,70,70.209999,4423400,55.622478
"2015-08-26",71.720001,74.110001,69.529999,73.910004,5356300,58.55373
"2015-08-27",73.169998,75.25,73.120003,75.18,5937800,59.559853
"2015-08-28",74.400002,75.190002,73.82,74.690002,2150100,59.17168
"2015-08-31",74.209999,74.43,72.57,72.660004,2688400,57.563435
"2015-09-01",71.230003,72.540001,69.639999,70.120003,4671400,55.551174
"2015-09-02",70.839996,72.07,70.309998,72.07,2986500,57.096024
"2015-09-03",72.559998,73.889999,71.790001,72.160004,2595300,57.167324
"2015-09-04",71.139999,71.690002,70.128998,70.57,2997000,55.907681
"2015-09-08",71.849998,74.330002,70.809998,74.07,4450700,58.680477
"2015-09-09",74.449997,74.5,71.980003,72.169998,2936400,57.175247
"2015-09-10",72.129997,73.050003,71.779999,72.160004,3619700,57.167324
"2015-09-11",72.25,73.93,71.599998,73.760002,2146700,58.434895
"2015-09-14",73.5,74.709999,72.555,74.550003,2927400,59.060772
"2015-09-15",74.940002,75.519997,73.754997,75.389999,3393300,59.726227
"2015-09-16",75.199997,76.709999,74.300003,76.370003,2302800,60.502602
"2015-09-17",76.580002,77.760002,76,76.43,3142600,60.550144
"2015-09-18",75.550003,76.5,75.010002,75.440002,7231700,59.765831
"2015-09-21",75.690002,76.190002,74.959999,75.199997,3256300,59.575699
"2015-09-22",74.150002,74.870003,73.660004,74.309998,2628700,58.870621
"2015-09-23",74.169998,74.598,73.254997,73.309998,3713200,58.078384
"2015-09-24",73,73.139999,71.699997,72.919998,4416100,57.769421
"2015-09-25",73.800003,73.849998,72.779999,73.349998,3517000,58.110077
"2015-09-28",72.809998,73.269997,69.989998,69.989998,5006600,55.448185
"2015-09-29",70.160004,70.980003,68.650002,69.199997,3870900,54.822319
"2015-09-30",69.669998,70.800003,69.459999,70.580002,3132800,55.915604
"2015-10-01",71.269997,71.970001,69.769997,70.830002,2519700,56.113667
"2015-10-02",70.190002,71.459999,69.370003,71.410004,2593100,56.573151
"2015-10-05",72,73.25,71.349998,72.239998,6323500,57.230705
"2015-10-06",72.290001,73.050003,71.889999,72.470001,2760200,57.412922
"2015-10-07",72.739998,73.739998,72.480003,73.150002,2325200,57.95163
"2015-10-08",73.160004,74.470001,72.739998,74.43,2239700,58.965679
"2015-10-09",74.410004,75.220001,73.989998,74.389999,2938100,58.933994
"2015-10-12",74.410004,74.410004,73.309998,73.720001,2081100,58.403202
"2015-10-13",73.610001,73.93,73.18,73.379997,2147500,58.133854
"2015-10-14",73.120003,74.300003,73,73.769997,1956800,58.442822
"2015-10-15",74.150002,75.220001,73.921997,75.220001,2135700,59.59156
"2015-10-16",75.68,78,74.870003,77.389999,3435200,61.310688
"2015-10-19",76.889999,77.199997,76.290001,76.800003,1951900,60.843285
"2015-10-20",76.199997,77.160004,76.110001,76.870003,1922100,60.898727
"2015-10-21",77,77.739998,76.629997,77.050003,2370100,61.041336
"2015-10-22",77.220001,79.940002,77.220001,79.940002,3951700,63.330879
"2015-10-23",79.150002,79.889999,77.43,77.980003,3179000,61.778095
"2015-10-26",78.18,78.18,76.480003,76.809998,2563800,60.851196
"2015-10-27",76.209999,77.480003,76.209999,77.169998,2435200,61.136402
"2015-10-28",77.150002,79.199997,76.339996,79.18,2382000,62.72879
"2015-10-29",78.839996,78.997002,77.848999,78.650002,1788500,62.30891
"2015-10-30",78.370003,78.989998,77.860001,77.970001,2053000,61.770187
"2015-11-02",78.43,78.93,77.720001,78.269997,1536500,62.007847
"2015-11-03",77.830002,78,75.879997,76.43,4489800,60.550144
"2015-11-04",76.32,76.667999,75.239998,75.82,2630400,60.066879
"2015-11-05",76.199997,76.499001,74.75,75.419998,3347200,59.749996
"2015-11-06",73.75,74.5,71.580002,72.010002,8819900,57.048492
"2015-11-09",72,72.68,70.849998,71.239998,4231000,56.43845
"2015-11-10",71.75,72.220001,71.151001,72.080002,3470400,57.103954
"2015-11-11",72.699997,72.860001,71.360001,72.110001,3537300,57.12772
"2015-11-12",71.18,71.377998,70.25,70.900002,3931500,56.620602
"2015-11-13",70.620003,71.709999,70.580002,70.769997,3008000,56.516777
"2015-11-16",71.019997,72.110001,70.940002,71.654999,2398400,57.223537
"2015-11-17",72.099998,72.129997,70.639999,71.449997,4247400,57.059822
"2015-11-18",71.839996,73.035004,71.169998,72.584999,3780200,57.966225
"2015-11-19",73.25,73.730003,72.339996,73.339996,2828700,58.569176
"2015-11-20",74.169998,75.57,73.400002,73.650002,4003200,58.816753
"2015-11-23",74.029999,74.540001,73.894997,74.07,2706000,59.152168
"2015-11-24",73.730003,74.510002,73.68,74.470001,2863900,59.471603
"2015-11-25",74.449997,74.919998,73.849998,74.639999,2384100,59.607357
"2015-11-27",74.57,75,74.220001,74.610001,777300,59.583397
"2015-11-30",74.519997,74.860001,73.5,73.690002,4200100,58.848705
"2015-12-01",74.230003,75,73.800003,74.470001,3749300,59.471603
