"dates","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume","NEE.Adjusted"
"2010-03-12",11.895,11.9,11.7375,11.7675,10052000,8.431341
"2010-03-15",11.785,11.8275,11.705,11.8275,6087200,8.474327
"2010-03-16",11.835,11.98,11.775,11.9625,6906000,8.571057
"2010-03-17",12.0225,12.0225,11.96,12.005,9468800,8.601505
"2010-03-18",12.0175,12.045,11.9475,11.9925,11521200,8.592552
"2010-03-19",12.04,12.14,11.9525,12.04,13207200,8.626585
"2010-03-22",12.0225,12.0425,11.9125,11.96,8700000,8.569263
"2010-03-23",11.9675,12.0325,11.9125,11.955,9041200,8.565682
"2010-03-24",11.9475,11.9725,11.775,11.8175,10957200,8.467163
"2010-03-25",11.8725,11.9,11.7775,11.8625,10774800,8.499408
"2010-03-26",11.9025,11.98,11.8525,11.9525,10840000,8.56389
"2010-03-29",11.9625,12.1475,11.9375,12.145,11158400,8.701818
"2010-03-30",12.18,12.18,11.8825,11.915,17424400,8.537024
"2010-03-31",11.9,12.175,11.855,12.0825,15155200,8.657034
"2010-04-01",12.1375,12.235,12.125,12.21,10013600,8.748389
"2010-04-05",12.225,12.2525,12.145,12.2425,9532000,8.771673
"2010-04-06",12.175,12.3275,12.1425,12.2975,8435200,8.81108
"2010-04-07",12.2975,12.3025,12.15,12.275,11228800,8.794955
"2010-04-08",12.26,12.295,12.145,12.26,13638400,8.784211
"2010-04-09",12.275,12.43,12.165,12.4275,13893200,8.904223
"2010-04-12",12.43,12.475,12.375,12.435,10430800,8.909597
"2010-04-13",12.4025,12.4025,12.2375,12.3725,12833200,8.864818
"2010-04-14",12.335,12.38,12.1,12.15,17202800,8.705399
"2010-04-15",12.1575,12.225,12.11,12.2075,10932400,8.746596
"2010-04-16",12.195,12.31,12.035,12.1075,10651600,8.674947
"2010-04-19",12.08,12.1525,12.0675,12.1025,7950400,8.671365
"2010-04-20",12.23,12.5125,12.21,12.5125,15976400,8.965131
"2010-04-21",12.5,12.625,12.475,12.5925,14417600,9.022448
"2010-04-22",12.55,12.7425,12.475,12.725,17557200,9.117383
"2010-04-23",12.71,12.83,12.6175,12.825,11968400,9.18903
"2010-04-26",12.85,12.855,12.655,12.765,12186800,9.146044
"2010-04-27",12.6975,12.805,12.4975,12.505,14655200,8.959752
"2010-04-28",12.545,12.765,12.4925,12.6875,14356000,9.090515
"2010-04-29",12.72,12.775,12.625,12.6725,7656400,9.079766
"2010-04-30",12.72,13.055,12.71,13.0125,18967200,9.323373
"2010-05-03",13.07,13.2725,12.9725,13.165,16931200,9.432639
"2010-05-04",13.075,13.075,12.7975,12.8625,15582800,9.215899
"2010-05-05",12.74,12.9975,12.675,12.735,18458400,9.124547
"2010-05-06",12.6925,13,12.25,12.7675,33872000,9.147833
"2010-05-07",12.75,12.9925,12.565,12.805,21738000,9.174703
"2010-05-10",13.0175,13.25,13.01,13.155,13366000,9.425477
"2010-05-11",13.06,13.3175,12.9975,13.165,12202800,9.432639
"2010-05-12",13.1875,13.225,13.0475,13.2175,9180400,9.470255
"2010-05-13",13.2175,13.375,13.1075,13.2125,7179200,9.466672
"2010-05-14",13.19,13.3575,13.1025,13.1775,10629200,9.441594
"2010-05-17",13.195,13.2175,12.9075,13.155,9324000,9.425477
"2010-05-18",13.1475,13.275,13.0675,13.0825,8078400,9.373528
"2010-05-19",13.055,13.1125,12.875,13.005,8022400,9.317998
"2010-05-20",12.855,12.855,12.5375,12.5375,13034800,8.98304
"2010-05-21",12.3875,12.6475,12.315,12.6475,16489200,9.061854
"2010-05-24",12.6225,12.79,12.5325,12.575,8224400,9.009908
"2010-05-25",12.3975,12.405,12.13,12.3825,18599200,8.871986
"2010-05-26",12.355,12.425,12.1125,12.1125,22309200,8.678529
"2010-05-27",12.27,12.46,12.25,12.445,15008400,8.91676
"2010-05-28",12.43,12.62,12.4275,12.4825,9625600,8.943632
"2010-06-01",12.365,12.5025,12.2275,12.235,11117200,8.766299
"2010-06-02",12.2525,12.4825,12.1575,12.415,9710400,8.987086
"2010-06-03",12.51,12.58,12.4175,12.5475,6010000,9.083004
