"dates","COST.Open","COST.High","COST.Low","COST.Close","COST.Volume","COST.Adjusted"
"2010-01-04",59.130001,60.07,59.130001,59.41,3280200,44.472542
"2010-01-05",59.259998,59.419998,58.84,59.23,2775800,44.337788
"2010-01-06",59.07,60.049999,59,60,3722900,44.914185
"2010-01-07",60.080002,60.439999,59.259998,59.709999,4527600,44.697102
"2010-01-08",59.470001,59.610001,59.099998,59.279999,2348300,44.375217
"2010-01-11",59.209999,59.419998,59,59.349998,1830400,44.427616
"2010-01-12",59.23,59.389999,58.720001,59.029999,2113300,44.188068
"2010-01-13",59.110001,59.59,58.939999,59.400002,2051500,44.465046
"2010-01-14",59.119999,59.25,58.709999,58.720001,2145700,43.956028
"2010-01-15",58.990002,58.990002,58.43,58.790001,3081700,44.00843
"2010-01-19",59.169998,59.279999,58.790001,58.950001,2558200,44.128189
"2010-01-20",58.48,58.68,57.619999,58.27,4484600,43.61916
"2010-01-21",58.130001,58.599998,57.349998,57.52,3456800,43.057728
"2010-01-22",57.400002,57.959999,57.040001,57.07,4220600,42.720875
"2010-01-25",57.349998,57.82,56.75,57.549999,2690600,43.080204
"2010-01-26",57.200001,58.48,57.139999,57.93,3530500,43.364662
"2010-01-27",57.709999,58.040001,57.279999,57.529999,3776200,43.065231
"2010-01-28",57.59,57.82,57.060001,57.349998,3197000,42.930477
"2010-01-29",57.59,58.540001,57.400002,57.43,5413900,42.990372
"2010-02-01",57.799999,57.919998,57.360001,57.91,4295300,43.34967
"2010-02-02",58,58.880001,57.599998,58.77,5231500,43.993443
"2010-02-03",58.59,58.950001,58.380001,58.419998,5269100,43.731457
"2010-02-04",58.169998,58.939999,58.099998,58.52,5962700,43.806316
"2010-02-05",58.59,58.900002,58.07,58.580002,4793600,43.851223
"2010-02-08",58.27,58.779999,58.130001,58.139999,3319800,43.521858
"2010-02-09",58.799999,59,58.200001,58.759998,3486900,43.98597
"2010-02-10",58.66,59.32,58.380001,59.150002,4520500,44.413963
"2010-02-11",58.860001,59.779999,58.669998,59.669998,4030800,44.804409
"2010-02-12",59.189999,59.419998,58.950001,59.279999,4337600,44.51157
"2010-02-16",59.619999,60.849998,59.299999,60.669998,4052300,45.555283
"2010-02-17",60.790001,61.299999,60.740002,61.049999,2663100,45.840611
"2010-02-18",60.93,61.130001,60.580002,60.959999,2275200,45.773037
"2010-02-19",60.73,61.360001,60.66,61.139999,2510100,45.908203
"2010-02-22",61.400002,61.450001,60.689999,60.790001,3004300,45.64539
"2010-02-23",60.639999,60.919998,60.41,60.509998,3081200,45.435139
"2010-02-24",60.799999,61.220001,60.610001,60.860001,2908200,45.697945
"2010-02-25",60.290001,61.52,60.209999,61.400002,3534000,46.103405
"2010-02-26",61.360001,61.470001,60.779999,60.970001,3681600,45.780552
"2010-03-01",61,62.110001,60.68,61.650002,4031100,46.291145
"2010-03-02",62.119999,62.119999,61.200001,61.380001,4126100,46.088402
"2010-03-03",59.75,61.580002,59.639999,60.68,10153500,45.562798
"2010-03-04",60.75,61.16,60.48,60.799999,3286100,45.652901
"2010-03-05",60.849998,60.970001,60.5,60.68,3514800,45.562798
"2010-03-08",60.540001,61,60.52,60.669998,3020400,45.555283
"2010-03-09",60.380001,60.57,60.040001,60.130001,3187000,45.149811
"2010-03-10",60.209999,60.41,59.759998,59.84,3248400,44.932056
"2010-03-11",59.779999,60.060001,59.77,59.900002,3957200,44.977116
"2010-03-12",59.880001,60.48,59.810001,60.169998,3938700,45.179848
"2010-03-15",60.07,60.619999,60.049999,60.549999,2584700,45.465187
"2010-03-16",60.709999,60.959999,60.59,60.91,2480600,45.735497
"2010-03-17",60.959999,61.459999,60.900002,61.330002,3115300,46.050861
"2010-03-18",61,61.43,60.919998,61.27,3156200,46.005814
"2010-03-19",61.380001,61.5,60.490002,60.720001,4687500,45.592831
"2010-03-22",60.540001,61.09,60.43,60.880001,2369000,45.712978
"2010-03-23",60.759998,60.889999,60.360001,60.759998,2937800,45.622856
"2010-03-24",60.540001,60.740002,60.02,60.07,2910000,45.104763
"2010-03-25",60.419998,60.419998,60.009998,60.049999,2591500,45.089752
"2010-03-26",60.25,60.419998,59.91,60.130001,2302000,45.149811
"2010-03-29",60.139999,60.43,59.959999,60.139999,2375500,45.157314
"2010-03-30",60.27,60.5,60.040001,60.169998,2121500,45.179848
"2010-03-31",60.060001,60.110001,59.68,59.709999,2548200,44.834435
"2010-04-01",59.73,60.299999,59.709999,60.139999,2638300,45.157314
"2010-04-05",60.330002,60.869999,60,60.82,2146100,45.667908
"2010-04-06",61.049999,61.849998,60.75,61.740002,3589100,46.358734
"2010-04-07",61.650002,61.959999,61.5,61.720001,3897200,46.343697
"2010-04-08",61.599998,61.619999,60.82,60.98,4471500,45.788048
"2010-04-09",61.040001,61.41,60.919998,61.209999,2804500,45.960751
"2010-04-12",60.889999,61.209999,60.259998,60.349998,4550700,45.31501
"2010-04-13",60.220001,60.549999,59.759998,59.889999,4191400,44.969601
"2010-04-14",59.790001,59.869999,58.939999,59.619999,6763100,44.766865
"2010-04-15",59.41,59.439999,58.900002,59.029999,5754400,44.32386
"2010-04-16",58.959999,59.52,58.93,59.189999,5443700,44.443985
"2010-04-19",59.290001,59.529999,58.610001,59.470001,4040700,44.65424
"2010-04-20",59.700001,59.919998,59.330002,59.490002,3703300,44.66925
"2010-04-21",59.400002,59.560001,59.040001,59.509998,3033200,44.684277
"2010-04-22",59.23,60.41,59.119999,60.220001,3929700,45.217396
"2010-04-23",60.07,60.48,60,60.200001,4017400,45.202366
"2010-04-26",60.200001,60.299999,60.009998,60.07,2874600,45.104763
"2010-04-27",60.25,60.25,59.110001,59.169998,3948900,44.428978
"2010-04-28",59.299999,59.490002,58.740002,58.849998,3462400,44.188698
"2010-04-29",59.009998,59.450001,58.919998,59.349998,2883800,44.564129
"2010-04-30",59.130001,59.68,59.02,59.080002,4960700,44.361389
"2010-05-03",59.029999,59.5,58.900002,59.310001,4051400,44.5341
"2010-05-04",58.830002,60.369999,58.310001,59.880001,6046200,44.962093
"2010-05-05",59.75,60.830002,59.720001,60.360001,6438700,45.47821
"2010-05-06",58.950001,59.110001,55,58.029999,11175500,43.722664
"2010-05-07",57.860001,58.700001,56.830002,57.310001,9286700,43.180195
"2010-05-10",58.619999,58.990002,57.099998,57.52,8378900,43.338417
"2010-05-11",57.400002,58.299999,57.330002,57.939999,5442100,43.654865
"2010-05-12",58.060001,58.189999,57.66,57.880001,4151100,43.60965
"2010-05-13",57.810001,58.490002,57.599998,57.669998,5007700,43.451424
"2010-05-14",57.27,58.119999,57.209999,57.740002,4890500,43.504189
"2010-05-17",57.82,58.439999,57.529999,58.349998,4129100,43.963772
"2010-05-18",58.639999,58.990002,57.68,57.779999,4308800,43.534306
"2010-05-19",57.490002,58.48,57.490002,57.77,4350200,43.526764
"2010-05-20",57,57.52,56.549999,56.59,6755600,42.637718
"2010-05-21",55.93,57.73,55.790001,57.439999,5966100,43.278145
"2010-05-24",57.18,57.41,56.68,56.759998,3376800,42.765785
"2010-05-25",55.959999,56.5,55.389999,56.5,6120300,42.569893
"2010-05-26",56.599998,56.700001,55.709999,55.98,6146600,42.178097
"2010-05-27",57.34,59.259998,57.040001,58.740002,8764500,44.257622
"2010-05-28",58.790001,58.919998,58.02,58.25,3501100,43.888424
"2010-06-01",58.18,58.849998,57.73,57.98,3200400,43.685001
"2010-06-02",58.34,58.98,57.950001,58.950001,3898900,44.415829
"2010-06-03",58.23,59.16,57.299999,57.93,7219000,43.647331
"2010-06-04",57.450001,57.450001,56.009998,56.169998,5499000,42.321255
"2010-06-07",56.009998,56.619999,55.759998,55.849998,3414800,42.080154
"2010-06-08",55.689999,56.720001,55.549999,56.66,3726500,42.690441
"2010-06-09",56.68,57.75,56.580002,57.400002,4926900,43.248001
"2010-06-10",57.82,58.060001,57.299999,57.650002,3270300,43.436356
"2010-06-11",57.18,57.650002,57,57.52,3093000,43.338417
"2010-06-14",57.639999,57.900002,57.299999,57.52,2510800,43.338417
"2010-06-15",57.93,59.18,57.919998,59.16,5099900,44.574055
"2010-06-16",58.470001,58.889999,58.119999,58.34,2876900,43.956245
"2010-06-17",58.59,58.720001,57.990002,58.580002,2829000,44.13707
"2010-06-18",58.5,58.73,58.049999,58.209999,3657100,43.858295
