"dates","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2010-04-05",17.069813,17.433628,16.892822,17.26647,5413593,16.273087
"2010-04-06",17.168142,17.187807,16.764996,17.000982,4885261,16.022877
"2010-04-07",17.020649,17.227139,16.499508,16.666668,6320655,15.707797
"2010-04-08",16.597837,17.05998,16.529007,16.971485,5486918,15.995085
"2010-04-09",17.089479,17.305801,16.981318,17.227139,4088543,16.236025
"2010-04-12",17.286137,17.413963,16.745329,16.88299,6277738,15.911674
"2010-04-13",16.932154,17.256638,16.843658,16.99115,4860650,16.013615
"2010-04-14",17.109144,18.121927,16.99115,17.974436,13795605,16.940327
"2010-04-15",17.895773,17.92527,17.354965,17.492624,5623603,16.486238
"2010-04-16",17.374632,17.394297,16.696165,16.863323,7054929,15.89314
"2010-04-19",16.715832,17.276302,16.686333,16.951818,5718896,15.976546
"2010-04-20",17.15831,17.699116,17.040316,17.669617,5396507,16.653046
"2010-04-21",17.728615,18.318584,17.600786,18.210423,6388997,17.162741
"2010-04-22",18.072763,19.508358,17.767944,19.410028,9635261,18.293325
"2010-04-23",19.891838,21.425762,19.754179,20.186825,17388564,19.025431
"2010-04-26",19.832842,20.678467,19.764011,19.764011,12918341,18.626945
"2010-04-27",19.469027,19.655851,18.525074,18.623402,13820318,17.551954
"2010-04-28",18.829891,19.370699,18.751228,19.026548,6868513,17.931906
"2010-04-29",19.115044,20.570305,19.105211,20.176991,8684265,19.016155
"2010-04-30",20.255653,20.816126,19.547689,19.587021,6914481,18.460136
"2010-05-03",19.773846,20.609636,19.636185,20.363815,5027234,19.230854
"2010-05-04",20,20.157326,19.075712,19.685349,8523986,18.590136
"2010-05-05",19.321533,19.783676,18.829891,18.987217,5293078,17.930849
"2010-05-06",18.780727,19.311701,16.50934,18.141594,7588244,17.132265
"2010-05-07",18.0236,18.387415,16.88299,17.197639,9544952,16.240837
"2010-05-10",18.426744,19.469027,18.092428,19.429695,9739301,18.348703
"2010-05-11",19.144543,19.764011,18.938053,19.13471,6790712,18.070133
"2010-05-12",19.370699,19.714848,18.741396,19.13471,7544208,18.070133
"2010-05-13",19.183874,19.233038,18.30875,18.436579,7192224,17.410841
"2010-05-14",18.436579,18.436579,17.649952,18.102262,5450306,17.095121
"2010-05-17",18.180923,18.180923,17.020649,18.112095,9690586,17.104414
"2010-05-18",18.377581,18.879057,17.807276,17.856441,9778252,16.862982
"2010-05-19",17.561455,18.348083,17.44346,17.846607,11380433,16.853697
"2010-05-20",17.26647,17.758112,17.079645,17.148476,10250546,16.194399
"2010-05-21",16.686333,17.364798,16.588003,17.177975,7471899,16.222265
"2010-05-24",17.187807,17.571287,16.981318,17.010817,5444815,16.064404
"2010-05-25",16.499508,16.912489,16.253687,16.873156,7971348,15.934399
"2010-05-26",17.138643,17.885939,16.873156,16.961653,6450017,16.017977
"2010-05-27",17.571287,17.581121,16.863323,17.276302,5911719,16.315126
"2010-05-28",17.187807,17.502459,16.922321,17.010817,3817615,16.064404
"2010-06-01",16.735497,16.873156,16.037365,16.05703,7233311,15.163679
"2010-06-02",16.145527,16.440512,16.12586,16.273354,6537581,15.367971
"2010-06-03",16.499508,16.50934,15.732547,16.007866,5857005,15.117255
"2010-06-04",15.67355,15.870206,15.093412,15.211406,7501494,14.365104
"2010-06-07",15.211406,15.39823,14.444444,14.513274,5595127,13.70581
"2010-06-08",14.552606,14.749263,13.992134,14.503441,6918651,13.696531
"2010-06-09",14.690265,14.965585,14.080629,14.188791,4730169,13.399382
"2010-06-10",14.454277,15.408063,14.267453,15.319567,11885577,14.467246
"2010-06-11",15.063913,15.506391,14.926254,15.290069,5263687,14.439387
"2010-06-14",15.486726,15.624385,14.926254,14.995084,4925534,14.160816
"2010-06-15",15.211406,15.526057,15.004916,15.496559,5132087,14.634398
"2010-06-16",15.221239,15.67355,15.044248,15.290069,5348708,14.439387
"2010-06-17",15.280236,15.280236,14.690265,15.044248,4899499,14.207246
"2010-06-18",15.093412,15.093412,14.414946,14.493609,4759255,13.687242
"2010-06-21",14.798427,14.965585,14.247788,14.32645,6439136,13.529387
"2010-06-22",14.306785,14.60177,13.893805,13.962635,6195564,13.185808
"2010-06-23",14.031465,14.759095,13.716814,14.493609,10574563,13.687242
"2010-06-24",14.641101,14.945919,14.090462,14.32645,15841809,13.529387
"2010-06-25",14.336283,14.46411,13.765978,14.434612,10133490,13.631529
"2010-06-28",14.473943,14.582104,14.080629,14.129794,5577533,13.343669
"2010-06-29",14.129794,14.188791,13.579154,13.73648,7398370,12.972238
"2010-06-30",13.775811,14.100295,13.628319,13.677483,5134935,12.916521
"2010-07-01",13.66765,13.913471,13.077679,13.854474,8722606,13.083664
"2010-07-02",13.923304,13.972468,13.244838,13.421829,4251772,12.675088
"2010-07-06",13.746313,14.001967,13.205506,13.362832,4570093,12.619378
"2010-07-07",13.3235,14.060964,13.3235,14.031465,4824851,13.250811
"2010-07-08",14.316618,14.542773,13.638151,13.94297,7631263,13.167241
"2010-07-09",14.001967,14.375615,13.854474,14.32645,5120188,13.529387
"2010-07-12",14.32645,14.631268,14.100295,14.503441,5658791,13.696531
"2010-07-13",14.690265,15.103245,14.454277,14.985251,5188429,14.151529
"2010-07-14",14.837758,14.837758,14.129794,14.346116,6642841,13.547957
"2010-07-15",14.306785,14.6706,13.815143,14.631268,5934805,13.817245
"2010-07-16",14.621436,14.6706,13.756146,13.815143,4089764,13.046521
"2010-07-19",13.834808,13.933137,13.451327,13.588987,4078170,12.869588
"2010-07-20",13.372665,14.46411,13.235005,14.444444,5782459,13.679758
"2010-07-21",14.542773,14.591937,13.952802,14.070796,4359065,13.325893
"2010-07-22",14.336283,14.847591,14.218289,14.513274,6073524,13.744945
"2010-07-23",14.444444,14.80826,14.228122,14.680433,5562583,13.903255
"2010-07-26",14.798427,15.299902,14.611603,15.162242,6727658,14.359558
"2010-07-27",15.39823,15.486726,14.73943,14.768928,3786596,13.987064
"2010-07-28",14.719764,14.80826,14.080629,14.267453,4031490,13.512136
"2010-07-29",14.355949,14.700098,14.090462,14.46411,3990403,13.698388
"2010-07-30",14.267453,14.729597,14.129794,14.523107,3169481,13.754256
"2010-08-02",14.788594,15.004916,14.414946,14.926254,3619706,14.136063
"2010-08-03",14.818092,14.877089,14.355949,14.375615,3385186,13.614576
"2010-08-04",14.405113,14.60177,14.169125,14.208456,4200312,13.456264
"2010-08-05",14.080629,14.434612,13.972468,14.267453,2630471,13.512136
"2010-08-06",14.041298,14.25762,13.87414,14.149459,3941078,13.40039
"2010-08-09",14.287119,14.641101,14.208456,14.552606,3008998,13.782193
"2010-08-10",14.346116,14.385447,13.756146,13.785644,7053098,13.055837
"2010-08-11",13.470993,13.559489,13.244838,13.402163,4623079,12.692655
"2010-08-12",13.274336,13.480826,13.028515,13.185841,7034691,12.487786
"2010-08-13",13.215339,13.343166,13.028515,13.107178,2862143,12.413285
"2010-08-16",12.979351,13.097345,12.792527,12.920354,3257146,12.236355
"2010-08-17",13.087512,13.3235,12.890855,13.058014,3984809,12.366729
"2010-08-18",13.038348,13.352999,12.87119,13.254671,3350405,12.552974
"2010-08-19",13.156342,13.185841,12.654867,12.674533,4298249,12.003546
"2010-08-20",12.586037,12.605703,12.300885,12.556539,4835428,11.8918
"2010-08-23",12.59587,12.674533,12.418879,12.507375,4465952,11.84524
"2010-08-24",12.271386,12.841691,11.73058,12.684366,11831066,12.012857
"2010-08-25",12.713864,13.185841,12.468043,13.126844,5960535,12.431913
"2010-08-26",13.146509,13.313668,12.73353,12.851524,4305063,12.171167
"2010-08-27",13.00885,13.294002,12.792527,13.244838,3910975,12.543662
"2010-08-30",13.235005,13.362832,12.890855,12.910521,3066357,12.227041
"2010-08-31",12.890855,13.195674,12.782694,12.930187,3502548,12.245663
"2010-09-01",13.205506,13.569322,13.195674,13.510324,3979318,12.79509
"2010-09-02",13.608653,13.883972,13.411996,13.746313,3192058,13.018584
"2010-09-03",14.001967,14.287119,13.756146,14.208456,3951350,13.456264
"2010-09-07",14.129794,14.149459,13.854474,13.903638,3471835,13.167582
"2010-09-08",13.933137,14.287119,13.883972,14.198623,3229178,13.446951
"2010-09-09",14.32645,14.473943,14.129794,14.306785,2997811,13.549385
"2010-09-10",14.355949,14.562439,14.218289,14.287119,3315318,13.530764
"2010-09-13",14.493609,14.749263,14.277286,14.690265,3754357,13.912565
"2010-09-14",14.680433,14.700098,14.355949,14.493609,3856871,13.726323
"2010-09-15",14.365782,14.483776,14.228122,14.247788,3909246,13.493514
