"dates","MA.Open","MA.High","MA.Low","MA.Close","MA.Volume","MA.Adjusted"
"2010-01-04",25.799,25.82,25.607,25.684,9321000,24.265522
"2010-01-05",25.784,25.796,25.305,25.608,12906000,24.193718
"2010-01-06",25.624001,25.624001,25.25,25.556,10785000,24.158747
"2010-01-07",25.34,25.406,25.098,25.389,11273000,24.000872
"2010-01-08",25.233,25.492001,25.17,25.398001,8635000,24.009382
"2010-01-11",25.457001,25.535999,24.788,24.98,11171000,23.614237
"2010-01-12",24.959,25.294001,24.856001,24.966,8595000,23.601002
"2010-01-13",25.181,25.624001,24.966,25.615,8585000,24.214523
"2010-01-14",25.625,26.184,25.450001,26.048,12433000,24.623842
"2010-01-15",26.181,26.587999,26.055,26.264999,19419000,24.828978
"2010-01-19",26.25,26.988001,26.17,26.475,14633000,25.027491
"2010-01-20",26.301001,26.615,26.219999,26.339001,10211000,24.898933
"2010-01-21",26.355,26.700001,25.611,25.851,14131000,24.437614
"2010-01-22",25.739,26.099001,25.108,25.181,13251000,23.804237
"2010-01-25",25.34,25.423,24.849001,25.245001,10811000,23.864744
"2010-01-26",25.202,25.313,24.805,24.861,11194000,23.50174
"2010-01-27",24.968,25.643,24.834999,25.632999,10066000,24.231527
"2010-01-28",25.629999,25.795,24.583,24.945,16120000,23.581146
"2010-01-29",25.115999,25.514,24.909,24.99,15042000,23.623682
"2010-02-01",25.113001,25.650999,25.108999,25.341999,9329000,23.956444
"2010-02-02",25.620001,25.629999,25.181,25.256001,13404000,23.875145
"2010-02-03",25.245001,25.4,24.705999,24.757999,17961000,23.404373
"2010-02-04",23.434,23.552999,22.089001,22.211,108380000,20.996626
"2010-02-05",22.540001,22.540001,21.715,22.073999,58136000,20.867115
"2010-02-08",22.1,22.846001,22.017,22.639999,28165000,21.402172
"2010-02-09",22.860001,22.865,22.299999,22.344999,16486000,21.123302
"2010-02-10",22.17,22.785999,22.17,22.690001,18326000,21.449438
"2010-02-11",22.690001,22.929001,22.482,22.9,12221000,21.647953
"2010-02-12",22.775,22.775,22.465,22.548,14838000,21.315201
"2010-02-16",22.66,22.816999,22.450001,22.530001,17568000,21.298191
"2010-02-17",22.559999,22.605,22.343,22.483,12500000,21.253756
"2010-02-18",22.43,22.43,22.160999,22.200001,17281000,20.986225
"2010-02-19",22.191999,22.389,21.959999,22.263,17620000,21.04578
"2010-02-22",22.284,22.695,22.284,22.424,10856000,21.197979
"2010-02-23",22.322001,22.368999,21.937,22.202,16517000,20.988115
"2010-02-24",22.202,22.311001,21.9,22.174999,15190000,20.962597
"2010-02-25",21.955,22.315001,21.643,22.149,19896000,20.938017
"2010-02-26",22.298,22.514,22.106001,22.437,10947000,21.210272
"2010-03-01",22.594,23.285999,22.538,23.274,24265000,22.001507
"2010-03-02",23.229,23.353001,22.907,23.181,13247000,21.913593
"2010-03-03",23.183001,23.448999,23.1,23.215,13620000,21.945734
"2010-03-04",23.173,23.346001,22.982,23.299999,10161000,22.026087
"2010-03-05",23.365999,23.98,23.271,23.954,32910000,22.644329
"2010-03-08",23.909,24.708,23.839001,24.561001,29561000,23.218142
"2010-03-09",24.504999,25.188999,24.466,24.648001,21849000,23.300385
"2010-03-10",24.709999,25.049999,24.608,24.959999,19561000,23.59532
"2010-03-11",24.805,25.049999,24.614,25.018999,11508000,23.651102
"2010-03-12",25.106001,25.177,24.853001,24.997,8736000,23.630308
"2010-03-15",25.098,25.098,24.594999,25.007999,11262000,23.640699
"2010-03-16",25.025,25.129999,24.691999,24.934,9672000,23.570751
"2010-03-17",24.968,25.1,24.68,24.865,11144000,23.505526
"2010-03-18",24.882999,24.882999,24.462,24.629999,7593000,23.283367
"2010-03-19",24.436001,24.808001,24.254999,24.436001,9801000,23.099977
"2010-03-22",24.278999,24.823999,24.225,24.708,8089000,23.357111
"2010-03-23",24.707001,25.065001,24.438,24.559,11016000,23.216255
"2010-03-24",24.52,24.688,24.395,24.468,7700000,23.130222
"2010-03-25",24.643999,25.028999,24.608999,24.608999,13145000,23.263519
"2010-03-26",24.725,24.875,24.507,24.624001,10836000,23.277691
"2010-03-29",24.693001,24.924,24.660999,24.801001,7287000,23.445023
"2010-03-30",24.923,25.382999,24.92,25.240999,12046000,23.860962
"2010-03-31",25.219999,25.427999,25.142,25.4,9333000,24.011265
"2010-04-01",25.555,25.589001,25.205999,25.393999,11188000,24.0056
"2010-04-05",25.452999,25.627001,25.287001,25.558001,7457000,24.160629
"2010-04-06",25.485001,26.1,25.48,25.875,13992000,24.460299
"2010-04-07",25.889999,25.955,25.490999,25.566,7831000,24.182213
"2010-04-08",25.406,25.73,25.406,25.688,6402000,24.297611
"2010-04-09",25.875,25.999001,25.681999,25.888,4966000,24.486786
"2010-04-12",25.830999,26.1,25.827999,25.957001,6537000,24.552055
"2010-04-13",25.870001,26.054001,25.721001,25.85,7131000,24.450844
"2010-04-14",25.907,26.423,25.801001,26.313,11661000,24.888779
"2010-04-15",26.459999,26.466,26.225,26.263,6282000,24.841492
"2010-04-16",26.103001,26.372,25.826,25.950001,11495000,24.545429
"2010-04-19",25.882999,26.153,25.472,25.73,9559000,24.337336
"2010-04-20",25.895,26.288,25.716999,26.139,7375000,24.724197
"2010-04-21",26.334999,26.334999,25.878,26.059,5035000,24.648527
"2010-04-22",25.879999,26.252001,25.201,26.16,8638000,24.744064
"2010-04-23",26.361,26.757999,26.200001,26.722,10379000,25.275648
"2010-04-26",26.816,26.922001,26.568001,26.577999,7095000,25.139439
"2010-04-27",26.579,26.579,25.483999,25.485001,10947000,24.105593
"2010-04-28",25.653999,25.73,25.058001,25.299999,17995000,23.930613
"2010-04-29",25.372,25.844,25.179001,25.538,14089000,24.155735
"2010-04-30",25.721001,25.74,24.599001,24.804001,16675000,23.461462
"2010-05-03",25.118999,25.139,24.454,25.073999,16928000,23.716846
"2010-05-04",25.337,25.743999,24.830999,25.125,29370000,23.765083
"2010-05-05",24.799999,24.899,23.601,23.794001,25627000,22.506124
"2010-05-06",23.541,23.799,21.1,23.030001,34273000,21.783468
"2010-05-07",22.834999,23.398001,22.204,22.309,29304000,21.1015
"2010-05-10",23.399,23.612,22.833,23.031,29826000,21.784422
"2010-05-11",22.740999,22.749001,22.124001,22.323999,29271000,21.11569
"2010-05-12",22.5,23.622,22.459,23.261999,29123000,22.002922
"2010-05-13",23.27,23.992001,23.056,23.231001,22049000,21.973597
"2010-05-14",21.530001,22.002001,20.907,21.245001,101983000,20.095095
"2010-05-17",21.524,21.667,20.819,21.080999,34138000,19.939968
"2010-05-18",21.294001,21.462,19.558001,20.281,70828000,19.183268
"2010-05-19",20.305,21.325001,19.605,20.245001,91584000,19.149216
"2010-05-20",19.666,20.999001,19.666,20.549999,51156000,19.437714
"2010-05-21",20.239,21.733999,20.218,21.385,43426000,20.22752
"2010-05-24",21.539,21.649,20.983999,20.983999,17858000,19.848221
"2010-05-25",20.407,20.865999,20.381001,20.687,22472000,19.567295
"2010-05-26",21.031,21.295,20.5,20.5,21772000,19.390415
"2010-05-27",21.025,21.128,20.58,20.780001,19644000,19.655262
"2010-05-28",20.737,20.823999,20.115,20.177,25471000,19.084896
"2010-06-01",20.1,20.370001,19.975,20.039,22633000,18.954367
"2010-06-02",20.132999,20.188999,19.962,20.101999,20431000,19.013954
"2010-06-03",20.131001,20.363001,20.125,20.200001,19643000,19.106655
"2010-06-04",19.950001,20.087,19.65,19.667,33167000,18.602503
