"dates","FDX.Open","FDX.High","FDX.Low","FDX.Close","FDX.Volume","FDX.Adjusted"
"2010-01-04",84.209999,85,83.110001,83.449997,3215100,75.845406
"2010-01-05",83.440002,84.589996,82.639999,84.540001,2493300,76.836075
"2010-01-06",84.330002,85.120003,83.610001,83.839996,2491000,76.199867
"2010-01-07",83.849998,83.849998,82.400002,82.93,3093200,75.372803
"2010-01-08",84.080002,85.260002,82.949997,84.989998,4351200,77.245094
"2010-01-11",85.589996,88.290001,85.400002,87.25,6131900,79.299118
"2010-01-12",86.440002,88.68,85.599998,86.580002,3345100,78.690163
"2010-01-13",86.949997,87.330002,85.150002,85.82,2855700,77.99942
"2010-01-14",85.580002,86.449997,85.089996,86.290001,2104300,78.42659
"2010-01-15",86.339996,86.800003,84.93,85.110001,4369700,77.354141
"2010-01-19",84.970001,86.260002,84.970001,85.900002,2289200,78.072144
"2010-01-20",84.75,84.800003,83.080002,84.059998,2793100,76.399803
"2010-01-21",84.349998,84.480003,81.300003,81.599998,2865500,74.163979
"2010-01-22",81.32,81.860001,80.190002,80.290001,2551800,72.973373
"2010-01-25",81.220001,81.220001,79.150002,80.690002,1878500,73.336906
"2010-01-26",80.459999,81.230003,79.510002,80.760002,2272300,73.400551
"2010-01-27",80.75,80.769997,78.610001,80.419998,3523900,73.091522
"2010-01-28",80.980003,80.980003,78.389999,79.07,1974200,71.864532
"2010-01-29",79.68,80.699997,78.300003,78.349998,3139500,71.210136
"2010-02-01",78.809998,80.730003,78.760002,80.669998,3056600,73.318741
"2010-02-02",81.07,82.550003,80.360001,82.330002,3217400,74.827461
"2010-02-03",81.660004,82.849998,80.910004,82.120003,2593700,74.636574
"2010-02-04",81.360001,81.739998,78.75,78.849998,3830100,71.664574
"2010-02-05",78.849998,79.25,75.169998,76.690002,5535300,69.701401
"2010-02-08",76.82,77.769997,75.309998,76.690002,2966800,69.701401
"2010-02-09",77.269997,79.720001,76.959999,79.220001,4694400,72.0009
"2010-02-10",79.160004,79.290001,77.519997,78.290001,2196800,71.155617
"2010-02-11",78.379997,79.779999,77.440002,79.529999,2272800,72.282623
"2010-02-12",78.400002,78.68,77.510002,78.550003,2902000,71.391937
"2010-02-16",78.919998,80.199997,78.919998,79.970001,2649200,72.68251
"2010-02-17",79.900002,80.489998,78.93,79.940002,2484400,72.655258
"2010-02-18",79.629997,80.389999,79.370003,80.099998,1714300,72.800659
"2010-02-19",80.099998,82.440002,80.099998,81.760002,3e+06,74.309433
"2010-02-22",82.25,83.139999,81.519997,82.360001,2218800,74.854721
"2010-02-23",82.059998,83.120003,80.919998,81.489998,2217300,74.064018
"2010-02-24",81.730003,83.610001,81.730003,83.080002,3083400,75.509132
"2010-02-25",81.540001,83.269997,80.269997,83.18,3007100,75.600021
"2010-02-26",83.129997,84.980003,82.32,84.760002,3030000,77.036034
"2010-03-01",84.919998,86.449997,84.830002,85.809998,2419000,77.990349
"2010-03-02",86.440002,87.120003,85.209999,85.410004,3169300,77.626831
"2010-03-03",85.82,87.800003,85.660004,86.139999,3579600,78.290245
"2010-03-04",87.230003,87.480003,85.470001,86.360001,2448200,78.490211
"2010-03-05",87.019997,87.75,86.629997,86.949997,1817600,79.026428
"2010-03-08",87.260002,87.540001,86.139999,86.669998,1924700,78.772003
"2010-03-09",86.480003,87.339996,85.639999,86.849998,2023300,79.035866
"2010-03-10",87.010002,88.339996,86.879997,87.260002,2557400,79.408981
"2010-03-11",86.610001,87,85.639999,86.489998,4330500,78.708282
"2010-03-12",86.529999,86.690002,84.800003,86.18,3605200,78.426163
"2010-03-15",86.199997,87.830002,86.150002,87.830002,2509100,79.927711
"2010-03-16",88.040001,88.940002,87.68,88.629997,2798400,80.655716
"2010-03-17",89.050003,90.510002,89.050003,89.800003,4885800,81.720482
"2010-03-18",87.849998,92.959999,87,92.669998,13233200,84.332253
"2010-03-19",91.050003,92.169998,90.360001,91.050003,5613000,82.858025
"2010-03-22",90.5,91,89.519997,89.68,3904200,81.611244
"2010-03-23",89.660004,92.010002,89.639999,91.629997,4116000,83.385811
"2010-03-24",91.419998,91.5,90.099998,90.239998,4458000,82.120872
"2010-03-25",91.18,91.940002,90.010002,90.940002,5720000,82.757866
"2010-03-26",91.190002,91.879997,90.339996,91.349998,3777100,83.131027
"2010-03-29",91.75,92.43,90.839996,92.230003,3423400,83.93187
"2010-03-30",92.519997,93.230003,91.68,92.82,3979900,84.46875
"2010-03-31",92.169998,93.660004,91.599998,93.400002,4168500,84.996559
"2010-04-01",94.010002,94.529999,91.690002,92.169998,2527800,83.877213
"2010-04-05",92.120003,92.629997,91.660004,92.459999,2091900,84.141144
"2010-04-06",92.089996,92.839996,91.760002,92.370003,1794300,84.059242
"2010-04-07",92.029999,92.349998,90.199997,90.669998,2522400,82.512184
"2010-04-08",90.449997,90.940002,89.82,90.720001,2344000,82.557671
"2010-04-09",90.480003,91.639999,90.279999,91.260002,1876000,83.049103
"2010-04-12",91.07,91.699997,90.57,90.82,1542300,82.648682
"2010-04-13",90.690002,90.949997,89.919998,90.720001,1358600,82.557671
"2010-04-14",91.120003,94.230003,90.769997,94.010002,4753400,85.551689
