"dates","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"2010-01-04",5.35,5.4375,5.32,5.425,1320000,5.425
"2010-01-05",5.435,5.45,5.2475,5.2525,1697600,5.2525
"2010-01-06",5.2375,5.32,5.23,5.315,1086400,5.315
"2010-01-07",5.315,5.4625,5.29,5.4475,1520400,5.4475
"2010-01-08",5.4075,5.4075,5.3225,5.3925,1196400,5.3925
"2010-01-11",5.395,5.405,5.32,5.35,837600,5.35
"2010-01-12",5.3075,5.34,5.2725,5.33,887600,5.33
"2010-01-13",5.3475,5.5225,5.335,5.425,6681200,5.425
"2010-01-14",5.445,5.5375,5.4125,5.5,908800,5.5
"2010-01-15",5.5175,5.555,5.455,5.51,1542400,5.51
"2010-01-19",5.3825,5.4025,5.19,5.25,3155200,5.25
"2010-01-20",5.2275,5.25,4.8575,4.89,5794400,4.89
"2010-01-21",4.87,5.0175,4.78,4.8525,3541600,4.8525
"2010-01-22",4.8875,5.06,4.8375,4.985,19919200,4.985
"2010-01-25",4.9725,5.025,4.8825,4.9475,3062800,4.9475
"2010-01-26",4.9225,4.95,4.8425,4.8625,3648400,4.8625
"2010-01-27",4.865,4.99,4.8375,4.9225,2090800,4.9225
"2010-01-28",4.9425,4.985,4.835,4.88,1954000,4.88
"2010-01-29",4.8775,4.9225,4.81,4.8125,3508400,4.8125
"2010-02-01",4.8375,4.8675,4.8125,4.82,2593200,4.82
"2010-02-02",4.8125,4.835,4.7275,4.8075,2348400,4.8075
"2010-02-03",4.81,4.8325,4.755,4.7775,1293200,4.7775
"2010-02-04",4.745,4.7825,4.6325,4.635,1614800,4.635
"2010-02-05",4.635,4.6575,4.4825,4.6,1668000,4.6
"2010-02-08",4.61,4.64,4.4725,4.52,1420800,4.52
"2010-02-09",4.5475,4.6175,4.4,4.575,2798000,4.575
"2010-02-10",4.54,4.575,4.4425,4.505,3202400,4.505
"2010-02-11",4.4825,4.505,4.4125,4.495,2190000,4.495
"2010-02-12",4.475,4.5475,4.425,4.5375,1995200,4.5375
"2010-02-16",4.5475,4.5825,4.4375,4.5075,1595600,4.5075
"2010-02-17",4.53,4.5725,4.5025,4.5125,1369200,4.5125
"2010-02-18",4.495,4.58,4.4525,4.5225,1693200,4.5225
"2010-02-19",4.5275,4.5925,4.4875,4.5475,2102000,4.5475
"2010-02-22",4.5375,4.59,4.4825,4.5075,1056000,4.5075
"2010-02-23",4.515,4.515,4.4625,4.4925,1338000,4.4925
"2010-02-24",4.4875,4.5025,4.43,4.47,981200,4.47
"2010-02-25",4.425,4.5075,4.425,4.48,1144400,4.48
"2010-02-26",4.49,4.5,4.4425,4.4675,1132000,4.4675
"2010-03-01",4.4825,4.565,4.4275,4.5525,1550800,4.5525
"2010-03-02",4.5525,4.6675,4.5525,4.6375,3474400,4.6375
"2010-03-03",4.6575,4.6675,4.6075,4.64,1159200,4.64
"2010-03-04",4.6375,4.715,4.59,4.6475,820400,4.6475
"2010-03-05",4.655,4.6775,4.6075,4.6575,1789200,4.6575
"2010-03-08",4.67,4.685,4.6175,4.625,1285200,4.625
"2010-03-09",4.6,4.625,4.46,4.4775,2695600,4.4775
"2010-03-10",4.49,4.5,4.4275,4.4875,2065200,4.4875
"2010-03-11",4.4825,4.5825,4.46,4.575,2411600,4.575
"2010-03-12",4.5725,4.6125,4.5025,4.52,1356800,4.52
"2010-03-15",4.525,4.645,4.4775,4.6425,1712000,4.6425
"2010-03-16",4.6625,4.7975,4.6075,4.7975,1618800,4.7975
"2010-03-17",4.8125,4.915,4.795,4.915,2173600,4.915
"2010-03-18",5,5.2425,4.885,5.1625,4764800,5.1625
"2010-03-19",5.4575,5.515,5.1725,5.4575,11207200,5.4575
"2010-03-22",5.52,6.055,4.945,6.035,13178400,6.035
"2010-03-23",6.055,6.18,5.825,6.06,8014000,6.06
"2010-03-24",6.03,6.1325,5.915,6.065,4162000,6.065
"2010-03-25",6.1025,6.2575,6.0025,6.0275,3335600,6.0275
"2010-03-26",6.025,6.0275,5.855,5.88,2544000,5.88
"2010-03-29",5.8825,6.0425,5.8475,6.03,2173600,6.03
"2010-03-30",6.02,6.0325,5.925,6.0125,1903200,6.0125
"2010-03-31",5.9825,6.0425,5.86,6.01,2994800,6.01
"2010-04-01",6.0325,6.15,6.0325,6.1475,2404000,6.1475
"2010-04-05",6.185,6.26,6.1075,6.1625,2545600,6.1625
"2010-04-06",6.1625,6.22,6.1,6.1475,1867600,6.1475
"2010-04-07",6.1225,6.185,6.03,6.0675,2223600,6.0675
"2010-04-08",6.0375,6.0775,5.95,6.0225,1417600,6.0225
"2010-04-09",6.0475,6.08,5.98,6.05,3104400,6.05
"2010-04-12",6.095,6.095,6.0275,6.0325,2370800,6.0325
"2010-04-13",5.99,6.01,5.89,5.975,4198400,5.975
"2010-04-14",6.01,6.1,5.94,6.0775,4363200,6.0775
"2010-04-15",6.055,6.2,5.995,6.1775,2009200,6.1775
"2010-04-16",6.1775,6.2375,6.065,6.115,1860800,6.115
"2010-04-19",6.0875,6.36,6.0875,6.29,2333200,6.29
"2010-04-20",6.3625,6.4875,6.25,6.4075,2014000,6.4075
"2010-04-21",6.41,6.445,6.2275,6.27,1696800,6.27
"2010-04-22",6.23,6.2925,6.1275,6.2925,1312400,6.2925
"2010-04-23",6.2875,6.36,6.2025,6.355,1126400,6.355
"2010-04-26",6.345,6.3725,6.105,6.165,2450400,6.165
"2010-04-27",6.1325,6.3925,5.9975,6.0375,4094000,6.0375
"2010-04-28",6.0675,6.1025,5.865,5.99,3743200,5.99
"2010-04-29",6,6.045,5.93,5.9825,3670000,5.9825
"2010-04-30",5.9625,6.0075,5.725,5.725,2675200,5.725
"2010-05-03",5.725,5.8375,5.6875,5.7725,1587600,5.7725
"2010-05-04",5.71,5.7475,5.5575,5.58,2289200,5.58
"2010-05-05",5.58,5.6125,5.495,5.5875,2010800,5.5875
"2010-05-06",5.5525,5.6425,5.1275,5.4375,2068000,5.4375
"2010-05-07",5.4225,5.4225,5.16,5.2575,2748800,5.2575
"2010-05-10",5.45,5.54,5.365,5.5225,1736000,5.5225
"2010-05-11",5.4875,5.6675,5.4875,5.5675,1626000,5.5675
"2010-05-12",5.58,5.7275,5.5225,5.7225,1644000,5.7225
"2010-05-13",5.725,5.74,5.595,5.63,1187200,5.63
"2010-05-14",5.5925,5.7675,5.4575,5.765,2302400,5.765
"2010-05-17",5.82,5.9475,5.705,5.77,3582400,5.77
"2010-05-18",5.805,5.83,5.68,5.7425,2751600,5.7425
"2010-05-19",5.73,5.835,5.7075,5.76,1620400,5.76
"2010-05-20",5.6575,5.6825,5.415,5.4225,2072000,5.4225
"2010-05-21",5.31,5.495,5.29,5.415,1742800,5.415
"2010-05-24",5.395,5.4775,5.2875,5.34,2080400,5.34
"2010-05-25",5.245,5.36,5.19,5.3375,1114800,5.3375
"2010-05-26",5.355,5.625,5.33,5.4975,2634800,5.4975
"2010-05-27",5.5875,5.685,5.5375,5.67,2313200,5.67
"2010-05-28",5.6425,5.755,5.495,5.705,3082000,5.705
"2010-06-01",5.6825,5.7825,5.5775,5.58,1675600,5.58
"2010-06-02",5.5725,5.6,5.46,5.52,3281600,5.52
"2010-06-03",5.555,5.74,5.5375,5.705,2449600,5.705
"2010-06-04",5.63,6.065,5.62,5.895,6121200,5.895
"2010-06-07",5.8925,5.955,5.7025,5.9025,2636000,5.9025
"2010-06-08",5.9,5.94,5.6925,5.7575,2528000,5.7575
"2010-06-09",5.7625,5.8375,5.625,5.66,1708400,5.66
"2010-06-10",5.735,5.74,5.65,5.6925,1034800,5.6925
"2010-06-11",5.645,5.7825,5.6025,5.7275,838000,5.7275
"2010-06-14",5.76,5.77,5.69,5.7075,1129600,5.7075
"2010-06-15",5.7375,5.785,5.6825,5.7725,1120000,5.7725
"2010-06-16",5.7525,5.815,5.7275,5.7775,833600,5.7775
"2010-06-17",5.7775,5.8375,5.7425,5.835,936400,5.835
"2010-06-18",5.9375,5.9775,5.8175,5.915,2039200,5.915
"2010-06-21",5.9725,6.0275,5.8325,5.8575,1518000,5.8575
"2010-06-22",5.8525,5.9075,5.59,5.6025,2644000,5.6025
"2010-06-23",5.6175,5.9,5.5475,5.81,3054400,5.81
"2010-06-24",5.775,5.815,5.6675,5.6775,883200,5.6775
"2010-06-25",5.6825,5.6925,5.605,5.6525,4441600,5.6525
"2010-06-28",5.6525,5.69,5.5125,5.525,1268800,5.525
"2010-06-29",5.455,5.515,5.275,5.31,2104800,5.31
"2010-06-30",5.2975,5.42,5.215,5.375,2342400,5.375
"2010-07-01",5.3425,5.36,5.1425,5.2875,3016800,5.2875
"2010-07-02",5.31,5.4,5.25,5.335,1720000,5.335
"2010-07-06",5.3925,5.54,5.345,5.3875,2336400,5.3875
"2010-07-07",5.4125,5.445,5.1675,5.27,2162800,5.27
"2010-07-08",5.31,5.3875,5.1975,5.2325,2130000,5.2325
"2010-07-09",5.24,5.2575,5.13,5.2125,1695600,5.2125
"2010-07-12",5.19,5.21,5.0975,5.1575,978800,5.1575
"2010-07-13",5.2175,5.36,5.115,5.3425,1917200,5.3425
"2010-07-14",5.3475,5.5125,5.3325,5.4525,1536000,5.4525
"2010-07-15",5.44,5.51,5.3925,5.475,1432800,5.475
"2010-07-16",5.4375,5.45,5.2175,5.25,1318000,5.25
"2010-07-19",5.255,5.285,5.1725,5.23,894000,5.23
"2010-07-20",5.17,5.32,5.15,5.315,1161600,5.315
