"dates","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"2010-01-04",18.6525,18.8825,18.547501,18.705,7906000,18.705
"2010-01-05",18.612499,18.75,18.200001,18.625,7942400,18.625
"2010-01-06",18.6875,18.75,18.495001,18.592501,5122400,18.592501
"2010-01-07",18.629999,18.737499,18.385,18.51,4840000,18.51
"2010-01-08",18.5175,18.5875,18.315001,18.5375,5510400,18.5375
"2010-01-11",18.65,18.674999,18.1975,18.4125,6399200,18.4125
"2010-01-12",17.610001,17.622499,17.065001,17.0725,21053200,17.0725
"2010-01-13",17.07,17.1975,16.7425,17.125,20649600,17.125
"2010-01-14",17.122499,17.432501,17.122499,17.297501,10400400,17.297501
"2010-01-15",17.262501,17.387501,17.025,17.157499,8564800,17.157499
"2010-01-19",17.147499,17.467501,17.0375,17.375,6252800,17.375
"2010-01-20",17.200001,17.2925,16.875,17.137501,7260000,17.137501
"2010-01-21",17.155001,17.379999,16.6525,16.719999,8946000,16.719999
"2010-01-22",16.682501,16.735001,16.09,16.135,8788800,16.135
"2010-01-25",16.370001,16.4025,15.8675,16.032499,9866800,16.032499
"2010-01-26",16.040001,16.545,15.8375,16.352501,10367200,16.352501
"2010-01-27",16.352501,16.415001,16.0975,16.35,5947600,16.35
"2010-01-28",16.307501,16.325001,15.86,16.040001,5684400,16.040001
"2010-01-29",16.202499,16.290001,15.8,15.8875,6281200,15.8875
"2010-02-01",16.004999,16.32,15.9125,16.295,5632000,16.295
"2010-02-02",16.3125,16.3925,16.022499,16.264999,4664400,16.264999
"2010-02-03",16.200001,16.557501,16.1,16.405001,4725600,16.405001
"2010-02-04",16.209999,16.272499,15.4575,15.6075,11797200,15.6075
"2010-02-05",15.6225,15.625,15.075,15.52,12440800,15.52
"2010-02-08",15.5225,15.76,15.3075,15.53,5062400,15.53
"2010-02-09",15.67,16.225,15.67,16.165001,9099200,16.165001
"2010-02-10",16.195,16.225,16.0075,16.182501,6855200,16.182501
"2010-02-11",16.192499,16.5275,15.955,16.49,6448800,16.49
"2010-02-12",16.3575,16.415001,16.047501,16.272499,8150000,16.272499
"2010-02-16",16.3675,16.612499,16.327499,16.549999,5511200,16.549999
"2010-02-17",16.557501,16.83,16.557501,16.695,6672400,16.695
"2010-02-18",16.915001,17.235001,16.8575,17.112499,8361600,17.112499
"2010-02-19",17.030001,17.372499,17.004999,17.23,7196800,17.23
"2010-02-22",17.327499,17.3825,17.174999,17.26,5123600,17.26
"2010-02-23",17.182501,17.3475,16.975,17.059999,5597200,17.059999
"2010-02-24",17.08,17.504999,17.022499,17.360001,10460400,17.360001
"2010-02-25",17.2075,17.209999,16.192499,17.002501,19942400,17.002501
"2010-02-26",16.815001,17.0175,16.625,16.987499,10079600,16.987499
"2010-03-01",16.934999,17.8475,16.879999,17.725,10422000,17.725
"2010-03-02",17.6975,18.0875,17.657499,17.959999,8080800,17.959999
"2010-03-03",17.9925,18.07,17.622499,17.6425,5988000,17.6425
"2010-03-04",17.674999,17.7325,17.5,17.7225,5519200,17.7225
"2010-03-05",17.799999,18.247499,17.799999,18.07,6999200,18.07
"2010-03-08",18.08,18.405001,18.030001,18.237499,5848800,18.237499
"2010-03-09",18.0175,18.549999,17.969999,18.42,9360000,18.42
"2010-03-10",18.4125,18.85,18.405001,18.797501,8216000,18.797501
"2010-03-11",18.702499,18.875,18.639999,18.855,6578000,18.855
"2010-03-12",18.934999,19.094999,18.7775,18.9275,4140400,18.9275
"2010-03-15",18.852501,18.940001,18.637501,18.9,5657200,18.9
"2010-03-16",18.870001,19.272499,18.855,19.172501,7889200,19.172501
"2010-03-17",19.2225,19.372499,19.0825,19.184999,5502800,19.184999
"2010-03-18",19.172501,19.362499,19.110001,19.227501,5493600,19.227501
