"dates","MCK.Open","MCK.High","MCK.Low","MCK.Close","MCK.Volume","MCK.Adjusted"
"2010-05-20",68.019997,68.980003,67.639999,67.639999,3688400,61.50526
"2010-05-21",66.209999,68.379997,66.019997,68.330002,4063000,62.132713
"2010-05-24",67.980003,69.279999,67.209999,68.150002,3634000,61.969013
"2010-05-25",66.959999,67.980003,66.209999,67.809998,3947600,61.659847
"2010-05-26",68.089996,69.470001,67.730003,67.879997,2859800,61.723515
"2010-05-27",68.959999,70.080002,68.620003,70.07,2195400,63.714893
"2010-05-28",69.419998,70.870003,69.419998,70,2391700,63.65123
"2010-06-01",69.660004,70.220001,68.650002,68.809998,2276800,62.569153
"2010-06-02",69.160004,70.25,68.830002,70.25,2876300,63.878525
"2010-06-03",70.5,71.489998,70.5,71.279999,2663600,64.815125
"2010-06-04",69.910004,70.160004,68.220001,68.559998,2962900,62.341816
"2010-06-07",68.660004,69.669998,68.379997,68.949997,2936000,62.696465
"2010-06-08",68.940002,68.940002,67.5,68.230003,2453700,62.204151
"2010-06-09",68.5,69.739998,68.290001,68.559998,2127600,62.504986
"2010-06-10",69.330002,69.889999,68.989998,69.699997,2070700,63.544312
"2010-06-11",69,69.769997,68.480003,69.669998,1759200,63.516979
"2010-06-14",69.790001,70.43,69.449997,69.809998,2386900,63.644611
"2010-06-15",70.449997,70.660004,70.010002,70.480003,2366000,64.255463
"2010-06-16",70.029999,70.879997,69.93,70.660004,2261600,64.41954
"2010-06-17",71.269997,71.269997,70.459999,71.099998,2128500,64.820671
"2010-06-18",70.93,71.050003,70,70.089996,2895200,63.899891
"2010-06-21",70.629997,71.150002,69.519997,69.830002,2829000,63.662811
"2010-06-22",69.730003,70.129997,68.330002,68.449997,2487400,62.404724
"2010-06-23",68.330002,68.849998,67.809998,68.43,1751200,62.386475
"2010-06-24",68.129997,68.419998,67.199997,67.709999,2049200,61.730072
"2010-06-25",67.620003,68.510002,66.980003,68.160004,2770800,62.140324
"2010-06-28",68.290001,68.779999,67.580002,68.519997,1531200,62.468525
"2010-06-29",67.589996,68.07,67.040001,67.449997,3094800,61.493027
"2010-06-30",67.239998,68.5,66.959999,67.160004,2628100,61.228642
"2010-07-01",67,67.099998,65.129997,67.010002,3838000,61.091892
"2010-07-02",67.050003,67.669998,66.669998,67.160004,1852200,61.228642
"2010-07-06",67.5,68.309998,67.089996,67.650002,1734100,61.675343
"2010-07-07",67.589996,68.150002,67,68.080002,3115700,62.06741
"2010-07-08",68.279999,68.580002,67.360001,67.989998,2082500,61.985352
"2010-07-09",68.18,68.269997,67.040001,67.43,1893100,61.474804
"2010-07-12",67.290001,67.400002,66.82,67.07,1440100,61.146591
"2010-07-13",67.459999,67.910004,67.059998,67.209999,3491900,61.274227
"2010-07-14",67.080002,69.139999,66.989998,68.650002,2213800,62.587059
"2010-07-15",68.489998,69.480003,68.230003,69.400002,2437700,63.270836
"2010-07-16",69.129997,69.269997,67.860001,68,2201000,61.99445
"2010-07-19",68.239998,68.239998,66.949997,67.080002,2535200,61.155704
"2010-07-20",66.5,67.459999,66.339996,67.419998,2014400,61.465706
"2010-07-21",67.860001,67.860001,66.209999,66.449997,2953800,60.58136
"2010-07-22",67.099998,67.599998,63.599998,64.550003,9420500,58.849155
"2010-07-23",64.699997,66.699997,64.550003,65.629997,4134200,59.83379
"2010-07-26",65.68,66.459999,65.68,66.089996,1963100,60.253155
"2010-07-27",66,66.120003,63.849998,65.169998,7414600,59.414413
"2010-07-28",65.18,65.720001,63.27,64.019997,2850000,58.365955
"2010-07-29",64.5,65.059998,63.310001,63.880001,3211800,58.238338
"2010-07-30",63.25,63.259998,59.630001,62.82,5733000,57.271946
"2010-08-02",63.23,63.639999,62.720001,63.5,2274700,57.891884
"2010-08-03",63.200001,63.209999,61.790001,62.099998,3423400,56.615547
"2010-08-04",62.360001,63.02,61.59,62.970001,2950000,57.408691
"2010-08-05",62.580002,62.84,61.740002,62.84,3170200,57.290176
"2010-08-06",62.220001,63.029999,61.669998,62.810001,3211100,57.262817
"2010-08-09",63.07,63.07,62.150002,62.310001,2709000,56.806992
"2010-08-10",62,62.189999,61.490002,61.610001,3121400,56.168812
"2010-08-11",61,61.139999,60.279999,60.599998,2720100,55.248005
"2010-08-12",59.830002,61.119999,59.82,60.950001,2624600,55.567093
"2010-08-13",60.790001,61.310001,60.119999,60.650002,2972400,55.293594
"2010-08-16",60.669998,61.490002,60.02,60.849998,2176900,55.475914
"2010-08-17",61.139999,61.900002,60.889999,61.599998,2251400,56.159695
"2010-08-18",61.639999,62.900002,61.509998,62.27,2017300,56.770515
"2010-08-19",61.98,62.110001,60.91,61.450001,1987600,56.022938
"2010-08-20",60.939999,61.880001,60.939999,61.669998,2553500,56.223507
"2010-08-23",61.900002,62.380001,61.25,61.310001,1987500,55.895306
"2010-08-24",61.009998,61.080002,60.040001,60.32,2004900,54.992737
"2010-08-25",60.009998,60.73,59.650002,60.459999,3193000,55.120369
"2010-08-26",60.5,60.98,59.68,59.77,2581000,54.491314
"2010-08-27",60.040001,60.529999,59.310001,60.360001,2276700,55.029217
"2010-08-30",60.389999,60.41,59.049999,59.049999,1283100,53.995922
"2010-08-31",58.790001,59,57.810001,58.049999,2736400,53.081512
"2010-09-01",58.669998,59.549999,58.459999,58.790001,2059500,53.758163
"2010-09-02",59.110001,59.689999,58.580002,59.5,2448700,54.407402
"2010-09-03",59.900002,60.029999,59.439999,59.950001,1243200,54.818882
"2010-09-07",59.630001,59.799999,58.869999,58.990002,1587100,53.941059
"2010-09-08",58.990002,59.41,58.43,58.5,1616200,53.493
"2010-09-09",59.029999,59.73,58.869999,59.650002,2432000,54.544567
"2010-09-10",59.84,59.860001,59.209999,59.349998,1557600,54.270233
"2010-09-13",59.740002,59.77,58.689999,58.700001,1882300,53.675892
"2010-09-14",58.610001,60.07,58.41,59.740002,2618500,54.626858
"2010-09-15",59.919998,63.639999,59.849998,62.98,5097000,57.589539
"2010-09-16",62.869999,62.869999,61.959999,62.419998,1935800,57.077484
"2010-09-17",62.799999,63.189999,62.200001,62.349998,3164400,57.013474
"2010-09-20",62.380001,63.150002,62.240002,62.990002,1350200,57.598682
"2010-09-21",63.02,63.419998,62.68,62.93,1750100,57.543816
"2010-09-22",62.639999,62.900002,62.130001,62.16,2173700,56.839741
"2010-09-23",61.77,62.200001,58.080002,60.77,10401400,55.56871
"2010-09-24",61.18,62.41,60.369999,61.91,2330000,56.611126
"2010-09-27",61.810001,62.130001,60.630001,61.450001,2229600,56.190502
"2010-09-28",61.860001,62.529999,61.110001,62.470001,2631800,57.123207
"2010-09-29",62.209999,63.57,61.759998,61.959999,4564000,56.656853
"2010-09-30",62.299999,62.77,61.52,61.779999,2623800,56.49226
"2010-10-01",62.09,62.220001,60.18,60.700001,3140900,55.504692
"2010-10-04",60.43,60.779999,59.540001,59.880001,2793000,54.754879
"2010-10-05",60.27,61.669998,60.240002,61.220001,2346700,55.98019
"2010-10-06",60.93,61.07,60.060001,60.32,1446500,55.157223
"2010-10-07",60.299999,60.849998,60.150002,60.52,1162900,55.340096
"2010-10-08",60.59,61.130001,60.23,60.779999,1424500,55.577847
"2010-10-11",60.580002,61.099998,60.450001,60.91,1263000,55.696724
"2010-10-12",60.619999,61.48,60.599998,61.259998,1706000,56.016754
"2010-10-13",61.419998,62.66,61.400002,62.43,2400200,57.086632
"2010-10-14",62.400002,62.91,61.939999,61.990002,2831800,56.68428
"2010-10-15",62.41,62.779999,61.950001,62.380001,2190600,57.040901
"2010-10-18",62.23,62.889999,61.990002,62.610001,3064500,57.251221
"2010-10-19",61.970001,62.049999,60.389999,61.200001,2900700,55.961899
"2010-10-20",61.189999,61.810001,60.950001,61.080002,1717200,55.852173
"2010-10-21",61.540001,61.639999,60.41,61.310001,1180600,56.062481
"2010-10-22",61.459999,61.849998,60.970001,61.080002,1595300,55.852173
"2010-10-25",61.380001,62.380001,61.310001,61.68,2087300,56.400814
"2010-10-26",61.380001,62.48,60.669998,61.91,3130500,56.611126
"2010-10-27",65.639999,66.07,64.739998,65.400002,4764900,59.802422
"2010-10-28",65.510002,65.830002,64.699997,65.029999,2447600,59.464085
"2010-10-29",64.720001,66.080002,64.550003,65.980003,3278000,60.332779
"2010-11-01",66,68,65.809998,67.879997,6305600,62.070175
"2010-11-02",68.279999,68.279999,66.800003,66.949997,3923100,61.219757
"2010-11-03",66.849998,67.629997,66.800003,67.389999,2165900,61.62207
"2010-11-04",67.93,68,66.779999,67.050003,2264500,61.311207
"2010-11-05",67.040001,67.209999,66.220001,66.300003,2356900,60.625404
"2010-11-08",65.980003,66.029999,65.459999,65.620003,2425200,60.00359
"2010-11-09",65.559998,65.93,64.919998,64.989998,3469500,59.427502
"2010-11-10",64.93,65.18,64.050003,65.18,3132100,59.601254
"2010-11-11",64.900002,65.730003,64.309998,65.720001,2081700,60.095028
"2010-11-12",65.080002,65.529999,64.760002,65.089996,1493400,59.518955
"2010-11-15",65.32,65.32,64.389999,64.589996,1008000,59.061756
"2010-11-16",64.339996,64.68,63.549999,64.120003,1888300,58.631973
"2010-11-17",64.260002,64.900002,63.740002,64.699997,1555700,59.162331
"2010-11-18",65.040001,66.349998,64.959999,65.389999,2239700,59.793285
"2010-11-19",65.449997,66.099998,65.129997,66,1772800,60.351067
"2010-11-22",65.949997,65.949997,64.510002,65.120003,1742400,59.546379
"2010-11-23",64.900002,64.900002,63.959999,64.190002,1671400,58.695965
"2010-11-24",64.82,65.110001,64.080002,64.800003,1318800,59.253773
"2010-11-26",64.279999,64.75,63.830002,64.510002,484200,58.988605
"2010-11-29",64.089996,64.410004,63.5,64.260002,1234900,58.924416
"2010-11-30",63.610001,64.489998,63.32,63.900002,1682000,58.594307
"2010-12-01",64.559998,65.889999,64.379997,65.669998,1740200,60.217339
"2010-12-02",65.559998,66.879997,65.379997,66.830002,1587600,61.281013
"2010-12-03",66.550003,67.040001,65.650002,67.010002,1911100,61.446075
"2010-12-06",66.720001,66.889999,66.440002,66.559998,1201900,61.033436
"2010-12-07",66.830002,67.470001,66.800003,66.849998,1592900,61.299366
"2010-12-08",67.120003,67.269997,65.839996,66.459999,1431800,60.941738
"2010-12-09",66.68,67.519997,66.599998,67.349998,1529700,61.757832
"2010-12-10",67.519997,68.160004,67.419998,68.089996,1779600,62.436394
"2010-12-13",68.080002,68.080002,67.029999,67.349998,1753000,61.757832
"2010-12-14",67.639999,69.110001,67.510002,68.519997,1921100,62.830688
"2010-12-15",69.050003,69.620003,68.230003,68.290001,4556800,62.619785
"2010-12-16",68.279999,68.690002,67.68,68.629997,1545200,62.931545
"2010-12-17",68.440002,69.209999,68.169998,68.809998,3080900,63.096619
"2010-12-20",69.150002,69.589996,68.709999,69.410004,1470700,63.64682
"2010-12-21",69.489998,70.019997,69.290001,69.949997,1891500,64.141945
"2010-12-22",69.830002,71.029999,69.75,70.970001,1547700,65.077271
"2010-12-23",70.769997,70.970001,70.419998,70.860001,1356500,64.976418
"2010-12-27",70.669998,70.980003,70.5,70.809998,882500,64.930542
"2010-12-28",70.809998,70.889999,70.599998,70.629997,826200,64.765488
"2010-12-29",70.809998,71,70.43,70.599998,848700,64.737984
"2010-12-30",70.580002,71.089996,70.220001,70.550003,796500,64.692154
"2010-12-31",70.529999,70.669998,70.220001,70.379997,1062400,64.536255
"2011-01-03",70.529999,71.620003,70.440002,71.209999,1825700,65.297333
"2011-01-04",71.150002,71.959999,71,71.82,3097100,65.856697
"2011-01-05",71.5,72.360001,71.32,72.330002,3016100,66.324341
"2011-01-06",72.190002,74.889999,72.190002,74.860001,2989600,68.644272
"2011-01-07",74.389999,74.489998,73.360001,74,2317800,67.855682
"2011-01-10",73.919998,74.470001,73.470001,73.599998,2499300,67.488914
"2011-01-11",73.849998,74.779999,73.629997,74.470001,2101800,68.286682
"2011-01-12",74.93,74.980003,73.75,73.989998,1954000,67.846512
"2011-01-13",74.129997,74.900002,74.010002,74.400002,2347200,68.222481
"2011-01-14",74.230003,74.290001,73.82,74.169998,1997500,68.011574
"2011-01-18",74.349998,75.220001,74.230003,74.949997,2976400,68.726799
"2011-01-19",74.980003,75.040001,73.830002,74.239998,2372200,68.07576
"2011-01-20",74.089996,74.32,73.209999,73.760002,2329000,67.635628
"2011-01-21",74.160004,74.419998,73.150002,73.209999,2353300,67.131241
"2011-01-24",73.360001,74.290001,73.330002,74.25,2042600,68.084923
"2011-01-25",73.970001,74.989998,73.75,74.57,1058900,68.378342
"2011-01-26",74.860001,75.489998,74.410004,75.349998,1611700,69.093613
"2011-01-27",74.989998,75.330002,74.099998,75.190002,1926700,68.946846
"2011-01-28",75.07,75.169998,73.82,74.150002,1838300,67.993225
"2011-01-31",74.910004,75.260002,73.379997,75.169998,3604900,68.928551
"2011-02-01",76.400002,77.830002,76.400002,77.599998,4372200,71.156761
"2011-02-02",77.239998,77.720001,76.349998,76.879997,2504800,70.496536
"2011-02-03",75.57,77,75.040001,76.839996,3396400,70.459862
"2011-02-04",76.910004,77.849998,76.209999,77.739998,1908100,71.285133
"2011-02-07",77.699997,78.449997,77.129997,77.18,2111200,70.771645
"2011-02-08",77.339996,78.379997,77.279999,78.339996,2091100,71.83532
"2011-02-09",78.480003,78.870003,78.110001,78.550003,1918100,72.027893
"2011-02-10",78.43,78.540001,77.699997,78.459999,1033700,71.945343
"2011-02-11",78.089996,79,77.519997,78.769997,1326600,72.229622
"2011-02-14",78.830002,79.459999,78.830002,79.419998,1307700,72.825638
"2011-02-15",79.330002,79.370003,78.989998,79.07,2262700,72.504723
"2011-02-16",79.290001,79.879997,79.019997,79.669998,1765700,73.054909
"2011-02-17",79.580002,80.519997,79.080002,80.419998,2836000,73.742622
"2011-02-18",80.589996,81,80.120003,80.639999,2301500,73.944336
"2011-02-22",80.110001,80.160004,78.260002,78.510002,1841500,71.991234
"2011-02-23",78.300003,78.68,77.57,78.5,2192400,71.982071
"2011-02-24",78.150002,78.830002,77.690002,78.209999,2151900,71.716103
"2011-02-25",78.32,79.220001,78.209999,79.209999,1139300,72.800629
"2011-02-28",79.019997,79.900002,78.959999,79.279999,1682900,72.864952
"2011-03-01",79.470001,79.959999,79.230003,79.290001,1999000,72.874161
"2011-03-02",79.059998,79.239998,77.599998,77.970001,4507700,71.66098
"2011-03-03",78.739998,80.589996,78.470001,80.019997,1999600,73.54512
"2011-03-04",80.089996,80.589996,79.489998,80.480003,1549700,73.967888
"2011-03-07",80.489998,80.940002,78.43,78.559998,1937400,72.203224
"2011-03-08",78.709999,79.059998,78.040001,78.32,2767400,71.982658
"2011-03-09",78.32,79.75,77.940002,79.699997,2113400,73.250984
"2011-03-10",78.980003,78.980003,78.279999,78.379997,1825100,72.037788
"2011-03-11",78.209999,78.57,77.739998,77.809998,1512700,71.513931
"2011-03-14",77.330002,78.230003,76.879997,77.260002,1524400,71.008453
"2011-03-15",75.830002,77.510002,75.559998,76.889999,1838300,70.668373
"2011-03-16",76.610001,76.809998,75.07,75.629997,2773600,69.510307
"2011-03-17",76.599998,77.339996,76.510002,76.849998,2042500,70.631607
"2011-03-18",77.779999,78.160004,77.07,77.919998,2384000,71.615036
"2011-03-21",78.629997,79.760002,78.580002,78.900002,1389400,72.515732
"2011-03-22",78.93,79.129997,78.529999,78.809998,1324000,72.433006
"2011-03-23",78.449997,78.75,77.889999,78.440002,1342900,72.092949
"2011-03-24",78.739998,79.93,78.410004,79.730003,1190500,73.27858
"2011-03-25",79.720001,80.330002,79.540001,79.589996,2001200,73.149879
"2011-03-28",79.730003,80.029999,79.370003,79.709999,1081500,73.260185
"2011-03-29",79.629997,80.209999,79.580002,79.949997,1346400,73.480759
"2011-03-30",80.099998,80.43,79.800003,80.120003,1162900,73.637016
"2011-03-31",79.889999,80.050003,78.989998,79.050003,2087600,72.653603
"2011-04-01",79.300003,79.82,79.25,79.769997,2048500,73.315331
"2011-04-04",79.669998,79.809998,79.040001,79.309998,1421500,72.89254
"2011-04-05",78.57,79.18,78.470001,79.150002,2186100,72.745506
"2011-04-06",79.309998,79.550003,78.400002,78.620003,1899800,72.258392
"2011-04-07",78.360001,79.379997,78.120003,78.580002,2604800,72.221611
"2011-04-08",78.839996,78.989998,78.080002,78.5,1298500,72.148087
"2011-04-11",78.360001,78.959999,78.220001,78.419998,1654700,72.074539
"2011-04-12",78.260002,78.639999,77.550003,77.599998,1574400,71.32093
"2011-04-13",77.849998,78.309998,77.580002,78.099998,1731000,71.780457
"2011-04-14",77.720001,78.940002,77.57,78.769997,1581300,72.396233
"2011-04-15",78.989998,80.82,78.949997,80.610001,3059700,74.087364
"2011-04-18",79.830002,80.139999,78.610001,79.900002,1586500,73.434814
