"dates","MLM.Open","MLM.High","MLM.Low","MLM.Close","MLM.Volume","MLM.Adjusted"
"2010-01-04",90.059998,91.790001,90.059998,91.669998,456200,79.22364
"2010-01-05",91.279999,91.830002,90.080002,90.43,435000,78.152
"2010-01-06",93.43,93.43,92.089996,92.68,676600,80.096519
"2010-01-07",92.68,92.68,90.720001,91.849998,488800,79.379211
"2010-01-08",91.739998,92.510002,89.870003,90.330002,655500,78.065582
"2010-01-11",90.68,90.949997,88.660004,88.93,734800,76.855652
"2010-01-12",88.330002,89.029999,88.129997,88.629997,578200,76.596382
"2010-01-13",89.139999,89.230003,87.389999,88.699997,612000,76.656914
"2010-01-14",88.610001,88.809998,88.010002,88.32,245700,76.328491
"2010-01-15",88.449997,88.449997,86.220001,86.449997,542000,74.712379
"2010-01-19",86.330002,88.160004,86.160004,88.160004,456300,76.190208
"2010-01-20",87.25,87.5,85.910004,87.339996,463800,75.481537
"2010-01-21",87.510002,87.709999,83.760002,84.660004,803800,73.165428
"2010-01-22",84.639999,85.389999,81.959999,82.07,707600,70.927086
"2010-01-25",82.879997,83.309998,81.849998,81.949997,832200,70.823372
"2010-01-26",81.650002,82.610001,80.629997,81.400002,629800,70.348
"2010-01-27",81.220001,81.220001,79.160004,80.790001,1171300,69.820854
"2010-01-28",80.93,81.099998,78.129997,79.779999,691600,68.94799
"2010-01-29",80.120003,81.349998,78.949997,79.18,652400,68.429466
"2010-02-01",79.660004,80.959999,79.349998,80.959999,573800,69.967781
"2010-02-02",81.18,82.449997,80.949997,82.099998,425000,70.953003
"2010-02-03",81.769997,82.580002,80.730003,80.970001,342400,69.976425
"2010-02-04",80.029999,80.029999,78.43,78.5,505800,67.841789
"2010-02-05",78.32,78.849998,76.260002,78.620003,531700,67.945473
"2010-02-08",78.489998,80.089996,77.389999,79.610001,710800,68.801064
"2010-02-09",76.980003,77.93,74.660004,75.949997,2723700,65.637993
"2010-02-10",75.940002,77.980003,74,77.410004,1366800,66.899757
"2010-02-11",77.080002,78.110001,76.050003,78.050003,412600,67.452896
"2010-02-12",77.370003,78.260002,76.480003,78.25,447100,67.625725
"2010-02-16",78.599998,79.660004,78.150002,79.57,313100,68.766487
"2010-02-17",79.879997,80.160004,79.169998,79.669998,219900,68.852921
"2010-02-18",79.760002,80.809998,79.43,80.669998,342900,69.717148
"2010-02-19",80.330002,81.769997,80.169998,81.510002,417200,70.443092
"2010-02-22",81.620003,82.459999,80.860001,81.989998,496800,70.857925
"2010-02-23",81.559998,82.129997,80.660004,81.489998,532200,70.425819
"2010-02-24",81.760002,82.099998,80.989998,81.870003,498600,70.754234
"2010-02-25",80.660004,81.18,79.800003,80.959999,313400,70.31131
"2010-02-26",81.290001,81.519997,78.589996,79.220001,851000,68.800163
"2010-03-01",79.440002,79.440002,77.809998,78.169998,539900,67.888268
"2010-03-02",78.220001,78.889999,77.379997,77.629997,537700,67.419289
"2010-03-03",77.989998,79.980003,77.879997,79.379997,647000,68.939117
"2010-03-04",79.889999,80.790001,79.739998,80.529999,531400,69.937866
"2010-03-05",81.150002,82.330002,81.150002,82.139999,443900,71.33609
"2010-03-08",82.160004,82.989998,82.029999,82.529999,657300,71.674789
"2010-03-09",82,82.389999,81.529999,81.879997,914900,71.110298
"2010-03-10",82,82.5,81.389999,82,360900,71.214493
"2010-03-11",81.639999,82.580002,81.089996,82.379997,527300,71.54454
"2010-03-12",82.489998,82.629997,81.470001,82.059998,431400,71.266609
"2010-03-15",82.139999,82.139999,80.730003,81.330002,357600,70.632637
"2010-03-16",81.5,82.860001,81.25,82.809998,598800,71.917969
"2010-03-17",82.849998,89.669998,82.849998,89.199997,2083900,77.467484
"2010-03-18",88.980003,89.559998,86.650002,87.449997,610300,75.947662
"2010-03-19",87.410004,87.540001,85.510002,87.410004,1323300,75.912933
"2010-03-22",86.650002,90.220001,85.980003,88.980003,1136900,77.276451
"2010-03-23",89.75,89.75,87.980003,88.940002,511200,77.241684
"2010-03-24",88.839996,89.360001,87.769997,87.900002,412400,76.338486
"2010-03-25",88.25,89.169998,84.099998,84.269997,1515000,73.185936
"2010-03-26",84.349998,84.43,82.5,83.370003,1038100,72.404312
"2010-03-29",83.82,84.910004,83.519997,84.900002,314700,73.733063
"2010-03-30",85.150002,85.82,83.980003,84.269997,409400,73.185936
"2010-03-31",84.029999,84.400002,83.139999,83.550003,359800,72.560654
"2010-04-01",83.900002,86.860001,83.900002,86.5,765800,75.12262
"2010-04-05",86.589996,87.790001,86.050003,86.919998,290100,75.487389
"2010-04-06",86.349998,86.349998,85.370003,85.620003,463400,74.358391
"2010-04-07",85.32,86.050003,84.900002,85.589996,691800,74.332306
"2010-04-08",85.580002,87.379997,84.610001,87.25,567600,75.773994
"2010-04-09",85.349998,88.32,83.529999,87.510002,830500,75.999779
"2010-04-12",87.610001,88.019997,86.68,87.080002,936600,75.626328
"2010-04-13",87.099998,87.660004,86.360001,86.5,678000,75.12262
"2010-04-14",86.75,87.389999,86.330002,87.290001,1509700,75.808693
"2010-04-15",87.269997,89.339996,86.339996,88.900002,2733800,77.206955
"2010-04-16",88.639999,91.43,87.190002,90.830002,1889000,78.883118
"2010-04-19",90.239998,90.480003,88.110001,89.790001,1021500,77.979874
"2010-04-20",90.330002,92.529999,89.610001,92.279999,881200,80.14238
"2010-04-21",92.589996,94.269997,92.209999,93.410004,655600,81.123779
"2010-04-22",92.209999,96.330002,91.839996,95.940002,999400,83.320999
"2010-04-23",94.949997,97.480003,94.910004,96.559998,756000,83.859421
"2010-04-26",96.709999,99.239998,96.279999,97.029999,886500,84.267616
"2010-04-27",96.910004,97.68,93.339996,93.730003,917100,81.401642
"2010-04-28",93.779999,94.809998,93.059998,93.43,724900,81.141129
"2010-04-29",93.849998,96.470001,93.849998,96.379997,734200,83.703087
"2010-04-30",96.639999,97.879997,95.089996,95.879997,732700,83.268867
"2010-05-03",92.709999,100.330002,92.709999,99.809998,2065600,86.681969
"2010-05-04",98.160004,98.160004,91.279999,92.410004,1580000,80.255295
"2010-05-05",93.150002,93.150002,87.980003,89.739998,1674600,77.936447
"2010-05-06",89.010002,93,83.779999,87.860001,1632200,76.303734
"2010-05-07",87.150002,90.220001,86.360001,88.139999,1563000,76.546906
"2010-05-10",91.129997,94.010002,91.129997,93.660004,936400,81.340889
"2010-05-11",92.5,93.830002,91.120003,91.230003,1031800,79.230499
"2010-05-12",91.809998,93.940002,91.809998,93.830002,564100,81.488533
"2010-05-13",93.739998,94.160004,92.540001,93.230003,492100,80.967415
"2010-05-14",92.300003,92.760002,91.300003,92.029999,614400,79.92527
"2010-05-17",92.260002,93.730003,90.589996,93.550003,945000,81.245323
"2010-05-18",94.389999,95.059998,92.529999,92.839996,1043700,80.628723
"2010-05-19",92.57,94.300003,91.779999,92.870003,1082400,80.6548
"2010-05-20",90.370003,91.389999,88.690002,89,1480100,77.2938
"2010-05-21",87.400002,90.400002,87.239998,90.029999,1005100,78.188324
"2010-05-24",90.379997,91.519997,89.5,90.769997,859800,78.830971
"2010-05-25",88.040001,92.260002,87.589996,92.080002,884800,79.968697
"2010-05-26",92.690002,95.449997,92.690002,93.980003,1276100,81.618797
"2010-05-27",96.129997,96.260002,94.230003,95.269997,813000,82.739113
"2010-05-28",95.32,95.32,93,93.230003,901900,80.967415
"2010-06-01",92.739998,94.660004,91.75,91.830002,655100,79.751572
"2010-06-02",92.129997,93.910004,91.989998,93.910004,527700,81.558006
"2010-06-03",94.290001,95.300003,93.540001,94.989998,587400,82.495941
"2010-06-04",92.300003,93.559998,88.900002,89.18,1016200,77.777641
"2010-06-07",89.129997,89.410004,87.169998,87.809998,1538200,76.582802
"2010-06-08",87.559998,88.440002,87,88.269997,830900,76.983994
"2010-06-09",88.720001,89.93,87.660004,87.980003,634200,76.731056
"2010-06-10",90.589996,92.099998,89.269997,91.400002,705900,79.713814
"2010-06-11",90.970001,92.339996,90.769997,91.980003,386500,80.219643
"2010-06-14",92.599998,93.980003,91.660004,91.919998,400100,80.167328
"2010-06-15",92.599998,93.230003,91.779999,93.019997,513000,81.126663
"2010-06-16",92.68,93.779999,91.449997,92.860001,607600,80.987144
"2010-06-17",93.25,93.610001,90.760002,92.050003,426100,80.280685
"2010-06-18",92.120003,93,91.949997,92.169998,222800,80.385345
"2010-06-21",94,94.650002,92.010002,92.610001,326200,80.769096
"2010-06-22",92.309998,92.769997,89.080002,89.339996,421500,77.917191
"2010-06-23",89.260002,90.900002,88.010002,90.139999,490600,78.614891
"2010-06-24",89.650002,89.849998,87.830002,88,399100,76.748535
"2010-06-25",88.110001,88.940002,86.699997,88.620003,949700,77.289261
"2010-06-28",88.230003,89.239998,87.879997,87.949997,335100,76.704918
"2010-06-29",86.330002,86.330002,83.540001,85.400002,1027900,74.480949
"2010-06-30",85.040001,86.080002,84.120003,84.809998,1225600,73.966393
"2010-07-01",84.650002,86.139999,83.389999,85.290001,1307300,74.384995
"2010-07-02",85.779999,86.599998,84.849998,85.900002,512700,74.917015
"2010-07-06",87.660004,88.889999,86.050003,87.120003,962300,75.981018
"2010-07-07",87.07,87.07,85.190002,85.75,1422100,74.786209
"2010-07-08",86.209999,86.769997,84.43,85.089996,951600,74.210571
"2010-07-09",85.220001,87.07,85.089996,86.639999,416100,75.562408
"2010-07-12",86.220001,86.470001,84.169998,84.559998,449200,73.74836
"2010-07-13",85.610001,87.150002,85.449997,86.779999,687500,75.684502
"2010-07-14",86.720001,86.720001,85.25,86.230003,429400,75.204803
"2010-07-15",86.050003,86.07,84.169998,85.809998,353700,74.838501
"2010-07-16",85.07,85.330002,81.809998,82.360001,1016100,71.829613
"2010-07-19",83.010002,83.110001,81.5,82.290001,709300,71.7686
"2010-07-20",81.489998,84.910004,80.809998,84.57,642100,73.757065
