"dates","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2010-01-04",37.762966,38.497063,37.63903,38.46846,7750615,29.919327
"2010-01-05",38.287319,38.57333,38.220585,38.544731,6796106,29.978622
"2010-01-06",38.554264,38.649601,38.354057,38.544731,6209345,29.978622
"2010-01-07",38.554264,39.431362,38.211052,39.288357,10266533,30.556986
"2010-01-08",39.011883,40.232193,38.887943,40.155926,7158504,31.231754
"2010-01-11",40.337067,41.118828,40.32753,40.661209,5366649,31.624746
"2010-01-12",40.413334,40.527737,39.908047,40.203594,4730065,31.268822
"2010-01-13",40.194057,40.518204,39.888981,40.3466,4298333,31.38006
"2010-01-14",40.270329,40.73748,40.155926,40.584942,3598395,31.56542
"2010-01-15",40.556339,40.813747,40.24173,40.642143,6009527,31.609905
"2010-01-19",40.727947,41.195099,40.499138,40.851883,5475736,31.773037
"2010-01-20",40.584942,40.680279,39.946182,40.384731,4842718,31.409714
"2010-01-21",40.384731,40.527737,38.783073,38.830742,7782607,30.201065
"2010-01-22",38.678204,39.164421,37.991776,38.020378,7262347,29.570808
"2010-01-25",38.411259,38.77354,38.211052,38.344521,3230017,29.822929
"2010-01-26",38.182449,38.57333,37.858303,38.106178,2911463,29.637535
"2010-01-27",38.277786,38.497063,37.600895,38.382656,6189101,29.852575
"2010-01-28",38.640068,38.697269,37.429287,37.963173,6192352,29.526321
"2010-01-29",36.704727,37.343483,35.827625,36.8382,15968834,28.651361
"2010-02-01",37.105141,37.581825,37.047939,37.534157,5390984,29.19264
"2010-02-02",37.591358,37.753433,37.238613,37.677162,7391258,29.303865
"2010-02-03",37.524624,37.696232,37.114677,37.381618,4576400,29.074005
"2010-02-04",37.33395,37.33395,35.922962,35.970631,10142028,27.976599
"2010-02-05",35.970631,36.142239,34.969593,35.722755,8936409,27.783812
"2010-02-08",35.789494,35.789494,35.084,35.150734,6543213,27.338905
"2010-02-09",35.627419,36.456852,35.513016,36.056435,7206964,28.043329
"2010-02-10",35.961098,36.228043,35.627419,35.961098,4193547,27.969175
"2010-02-11",35.856228,36.561722,35.551151,36.447315,4640803,28.347338
"2010-02-12",36.037369,36.228043,35.589283,36.09457,5981416,28.07299
"2010-02-16",36.351978,37.152809,36.30431,37.105141,6264098,28.858965
"2010-02-17",37.095608,37.391151,36.933537,37.267216,4948868,29.212458
"2010-02-18",37.248146,38.087112,37.162346,37.991776,5571292,29.780403
"2010-02-19",37.925041,38.582867,37.696232,38.344521,6097426,30.05691
"2010-02-22",38.535194,38.611465,38.134781,38.277786,4267495,30.004601
"2010-02-23",38.277786,38.582867,37.934574,38.068047,5456646,29.840193
"2010-02-24",38.239651,38.945145,38.182449,38.687737,5058584,30.325947
"2010-02-25",38.134781,38.354057,37.648563,38.315922,5920475,30.034494
"2010-02-26",38.306389,38.544731,38.048977,38.287319,4680452,30.01207
"2010-03-01",38.373123,38.935612,38.373123,38.678204,4768665,30.318472
"2010-03-02",38.811672,39.078617,38.640068,38.783073,4247461,30.400679
"2010-03-03",38.802139,39.259758,38.802139,39.011883,5817262,30.580032
"2010-03-04",39.059547,39.297894,38.849808,39.259758,3880237,30.77434
"2010-03-05",39.412296,39.965248,39.307426,39.955715,5769851,31.319864
"2010-03-08",39.946182,40.031986,39.517166,39.555302,3686713,31.005989
"2010-03-09",39.545769,40.518204,39.479031,40.298931,5812227,31.588896
"2010-03-10",40.203594,40.518204,40.136856,40.365665,5031942,31.641222
"2010-03-11",40.260796,40.63261,40.003384,40.63261,3701293,31.850471
"2010-03-12",40.804214,41.118828,40.480068,40.928154,5826282,32.082138
"2010-03-15",40.909084,41.023491,40.613541,40.96629,5144175,32.112019
"2010-03-16",41.128361,41.166496,40.661209,41.023491,6705585,32.156864
"2010-03-17",41.204632,41.347637,40.651676,40.909084,5372209,32.067181
"2010-03-18",40.918621,41.500175,40.794682,41.404839,5204593,32.455791
"2010-03-19",41.776653,42.224735,41.56691,41.776653,10167201,32.747238
"2010-03-22",41.509708,41.938725,41.385773,41.528774,5005929,32.55294
"2010-03-23",41.633648,42.262871,41.557377,42.129398,5810024,33.023739
"2010-03-24",42.167534,42.949299,41.99593,42.405876,8224303,33.240459
"2010-03-25",42.663284,43.168571,42.234268,42.272404,6320634,33.135841
"2010-03-26",42.358208,42.892094,42.281937,42.520283,4673529,33.330135
"2010-03-29",42.815826,43.025566,42.663284,42.777691,4531087,33.531914
"2010-03-30",42.911163,43.168571,42.47261,42.853958,5118372,33.591705
"2010-03-31",43.502251,43.645256,42.996967,43.159039,9356078,33.830841
"2010-04-01",43.387848,43.711994,42.634686,42.930229,7034208,33.651489
"2010-04-05",43.168571,43.511784,42.977898,43.330647,4409937,33.965366
"2010-04-06",43.330647,43.616657,43.23531,43.340179,4159353,33.972843
"2010-04-07",43.378311,43.62619,42.977898,43.139973,5237948,33.81591
"2010-04-08",43.101837,43.483185,42.911163,43.368778,4413084,33.995243
"2010-04-09",43.540386,43.83593,43.254375,43.635723,3953766,34.204491
"2010-04-12",43.721527,44.017071,43.654793,43.845463,3393962,34.3689
"2010-04-13",43.826397,43.921734,43.397381,43.530853,3911390,34.122295
"2010-04-14",43.664326,44.207745,43.635723,44.169609,4800237,34.62299
"2010-04-15",44.14101,44.360283,43.950336,44.303082,3505147,34.727615
"2010-04-16",44.274483,44.341217,43.206707,43.683392,8246750,34.241867
"2010-04-19",43.330647,43.721527,43.073235,43.616657,5108198,34.189556
"2010-04-20",43.912201,44.264946,43.588055,44.217278,4874605,34.660362
"2010-04-21",44.322147,44.550957,43.988468,44.512821,4736359,34.89204
"2010-04-22",44.160076,45.246918,43.73106,45.227852,7511778,35.452507
"2010-04-23",45.494793,45.551994,44.522358,45.494793,8060044,35.661751
"2010-04-26",45.59013,46.171684,45.551994,46.019146,5992745,36.072781
"2010-04-27",45.98101,45.98101,44.646294,44.751163,7422935,35.078854
"2010-04-28",45.056244,45.170647,44.341217,44.856037,5181412,35.161064
"2010-04-29",45.265984,46.286091,45.132511,46.257488,5988234,36.259602
